Sequence Code	Primary Sequence Name	Mean Log Ratio	Min	Max	nb Up	nb Low	p-value
A_23_P113777	ITGBL1	-0.381167778	-1.48581	0.87141	0.185185185	0.814814815	0.000511783
A_23_P408363	AL359052	-0.409685926	-1.57903	0.49726	0.185185185	0.777777778	0.000387456
A_24_P916965	AK026784	-0.382175926	-1.76788	0.55056	0.259259259	0.703703704	0.002596011
A_32_P188186	THC2048914	-0.210620741	-1.03341	0.26087	0.259259259	0.740740741	0.004383502
A_23_P315241	ACTN4	-0.173577037	-0.73813	0.35103	0.259259259	0.740740741	0.0069721
A_23_P42868	IGFBP1	-0.450141111	-1.67838	0.8544	0.296296296	0.666666667	0.003926437
A_23_P428819	C6orf166	-0.113038519	-0.54997	0.49784	0.259259259	0.740740741	0.009358476
A_32_P219368	WTAP	-0.173107407	-0.69264	0.34023	0.259259259	0.740740741	0.002395874
A_23_P70867	SBDS	-0.122877407	-0.56656	0.36546	0.259259259	0.740740741	0.004580422
A_24_P277367	CXCL5	-0.189574074	-0.7214	0.61296	0.296296296	0.703703704	0.003463673
A_23_P110204	CXCL5	-0.421985185	-1.96559	1.21509	0.333333333	0.666666667	0.008888549
A_24_P915806	HNMT	-0.294582963	-1.27561	0.77677	0.296296296	0.703703704	0.002694119
A_23_P133216	NLN	0.138331111	-0.30073	0.69175	0.703703704	0.296296296	0.007790166
A_23_P415652	GALNT12	0.24285	-0.338	0.79848	0.666666667	0.333333333	0.000293026
A_23_P63736	MGC16291	-0.274791481	-1.30796	0.36172	0.37037037	0.62962963	0.004555593
A_23_P5370	RPRM	-0.269236296	-1.08299	0.56762	0.259259259	0.62962963	0.003476145
A_24_P831309	FLJ45717	-0.15642037	-1.05179	0.38697	0.148148148	0.851851852	0.003197622
A_24_P689119	ENST00000358493	-0.128937037	-0.94438	0.30247	0.259259259	0.740740741	0.005674343
A_23_P119395	GIPR	-0.222366667	-1.76233	0.48346	0.185185185	0.814814815	0.004934324
A_24_P15640	C19orf31	-0.14945037	-0.93833	0.37594	0.222222222	0.777777778	0.003284317
A_23_P164927	SYNGR4	-0.165046667	-0.97299	0.42576	0.222222222	0.777777778	0.002929941
A_24_P928250	A_24_P928250	-0.258124074	-1.90454	0.5462	0.222222222	0.777777778	0.004321223
A_32_P201107	AI650739	-0.203238519	-1.16605	0.26257	0.222222222	0.777777778	0.000790159
A_24_P37665	SLC26A1	-0.186812963	-1.28737	0.36601	0.148148148	0.851851852	0.003484054
A_23_P136753	THC2163664	-0.1777	-1.141	0.3358	0.259259259	0.666666667	0.005254044
A_32_P98966	FTH1	-0.192015556	-1.03284	0.48144	0.259259259	0.740740741	0.006245343
A_24_P574071	THC2138976	-0.170745556	-1.06888	0.35711	0.222222222	0.777777778	0.00481187
A_32_P23659	BCAS4	-0.172200741	-0.81177	0.48575	0.259259259	0.740740741	0.005956587
A_32_P181638	BVES	-0.123495185	-0.62788	0.21697	0.407407407	0.592592593	0.007851316
A_32_P49728	LOC339803	-0.28630963	-1.77896	0.27161	0.259259259	0.740740741	0.003261208
A_32_P49854	CK819477	-0.23408037	-0.9338	0.63696	0.185185185	0.814814815	0.001346493
A_32_P63324	THC2057496	-0.117038148	-0.46802	0.20472	0.222222222	0.777777778	0.001270291
A_23_P120435	WFDC3	-0.131414815	-0.67337	0.23031	0.296296296	0.703703704	0.003569504
A_32_P169906	AK123679	-0.131257407	-0.57574	0.27342	0.259259259	0.740740741	0.002725085
A_23_P30805	HIST1H4J	-0.196005556	-0.73426	0.37469	0.222222222	0.777777778	0.00266744
A_23_P30813	HIST1H4K	-0.189996296	-0.67463	0.36734	0.222222222	0.777777778	0.00177969
A_23_P359540	HIST1H4F	-0.147254815	-0.65832	0.3208	0.222222222	0.777777778	0.009260376
A_32_P176701	CCDC108	-0.177095556	-1.30329	0.27761	0.222222222	0.777777778	0.004313792
A_23_P218358	FBXW10	-0.224457778	-1.3209	0.35534	0.296296296	0.703703704	0.009877096
A_23_P404094	FLJ39582	-0.10665	-0.43252	0.19932	0.259259259	0.740740741	0.002983954
A_23_P32135	C9orf9	-0.138103333	-0.54838	0.20405	0.259259259	0.740740741	0.001324237
A_32_P181452	CR610211	-0.172444074	-0.61456	0.44147	0.148148148	0.851851852	0.001001569
A_23_P421011	KAZALD1	0.215522593	-0.44556	0.72802	0.777777778	0.222222222	0.002798368
A_23_P130089	IFT20	-0.106628889	-0.59043	0.29021	0.222222222	0.777777778	0.006625492
A_23_P254654	CLIC3	-0.179034444	-0.68851	0.52712	0.333333333	0.666666667	0.009825025
A_23_P139123	SERPING1	-0.13944963	-0.78351	0.31579	0.296296296	0.703703704	0.004688218
A_32_P75141	A_32_P75141	-0.206605926	-1.16337	0.5254	0.222222222	0.777777778	0.004606923
A_23_P114414	LONRF3	-0.197838148	-0.88019	0.42396	0.333333333	0.666666667	0.002802894
A_23_P421493	HPR	-0.351477778	-1.86043	0.91181	0.333333333	0.666666667	0.009978551
A_23_P206760	HP	-0.34173963	-1.19639	1.12612	0.259259259	0.740740741	0.004968124
A_23_P154962	KIAA1666	0.252598519	-0.69422	0.92041	0.740740741	0.259259259	0.000923895
A_23_P212469	ENTPD3	-0.329063333	-1.5434	1.27123	0.185185185	0.740740741	0.005728949
A_24_P178167	A_24_P178167	-0.155936667	-0.64616	0.26804	0.222222222	0.777777778	0.003994067
A_23_P82088	NRN1	-0.170312222	-0.62168	0.29808	0.222222222	0.777777778	0.000727753
A_23_P201940	LMOD1	-0.215084074	-0.88912	0.49362	0.296296296	0.703703704	0.002097657
A_23_P311640	HRBL	-0.124304444	-0.55051	0.38548	0.259259259	0.740740741	0.005455283
A_32_P13823	THC2161434	-0.339572963	-1.21295	1.04131	0.222222222	0.777777778	0.002018036
A_23_P47086	KRTAP5-8	-0.151684815	-0.56398	0.53106	0.259259259	0.740740741	0.005594111
A_23_P155463	LRRC2	-0.371347778	-2.09739	1.05949	0.296296296	0.703703704	0.005358258
A_23_P104804	ZBTB16	-0.241988148	-1.09472	0.54391	0.333333333	0.666666667	0.005397013
A_24_P250666	SFTPC	-0.165110741	-0.77163	0.53206	0.296296296	0.703703704	0.00604498
A_23_P72001	PHYHD1	-0.266548519	-0.94361	0.60408	0.296296296	0.703703704	0.00739957
A_23_P307844	PHYHD1	-0.253787037	-0.85461	0.45786	0.296296296	0.703703704	0.003920805
A_23_P102731	SMOX	-0.111119259	-0.40595	0.22855	0.37037037	0.62962963	0.006676537
A_23_P37983	MT1B	-0.357293333	-0.98369	0.43562	0.185185185	0.814814815	3.68565E-05
A_23_P60933	MT1G	-0.338874444	-0.97673	0.41561	0.222222222	0.777777778	5.5279E-05
A_23_P427703	MT1L	-0.325001481	-1.00599	0.53692	0.222222222	0.777777778	8.04153E-05
A_23_P206707	MT1G	-0.315155926	-0.96137	0.64506	0.111111111	0.888888889	6.39217E-05
A_24_P125096	MT1X	-0.325424074	-0.95803	0.42945	0.185185185	0.814814815	2.21977E-05
A_23_P303242	MT1X	-0.319215556	-0.95403	0.42521	0.185185185	0.814814815	2.08929E-05
A_23_P414343	MT1J	-0.297898519	-0.88056	0.49149	0.185185185	0.814814815	3.85799E-05
A_24_P361896	MT2A	-0.341529259	-0.89382	0.25593	0.259259259	0.740740741	2.57472E-05
A_23_P106844	MT2A	-0.336138148	-0.92946	0.3053	0.259259259	0.703703704	7.214E-05
A_23_P252413	MT2A	-0.351822222	-0.91184	0.28679	0.222222222	0.777777778	3.28897E-05
A_23_P206724	MT1E	-0.313716296	-1.17543	0.83623	0.148148148	0.851851852	0.000554802
A_23_P163782	MT1H	-0.356012963	-1.0743	0.13823	0.111111111	0.888888889	1.68243E-06
A_23_P54840	MT1A	-0.290740741	-0.84891	0.17819	0.074074074	0.925925926	3.0616E-06
A_24_P455972	FLJ43663	-0.182609259	-0.64702	0.31631	0.185185185	0.814814815	0.000102032
A_23_P105002	ROM1	-0.125045185	-0.567	0.36561	0.296296296	0.703703704	0.009224226
A_23_P20035	GPR146	-0.145546296	-0.62898	0.46739	0.296296296	0.703703704	0.006599428
A_24_P561341	LOC285016	0.333697778	-0.78582	1.25771	0.703703704	0.259259259	0.0019648
A_23_P357571	GSTT2	-0.211884074	-1.23128	0.6205	0.222222222	0.777777778	0.004106254
A_23_P139166	CB959193	-0.357824074	-1.26161	0.41061	0.148148148	0.666666667	0.000230027
A_23_P201711	S100A6	-0.233124815	-0.85085	0.50947	0.222222222	0.777777778	0.003329873
A_23_P340333	KIAA1754	-0.15630037	-0.73446	0.3562	0.333333333	0.666666667	0.009218525
