Probe Set ID	Gene Title	Gene Symbol	p-value	FC Absolute	Function
209442_x_at	ankyrin 3, node of Ranvier (ankyrin G)	ANK3	0.047	-2.1	Cytoskeleton
221030_s_at	Rho GTPase activating protein 24	ARHGAP24	0.033	-1.71	Cytoskeleton
204251_s_at	centrosomal protein 164kDa	CEP164	0.005	-1.75	Cytoskeleton
242287_at	CAP-GLY domain containing linker protein 1	CLIP1	0.029	-1.7	Cytoskeleton
204398_s_at	echinoderm microtubule associated protein like 2	EML2	0.007	-1.54	Cytoskeleton
214802_at	exocyst complex component 7	EXOC7	0.02	-2.55	Cytoskeleton
204703_at	intraflagellar transport 88 homolog (Chlamydomonas)	IFT88	0.038	1.66	Cytoskeleton
238477_at	kinesin family member 1C	KIF1C	0.048	-1.52	Cytoskeleton
214577_at	microtubule-associated protein 1B	MAP1B	0.028	-1.71	Cytoskeleton
40016_g_at	microtubule associated serine/threonine kinase family member 4	MAST4	0.049	-1.59	Cytoskeleton
204837_at	myotubularin related protein 9	MTMR9	0.031	-1.65	Cytoskeleton
212365_at	myosin IB	MYO1B	0.03	1.9	Cytoskeleton
244508_at	Septin 7	SEPT7	0.047	-1.87	Cytoskeleton
214402_s_at	Sfi1 homolog, spindle assembly associated (yeast)	SFI1	0.008	-2.13	Cytoskeleton
215699_x_at	Sfi1 homolog, spindle assembly associated (yeast)	SFI1	0.012	-1.71	Cytoskeleton
36545_s_at	Sfi1 homolog, spindle assembly associated (yeast)	SFI1	0.02	-1.5	Cytoskeleton
216128_at	tubulin folding cofactor D	TBCD	0.02	1.58	Cytoskeleton
222562_s_at	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	TNKS2	0.011	-1.9	Cytoskeleton
210760_x_at	thyroid hormone receptor interactor 11	TRIP11	0.048	-1.62	Cytoskeleton
232357_at	tubulin tyrosine ligase-like family, member 9	TTLL9	0.026	1.6	Cytoskeleton
1566948_at	discs, large homolog 2 (drosophila)		0.011	-1.71	Cytoskeleton
216123_x_at	capping protein (actin filament) muscle Z-line, alpha 1		0.045	-1.56	Cytoskeleton
227364_at	capping protein (actin filament) muscle Z-line, alpha 1		0.007	1.61	Cytoskeleton
235501_at	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)		0.014	-1.51	Cytoskeleton
239601_at	formin homology 2 domain containing 3		0.045	-1.54	Cytoskeleton
205434_s_at	AP2 associated kinase 1	AAK1	0.03	-1.72	Cell signalling and communication
206690_at	amiloride-sensitive cation channel 1, neuronal	ACCN1	0.046	-1.66	Cell signalling and communication
229309_at	adrenergic, beta-1-, receptor	ADRB1	0.046	-2.14	Cell signalling and communication
242836_at	ATPase, Na+/K+ transporting, beta 3 polypeptide	ATP1B3	0.004	-2.27	Cell signalling and communication
1554847_at	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1	ATP6V1B1	0.043	1.67	Cell signalling and communication
1559419_at	calcium channel, voltage-dependent, beta 2 subunit	CACNB2	0.002	-2.05	Cell signalling and communication
1559420_x_at	calcium channel, voltage-dependent, beta 2 subunit	CACNB2	0.022	-1.71	Cell signalling and communication
62987_r_at	calcium channel, voltage-dependent, gamma subunit 4	CACNG4	0.034	1.63	Cell signalling and communication
207613_s_at	calcium/calmodulin-dependent protein kinase II alpha	CAMK2A	0.009	-1.55	Cell signalling and communication
229724_at	gamma-aminobutyric acid (GABA) A receptor, beta 3	GABRB3	0.044	-1.64	Cell signalling and communication
244617_at	G protein-coupled receptor 26	GPR26	0.032	-1.63	Cell signalling and communication
206730_at	glutamate receptor, ionotrophic, AMPA 3	GRIA3	0.013	-1.62	Cell signalling and communication
203628_at	insulin-like growth factor 1 receptor	IGF1R	0.008	-1.52	Cell signalling and communication
240052_at	inositol 1,4,5-triphosphate receptor, type 1	ITPR1	0.023	1.67	Cell signalling and communication
223199_at	MAP kinase interacting serine/threonine kinase 2	MKNK2	0.027	-1.75	Cell signalling and communication
241489_at	nudix (nucleside diphosphate liked moiety X)-type motif 9	NUDT9	0.006	-1.97	Cell signalling and communication
213518_at	protein kinase C, iota	PRKCI	0.024	-1.57	Cell signalling and communication
213521_at	protein tyrosine phosphatase, non-receptor type 18 (brain-derived)	PTPN18	0.045	-1.53	Cell signalling and communication
223150_s_at	protein tyrosine phosphatase, non-receptor type 23	PTPN23	0.044	-1.81	Cell signalling and communication
205331_s_at	receptor accessory protein 2	REEP2	0.034	-1.9	Cell signalling and communication
231100_at	Ras-related associated with diabetes	RRAD	0.001	-1.64	Cell signalling and communication
221524_s_at	Ras-related GTP binding D	RRAGD	0.019	-1.6	Cell signalling and communication
1563523_at	ryanodine receptor 3	RYR1	0.002	1.75	Cell signalling and communication
233900_at	solute carrier family 22 (organic cation/ergothioneine transporter), member 4	SLC22A4	0.018	-1.55	Cell signalling and communication
222529_at	solute carrier family 25, member 37	SLC25A37	0.008	-1.67	Cell signalling and communication
242108_at	two pore segment channel 1	TPCN1	0.002	-1.71	Cell signalling and communication
217653_x_at	transient receptor potential cation channel, subfamily M, member 6	TRPM6	0.022	-1.76	Cell signalling and communication
242879_x_at	v-akt murine thyoma viral oncogene homolg 3 (protein kinase B, gamma)	AKT3	0.004	-1.59	Leukocyte activation / immune response
231205_at	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	ASAP1	0.016	-1.58	Leukocyte activation / immune response
212384_at	HLA-B associated transcript 1	BAT1	0.036	-2.04	Leukocyte activation / immune response
35150_at	CD40 molecule, TNF receptor superfamily member 5	CD40	0.034	-1.82	Leukocyte activation / immune response
204661_at	CD52 molecule	CD52	0.014	1.53	Leukocyte activation / immune response
1566959_at	GRB2-associated binding protein 2	GAB1	0.012	-2.28	Leukocyte activation / immune response
207191_s_at	immunoglobulin superfamily containing leucine-rich repeat	ISLR	0.042	-1.53	Leukocyte activation / immune response
202376_at	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	SERPINA3	0.045	1.7	Leukocyte activation / immune response
205328_at	claudin 10	CLDN10	0.035	3.14	Tight junction/ gap junction/ apical junction/ cell adhesion
204357_s_at	LIM domain kinase 1	LIMK1	0.043	-1.57	Tight junction/ gap junction/ apical junction/ cell adhesion
242722_at	LIM domain 7	LMO7	0.03	-1.91	Tight junction/ gap junction/ apical junction/ cell adhesion
214799_at	neurofascin homolog (chicken)	NFASC	0.022	-2.84	Tight junction/ gap junction/ apical junction/ cell adhesion
241387_at	PTK2 protein tyrosine kinase 2	PTK2	0.036	-1.65	Tight junction/ gap junction/ apical junction/ cell adhesion
201878_at	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	ARIH1	0.014	-1.61	Ubiquitin-mediated proteolysis
201456_s_at	budding uninhibited by benzimidazoles 3 homolog (yeast)	BUB3	0.038	-2.8	Ubiquitin-mediated proteolysis
242428_at	DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)	DCUN1D1	0.017	-2	Ubiquitin-mediated proteolysis
1553682_at	F-box and leucine-rich repeat protein 14	FBXL14	0.028	1.51	Ubiquitin-mediated proteolysis
242829_x_at	F-box and leucine-rich repeat protein 3	FBXL3	0.005	-1.85	Ubiquitin-mediated proteolysis
232693_s_at	F-box protein 16 /// zinc finger protein 395	FBXO16 /// ZNF395	0.011	-1.72	Ubiquitin-mediated proteolysis
216449_x_at	heat shock protein 90kDa beta (Grp94), member 1	HSP90B1	0.035	-1.52	Ubiquitin-mediated proteolysis
215114_at	SUMO1/sentrin/SMT3 specific peptidase 3	SENP3	0.002	-1.9	Ubiquitin-mediated proteolysis
217826_s_at	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	UBE2J1	0.003	-1.5	Ubiquitin-mediated proteolysis
226729_at	ubiquitin specific peptidase 37	USP37	0.041	-1.54	Ubiquitin-mediated proteolysis
235107_at	protein inhibitor of activated STAT, 2		0.018	-1.61	Ubiquitin-mediated proteolysis
232919_at	AFG3 ATPase family gene 3-like 2 (yeast)	AFG3L2	0.028	-1.68	Apoptosis
229793_at	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2B	ASAH2B	0.023	-1.6	Apoptosis
236404_at	ataxin 1	ATXN1	0.039	-2.02	Apoptosis
238589_s_at	ataxin 2	ATXN2	0.05	-1.57	Apoptosis
211692_s_at	BCL2 binding component 3	BBC3	0.008	-2.09	Apoptosis
201112_s_at	CSE1 chromosome segregation 1-like (yeast)	CSE1L	0.03	4.53	Apoptosis
233881_s_at	toll interacting protein	TOLLIP	0.013	-2.85	Apoptosis
244721_at	tumor protein p53 inducible nuclear protein 1	TP53INP1	0.008	1.57	Apoptosis
235705_at	triple functional domain (PTPRF interacting)	TRIO	0.009	-1.59	Apoptosis
232147_at	BTB (POZ) domain containing 12	BTBD12	0.017	2.09	DNA damage & stress response
238070_at	Chromodomain helicase DNA binding protein 1-like	CHD1L	0.027	-1.51	DNA damage & stress response
240971_x_at	cullin 4A	CUL4A	0.003	-1.59	DNA damage & stress response
204326_x_at	metallothionein 1X	MT1X	0.022	-2.59	DNA damage & stress response
200607_s_at	RAD21 homolog (S. pombe)	RAD21	0.041	1.68	DNA damage & stress response
236880_at	RAD52 homolog (S. cerevisiae)	RAD52	0.047	-1.54	DNA damage & stress response
221642_at	three prime repair exonuclease 1	TREX1	0.023	1.68	DNA damage & stress response
205209_at	activin A receptor, type IB	ACVR1B	0.012	-1.54	Transcription
1566989_at	AT rich interactive domain 1B (SWI1-like)	ARID1B	0.002	1.86	Transcription
203796_s_at	B-cell CLL/lymphoma 7A	BCL7A	0.039	-1.96	Transcription
223915_at	BCL6 co-repressor	BCOR	0.036	-1.67	Transcription
225956_at	chromosome 5 open reading frame 41	C5orf41	0.05	-1.51	Transcription
225565_at	cAMP responsive element binding protein 1	CREB1	0.021	-1.79	Transcription
214508_x_at	cAMP responsive element modulator	CREM	0.016	2.28	Transcription
207768_at	early growth response 4	EGR4	0.04	-2.18	Transcription
208427_s_at	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)	ELAVL2	0.028	-1.52	Transcription
215233_at	jumonji domain containing 6	JMJD6	0.043	-1.54	Transcription
202383_at	lysine (K)-specific demethylase 5C	KDM5C	0.047	-2.09	Transcription
238482_at	Kruppel-like factor 7 (ubiquitous)	KLF7	0.009	2.2	Transcription
209926_at	hypothetical protein LOC729991	LOC729991	0.015	-1.73	Transcription
238840_at	leucine rich repeat (in FLII) interacting protein 1	LRRFIP1	0.008	1.57	Transcription
1557538_at	mediator complex subunit 13-like	MD13L	0.015	-1.75	Transcription
212076_at	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	MLL	0.028	-1.68	Transcription
212346_s_at	MAX dimerization protein 4	MXD4	0.013	-2.28	Transcription
204321_at	neogenin homolog 1 (chicken)	NEO1	0.014	-1.52	Transcription
217527_s_at	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein	NFATC2IP	0.004	-2.39	Transcription
213032_at	nuclear factor I/B	NFIB	0.048	-2.16	Transcription
222590_s_at	nemo-like kinase	NLK	0.027	1.54	Transcription
208676_s_at	proliferation-associated 2G4, 38kDa	PA2G4	0.046	-1.7	Transcription
222380_s_at	Programmed cell death 6	PDCD6	0.035	-2.45	Transcription
214473_x_at	postmeiotic segregation increased 2-like 3	PMS2L3	0.022	-2.08	Transcription
215281_x_at	pogo transposable element with ZNF domain	POGZ	0.022	-2	Transcription
243496_at	RAB18, member RAS oncogene family	RAB18	0.042	-2.04	Transcription
235567_at	RAR-related orphan receptor A	RORA	0.004	-1.53	Transcription
205528_s_at	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	RUNX1T1	0.012	-1.91	Transcription
203408_s_at	SATB homeobox 1	SATB1	0.015	-3	Transcription
1561403_at	spermatogenesis and oogenesis specific basic helix-loop-helix 1	SOHLH1	0.044	-1.9	Transcription
224178_s_at	SRY (sex determining region Y)-box 6	SOX6	0.044	2.04	Transcription
201996_s_at	spen homolog, transcriptional regulator (Drosophila)	SPEN	0.02	-1.6	Transcription
217991_x_at	single stranded DNA binding protein 3	SSBP3	0.019	-1.74	Transcription
200956_s_at	structure specific recognition protein 1	SSRP1	0.04	-1.54	Transcription
238346_s_at	trimethylguanosine synthase homolog (S. cerevisiae)	TGS1	0.003	-1.61	Transcription
226754_at	zinc finger protein 251	ZNF251	0.025	2.8	Transcription
1569251_a_at	zinc finger protein 333	ZNF333	0	-1.54	Transcription
215892_at	Zinc finger protein 440	ZNF440	0.048	-1.55	Transcription
226575_at	zinc finger protein 462	ZNF462	0.037	-2.02	Transcription
1558253_x_at	zinc finger protein 587	ZNF587	0.038	-1.66	Transcription
219981_x_at	zinc finger protein 587	ZNF587	0.026	-2.31	Transcription
204175_at	zinc finger protein 593	ZNF593	0.042	-2.73	Transcription
230164_at	zinc finger protein 621	ZNF621	0.005	-1.64	Transcription
220242_x_at	zinc finger protein 701	ZNF701	0.037	-1.51	Transcription
1554770_x_at	zinc finger protein 785	ZNF785	0.038	-1.66	Transcription
1553703_at	zinc finger protein 791	ZNF791	0.037	-1.73	Transcription
1553704_x_at	zinc finger protein 791	ZNF791	0.032	-1.67	Transcription
215083_at	paraspeckle component 1; paraspeckle protein 1 pseudogene		0.034	-1.71	Transcription
230324_at	nuclear receptor coactivator 2		0.022	-2.02	Transcription
235017_s_at	protein inhibitor of activated STAT, 2		0.037	-1.83	Transcription
235423_at	origin recognition complex, subunit 2-like (yeast)		0.047	-1.5	Transcription
235959_at			0.025	-1.8	Transcription
236253_at	zinc finger protein 546		0.04	1.52	Transcription
240800_x_at	poly (ADP-ribose) polymerase family, member 14		0.049	-1.52	Transcription
242343_x_at			0.043	-1.8	Transcription
243189_at	nuclear respiratory factor 1		0.02	-1.62	Transcription
243559_at	zinc finger protein 148		0.019	-2.08	Transcription
231845_at	alanyl-tRNA synthetase 2, mitochondrial (putative)	AARS2	0.018	1.72	Miscellaneous
202170_s_at	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	0.033	-1.63	Miscellaneous
238597_at	ankyrin repeat domain 13C	ANKRD13C	0.014	2.73	Miscellaneous
238642_at	ankyrin repeat domain 13 family, member D	ANKRD13D	0.046	-1.79	Miscellaneous
210876_at	annexin A2 pseudogene 1	ANXA2P1	0.033	1.71	Miscellaneous
206738_at	apolipoprotein C-IV	APOC4	0.011	-1.82	Miscellaneous
220597_s_at	ADP-ribosylation-like factor 6 interacting protein 4	ARL6IP4	0.022	-2.86	Miscellaneous
212599_at	autism susceptibility candidate 2	AUTS2	0.025	-1.84	Miscellaneous
212475_at	AVL9 homolog (S. cerevisiase)	AVL9	0.044	-1.8	Miscellaneous
239144_at	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	B3GAT2	0.013	-2.02	Miscellaneous
242594_at	biorientation of chromosomes in cell division 1-like	BOD1L	0.011	-1.53	Miscellaneous
231220_at	bruno-like 4, RNA binding protein (Drosophila)	BRUNOL4	0.033	-2.33	Miscellaneous
224504_s_at	BUD13 homolog (S. cerevisiae)	BUD13	0.05	-1.5	Miscellaneous
220173_at	chromosome 14 open reading frame 45	C14orf45	0.004	2.01	Miscellaneous
1554801_at	chromosome 5 open reading frame 40	C5orf40	0.004	1.73	Miscellaneous
1553693_s_at	carbonyl reductase 4	CBR4	0.02	-1.88	Miscellaneous
1554348_s_at	CDKN2A interacting protein N-terminal like	CDKN2AIPNL	0.042	1.88	Miscellaneous
37892_at	collagen, type XI, alpha 1	COL11A1	0.033	-1.9	Miscellaneous
208866_at	casein kinase 1, alpha 1	CSNK1A1	0.013	-2.37	Miscellaneous
235258_at	DCP2 decapping enzyme homolog (S. cerevisiae)	DCP2	0.016	3	Miscellaneous
225965_at	DDHD domain containing 1	DDHD1	0.025	-1.85	Miscellaneous
222875_at	DEAH (Asp-Glu-Ala-His) box polypeptide 33	DHX33	0.001	-1.61	Miscellaneous
222850_s_at	DnaJ (Hsp40) homolog, subfamily B, member 14	DNAJB14	0	-1.99	Miscellaneous
231297_at	DOT1-like, histone H3 methyltransferase (S. cerevisiae)	DOT1L	0.028	-1.62	Miscellaneous
202496_at	enhancer of mRNA decapping 4	EDC4	0.036	-1.6	Miscellaneous
225656_at	EF-hand domain (C-terminal) containing 1	EFHC1	0.026	-2.22	Miscellaneous
236274_at	eukaryotic translation initiation factor 3, subunit B	EIF3B	0.036	-1.54	Miscellaneous
201303_at	eukaryotic translation initiation factor 4A, isoform 3	EIF4A3	0.043	1.76	Miscellaneous
227746_at	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	ELAVL1	0.039	-1.79	Miscellaneous
219501_at	ecto-NOX disulfide-thiol exchanger 1	ENOX1	0.008	-2.49	Miscellaneous
226667_x_at	epsin 1	EPN1	0.025	-1.53	Miscellaneous
203305_at	coagulation factor XIII, A1 polypeptide	F13A1	0.022	1.98	Miscellaneous
241954_at	Farnesyl-diphosphate farnesyltransferase 1	FDFT1	0.007	-1.81	Miscellaneous
1559060_a_at	Folliculin interacting protein 1	FNIP1	0.006	-2.55	Miscellaneous
213650_at	golgi autoantigen, golgin subfamily a, 8A /// golgi autoantigen, golgin subfamily a, 8B	GOLGA8A /// GOLGA8B	0.005	-2.21	Miscellaneous
218461_at	GPN-loop GTPase 3	GPN3	0.043	1.54	Miscellaneous
208629_s_at	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit	HADHA	0.048	-1.53	Miscellaneous
215568_x_at	hCG2003956 /// lysophospholipase II /// lysophospholipase II pseudogene 1	hCG_2003956 /// LYPLA2 /// LYPLA2P1	0.013	-1.72	Miscellaneous
1554251_at	heterochromatin protein 1, binding protein 3	HP1BP3	0.031	-1.63	Miscellaneous
204515_at	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	HSD3B1	0.031	1.75	Miscellaneous
230510_at	heat shock protein, alpha-crystallin-related, B9	HSPB9	0.009	-1.62	Miscellaneous
215513_at	hydatidiform mole associated and imprinted (non-protein coding)	HYMAI	0.027	-1.7	Miscellaneous
224775_at	IWS1 homolog (S. cerevisiae)	IWS1	0.015	-2.53	Miscellaneous
224062_x_at	kallikrein-related peptidase 4	KLK4	0.023	1.62	Miscellaneous
214375_at	similar to mKIAA1230 protein /// PTPRF interacting protein, binding protein 1 (liprin beta 1)	LOC729222 /// PPFIBP1	0.043	-1.56	Miscellaneous
204038_s_at	lysophosphatidic acid receptor 1	LPAR1	0.018	1.9	Miscellaneous
1558173_a_at	leucine zipper protein 1	LUZP1	0.048	-1.53	Miscellaneous
218729_at	latexin	LXN	0.024	-1.75	Miscellaneous
1553254_at	melanoma antigen family E, 2	MAGEE2	0.022	2.6	Miscellaneous
213749_at	mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)	MASP1	0.046	-1.64	Miscellaneous
213403_at	Major facilitator superfamily domain containing 9	MFSD9	0.013	1.81	Miscellaneous
212885_at	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	MPHOSPH10	0.044	2.39	Miscellaneous
37408_at	mannose receptor, C type 2	MRC2	0.023	1.54	Miscellaneous
237560_at	Mitochondrial ribosomal protein S5	MRPS5	0.001	-1.62	Miscellaneous
214753_at	NEDD4 binding protein 2-like 2	N4BP2L2	0.021	-1.7	Miscellaneous
242576_x_at	NEDD4 binding protein 2-like 2	N4BP2L2	0.027	-1.76	Miscellaneous
233539_at	N-acyl phosphatidylethanolamine phospholipase D	NAPEPLD	0.03	-1.5	Miscellaneous
218557_at	nitrilase family, member 2	NIT2	0.029	5.38	Miscellaneous
206477_s_at	neuro-oncological ventral antigen 2	NOVA2	0.024	-1.67	Miscellaneous
200649_at	nucleobindin 1	NUCB1	0.008	-1.68	Miscellaneous
211261_at	nucleoporin 214kDa	NUP214	0.006	1.52	Miscellaneous
213517_at	poly(rC) binding protein 2	PCBP2	0.027	-1.72	Miscellaneous
232376_at	Propionyl Coenzyme A carboxylase, alpha polypeptide	PCCA	0.002	-1.61	Miscellaneous
224212_s_at	protocadherin alpha 1	PCDHA1	0.045	-2.34	Miscellaneous
224212_s_at	protocadherin alpha 10	PCDHA10	0.045	-2.34	Miscellaneous
224212_s_at	protocadherin alpha 11	PCDHA11	0.045	-2.34	Miscellaneous
224212_s_at	protocadherin alpha 12	PCDHA12	0.045	-2.34	Miscellaneous
224212_s_at	protocadherin alpha 13	PCDHA13	0.045	-2.34	Miscellaneous
224212_s_at	protocadherin alpha 2	PCDHA2	0.045	-2.34	Miscellaneous
224212_s_at	protocadherin alpha 3	PCDHA3	0.045	-2.34	Miscellaneous
224212_s_at	protocadherin alpha 4	PCDHA4	0.045	-2.34	Miscellaneous
224212_s_at	protocadherin alpha 5	PCDHA5	0.045	-2.34	Miscellaneous
224212_s_at	protocadherin alpha 6	PCDHA6	0.045	-2.34	Miscellaneous
224212_s_at	protocadherin alpha 7	PCDHA7	0.045	-2.34	Miscellaneous
