Gene	Fold change DSS vs. normal	Fold change DSS + LAB vs. normal
IL1 beta	8.988	3.06
IL4	1.9	2.316
IL6	22.83	2.988
IL10	1.881	2.039
IL12a	1.163	2.905
IL12b	2.191	2.09
IL17f	1.78	3.714
TNF-alpha	2.238	1.999
IFN-gamma	2.573	1.921
IL1RL1	6.071	2.635
IL12RB1	1.662	1.145
IL12RB2	1.52	1.36
TNFRST1B	2.077	1.34
TLR2	1.158	1.116
TLR4	1.34	1.073
TLR9	1.277	1.155
S100A8	15.04	3.606
S100A9	15.8	3.746
PAP	7.863	4.301
COX-2	2.537	0.946
CCL2	4.496	2.04
CCL4	6.734	2.297
CCL5	3.585	3.089
CCL7	3.506	1.447
CCL8	4.726	3.464
CCL24	3.325	1.488
CCR3	3.387	2.085
CCR7	0.266	1.2
CXCL1	5.019	2.133
CXCL2	5.399	2.906
CXCL5	21.44	4.439
CXCL9	8.673	4.442
CXCL10	6.06	2.162
MMP3	23.5	5.804
MMP9	2.742	2.125
MMP10	5.541	3.432
MMP13	9.923	2.446
MMP14	0.442	0.301
DEFA1	6.258	2.07
