Gene Id	GeneSymbol	Gene Name	log2 ratio	P value	FDR	Function
NM_130786	A1BG	Alpha-1-B glycoprotein	4.645	0.026	0.032	Plasma glycoprotein
NM_001023587	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	1.069	0.037	0.041	Drug efflux transporter
NM_001615	ACTG2	Actin, gamma 2, smooth muscle, enteric	6.495	0.001	0.002	Cell motility
NM_001633	AMBP	Alpha-1-microglobulin/bikunin precursor	1.531	0	0	Precursor of urinary trypsin inhibitor and lipocalin transport protein
NM_001643	APOA2	Apolipoprotein A2	2.434	0	0	Stabilize high density lipoprotein (HDL) structure and HDL metabolism
NM_000041	APOE	Apolipoprotein E	2.519	0.002	0.004	Lipoprotein catabolism, binding and internalization
NM_001645	APOC1	Apolipoprotein C1	1.601	0	0	Modulate lipoprotein interactions
NM_152547	BTNL9	Butyrophilin-like protein 9 precursor	1.693	0	0	Membrane-based protein with unknown function
NM_001855	COL15A1	Collagen, type XV, alpha 1	2.858	0.013	0.019	Structural protein
NM_001008540	CXCR4	Chemokine (C-X-C motif) receptor 4	2.663	0	0	Receptor specific for stromal cell-derived factor-1
NM_001135604	ESM1	Endothelial cell-specific molecule 1	2.59	0.018	0.024	Lung endothelial cell-leukocyte interactions and endothelium-dependent pathological disorders
NM_001442	FABP4	Fatty acid binding protein 4, adipocyte	2.183	0	0	Fatty acid uptake, transport, and metabolism
NM_004467	FGL1	Fibrinogen-like 1	2.832	0	0	Hepatocyte mitogenic activity, HCC development
NM_004484	GPC3	Glypican 3	2.686	0.026	0.032	Control of cell division and growth regulation
NR_002196	H19	H19, imprinted maternally expressed transcript (non-protein coding)	2.9	0	0	Tumor suppression
NM_000412	HRG	Histidine-rich glycoprotein	1.713	0.031	0.036	Blood coagulation
NM_000599	IGFBP5	Insulin-like growth factor binding protein 5	2.992	0	0	Prolong the half-life of the IGFs and regulate the growth promoting effects of IGFs
NM_002215	ITIH1	Inter-alpha (globulin) inhibitor H1	2.536	0.018	0.024	Hyaluronan synthesis, binding and transport and stimulation of phagocytotic cells
NM_002217	ITIH3	Inter-alpha (globulin) inhibitor H3	4.975	0.013	0.019	Extracellular matrix stabilization
NM_002291	LAMB1	Laminin, beta 1	1.633	0.037	0.041	Cell adhesion, differentiation and migration
NM_005947	MT1B	Metallothionein 1B	6.818	0	0	Bind heavy metals
NM_000607	ORM1	Orosomucoid 1	2.699	0	0	Unknown but suspected to be linked to immunosuppression
NM_001145031	PLAU	Plasminogen activator, urokinase	2.348	0.032	0.037	Degradation of the extracellular matrix
NM_006622	PLK2	Polo-like kinase 2	2.32	0	0	Regulation cell cycle progression, mitosis, cytokinesis, and DNA damage response
NM_031310	PLVAP	Plasmalemma vesicle associated protein	1.804	0	0	Formation of stomatal, microvascular permeability and fenestral diaphragms
NM_015869	PPARG	Peroxisome proliferator-activated receptor gamma	2.501	0.01	0.015	Regulation of adipocyte differentiation
NM_012212	PTGR1	Prostaglandin reductase 1	1.629	0.023	0.029	Inactivation of the chemotactic factor, leukotriene B4
NM_021033	RAP2A	RAP2A, member of RAS oncogene family	2.11	0.031	0.036	GTPase activity
NM_001085	SERPINA3	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	1.509	0.031	0.036	Plasma protease inhibitor
NM_012339	TSPAN15	Tetraspanin 15	4.21	0	0	Regulation of cell development, activation, growth and motility
