ID	Sequence description	0 h	4 h	8 h	16 h
147760	IL-1a	5.75	10.33	10.37	11.19
147620	IL-6	9.28	15.02	13.79	13.85
146930	IL-8	12.49	15.43	15.23	15.19
606001	IL-32	6.55 (0.82 +/- 0.57)	9.86 (2.1 +/- 0.11)	10.93 (2.4 +/- 0.24)	11.12 (2.9 +/- 0.14)
138970	G-CSF	13.74	10.74	10.79	11.47
138960	GM-CSF	6.87	13.02	12.86	13.46
155730	CXCL1	10.08	15.33	15.08	14.99
139110	CXCL2	6.3	9.26	8.23	8.12
139111	CXCL3	7.36 (0.12 +/- 0.17)	14.75 (7.5 +/- 0.25)	14.01 (6 +/- 0.2)	13.89 (5.7 +/- 0.32)
600324	CXCL5	5.43	10.01	11.28	11.98
138965	CXCL6	6.06	11.48	12.5	12.83
601880	CX3CL1	7.36	14.75	14.01	13.89
158105	CCL2	9.82	15.27	15.18	15.02
601960	CCL20	3.07	13.7	11.96	12.39
605717	Inducible T-cell costimulatory ligand	6.49	8.79	8.79	9
601920	Jagged 1	9.55	11.77	11.92	11.71
602643	TNFR superfamily member 11 (OPG)	2.93 (0.24 +/- 0.2)	10.86 (9.2 +/- 0.27)	10.43 (7.8 +/- 0.11)	10.6 (9.4 +/- 0.44)
600978	Lymphotoxin b	6.62	7.53	8.12	9.07
159540	LIF	5.58	9.48	8.17	8.49
603726	FGF-18	4.69 (0.4 +/- 0.56)	7.71 (4.1 +/- 0.23)	5.94 (2.5 +/- 0.39)	5.07 (2 +/- 0.19)
