Gene	Fold change between relapsers and non-relapsers	Hazard ratio	95% confidence interval	Significance value
OSTEOPONTIN	1.55	3.17	1.91-5.26	2.11 × 10-6
RAD54B	1.39	8.59	3.17-23.31	9.40 × 10-6
HMMR	1.43	4.36	2.08-9.13	0.00006
CDKN2B	0.71	0.33	0.19-0.56	0.0001
DEK	1.15	16.94	4.32-66.45	0.0001
TK1	1.23	7.82	2.70-22.65	0.0002
ITGB4	0.74	0.35	0.20-0.60	0.0002
BIRC5	1.3	4.36	1.82-10.41	0.0003
DSP	0.65	0.6	0.46-0.78	0.0003
ING1	1.13	12.81	3.07-53.47	0.0003
TOP2A	1.19	6.86	2.19-21.49	0.0003
AR	0.63	0.25	0.11-0.55	0.0003
E2F5	1.34	3.86	1.82-8.19	0.0004
TGFA	0.66	0.32	0.16-0.63	0.0004
RECQL	1.18	8.64	2.58-29.00	0.0004
BLM	1.24	4.35	1.86-10.14	0.0005
FHIT	1.26	3.99	1.75-9.10	0.0006
GRB7	0.66	0.53	0.37-0.76	0.0006
TFAP2C	0.75	0.36	0.20-0.64	0.0006
RAD51	1.3	4.16	1.81-9.53	0.0007
