Gene symbol	Gene ID	Gene description
AKAP4	8852	A kinase (PRKA) anchor protein 4
ARHGAP11A	9824	Rho GTPase activating protein 11A
ASPM	259266	Asp (abnormal spindle) homolog, microcephaly associated (Drosophila)
BARD1	580	BRCA1 associated RING domain 1
BIRC5	332	Baculoviral IAP repeat-containing 5 (survivin)
BRCA1	672	Breast cancer 1, early onset
C12orf32	83695	Chromosome 12 ORF 32
C17orf80	55028	Chromosome 17 ORF 80
C2orf48	348738	Chromosome 2 ORF 48
C4orf21	55345	Chromosome 4 ORF 21
CAPN14	440854	Calpain 14
CASC5	57082	Cancer susceptibility candidate 5
CCDC102A	92922	Coiled-coil domain containing 102A
CCDC111	201973	Coiled-coil domain containing 111
CCDC15	80071	Coiled-coil domain containing 15
CDCA2	157313	Cell division cycle associated 2
CDKN3	1033	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
CENPH	64946	Centromere protein H
CENPK	64105	Centromere protein K
CKAP2L	150468	Cytoskeleton associated protein 2-like
CKS2	1164	CDC28 protein kinase regulatory subunit 2
CTNNAL1	8727	Catenin (cadherin-associated protein), alpha-like 1
DHFR	1719	Dihydrofolate reductase
DHX57	90957	DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57
DIAPH3	81624	Diaphanous homolog 3 (Drosophila)
DLGAP5	9787	Discs, large (Drosophila) homolog-associated protein 5
DTL	51514	Denticleless homolog (Drosophila)
DTYMK	1841	Deoxythymidylate kinase (thymidylate kinase)
ECT2	1894	Epithelial cell transforming sequence 2 oncogene
ENAH	55740	Enabled homolog (Drosophila)
FANCI	55215	Fanconi anemia, complementation group I
FBXO5	26271	F-box protein 5
GGH	8836	ã-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
GINS2	51659	GINS complex subunit 2 (Psf2 homolog)
GMNN	51053	Geminin, DNA replication inhibitor
H2AFZ	3015	H2A histone family, member Z
HMGB2	3148	High-mobility group box 2
IFNA17	3451	IFN, alpha 17
IFNA4	3441	IFN, alpha 4
JAM2	58494	Junctional adhesion molecule 2
KIAA0101	9768	KIAA0101
KIF11	3832	Kinesin family member 11
KIF15	56992	Kinesin family member 15
KIF2C	11004	Kinesin family member 2C
KIF4A	24137	Kinesin family member 4A
KNTC1	9735	Kinetochore associated 1
LIG1	3978	Ligase I, DNA, ATP-dependent
LMAN1L	79748	Lectin, mannose-binding, 1 like
LOC91431	91431	Prematurely terminated mRNA decay factor-like
MAD2L1	4085	MAD2 mitotic arrest deficient-like 1 (yeast)
MCM2	4171	Minichromosome maintenance complex component 2
MCM3	4172	Minichromosome maintenance complex component 3
MELK	9833	Maternal embryonic leucine zipper kinase
MND1	84057	Meiotic nuclear divisions 1 homolog (S. cerevisiae)
MORN2	378464	MORN repeat containing 2
NACA	4666	Nascent polypeptide-associated complex alpha subunit
NCAPH	23397	Non-SMC condensin I complex, subunit H
NDC80	10403	NDC80 homolog, kinetochore complex component (S. cerevisiae)
NEK2	4751	NIMA (never in mitosis gene a)-related kinase 2
NMU	10874	Neuromedin U
NUF2	83540	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)
PBK	55872	PDZ binding kinase
PCNA	5111	Proliferating cell nuclear antigen
POLQ	10721	Polymerase (DNA directed), theta
PRIM1	5557	Primase, DNA, polypeptide 1 (49 kDa)
PROM1	8842	Prominin 1
PSG5	5673	Pregnancy specific beta-1-glycoprotein 5
PTTG1	9232	Pituitary tumor-transforming 1
PTTG3	26255	Pituitary tumor-transforming 3
PXMP2	5827	Peroxisomal membrane protein 2, 22 kDa
RAD51	5888	RAD51 homolog (RecA homolog, E. coli)(S. cerevisiae)
RANBP1	5902	RAN binding protein 1
RRM2	6241	Ribonucleotide reductase M2 polypeptide
RTKN	6242	Rhotekin
SGOL1	151648	Shugoshin-like 1 (Schizosaccharomyces pombe)
SLC2A11	66035	Solute carrier family 2 (facilitated glucose transporter), member 11
SMC2	10592	Structural maintenance of chromosomes 2
SNRPE	6635	Small nuclear ribonucleoprotein polypeptide E
SYTL4	94121	Synaptotagmin-like 4 (granuphilin-a)
TIMELESS	8914	Timeless homolog (Drosophila)
TM4SF1	4071	Transmembrane 4 L six family member 1
TMEM106C	79022	Transmembrane protein 106C
TOP2A	7153	Topoisomerase (DNA) II alpha 170 kDa
TPX2	22974	TPX2, microtubule-associated, homolog (Xenopus laevis)
TRIP13	9319	Thyroid hormone receptor interactor 13
TROAP	10024	Trophinin associated protein (tastin)
TTK	7272	TTK protein kinase
TYMS	7298	Thymidylate synthetase
WDR34	89891	WD repeat domain 34
