Affymetrix ID	Gene name	Gene symbol	Public transcript ID	0X	0.3X	0.6X	Fold change in 0.3X
1388730_at	CDC42 effector protein (Rho GTPase binding) 4	Cdc42ep4	XM_001081647	1.169	0.836	1.359	-1.4
1368809_at	CAP, adenylate cyclase-associated protein 1	Cap1	NM_022383	1.134	0.808	1.243	-1.4
1387373_at	Phosphodiesterase 4D interacting protein	Pde4dip	NM_022382	1.122	0.787	1.231	-1.43
1393959_at	Transcribed locus	-	BI293249	1.14	0.784	1.268	-1.45
1392547_at	Hypothetical LOC302884	MGC105649	NM_001008518	1.278	0.85	1.214	-1.5
1373445_at	Nucleolar protein 8	Nol8	XM_001056049	1.296	0.86	1.146	-1.51
1378056_at	Geminin	Gmnn	XM_001063272	1.293	0.858	1.105	-1.51
1389383_at	Transcribed locus	-	BI289855	1.159	0.769	1.343	-1.51
1379226_at	Absent in melanoma 1-like	Aim1l	XM_001066449	1.353	0.889	1.063	-1.52
1373555_at	Transcribed locus	-	BM392315	1.295	0.847	1.274	-1.53
1389333_at	Similar to F-box only protein 3 isoform 1	LOC687307 / LOC690634	AI407074	1.312	0.858	1.108	-1.53
1391985_at	Transcribed locus	-	BI288541	1.247	0.815	1.353	-1.53
1383115_at	Transcribed locus	-	AW522557	1.285	0.836	1.092	-1.54
1399016_at	MYST histone acetyltransferase 2	Myst2	NM_181081	1.222	0.794	1.256	-1.54
1371908_at	NTF2-related export protein 1	Nxt1	XM_215858	1.275	0.824	1.156	-1.55
1399017_at	Transcribed locus	-	AI234040	1.307	0.835	1.196	-1.57
1374750_at	Transcribed locus	-	AI172313	1.201	0.767	1.26	-1.57
1385024_at	cutC copper transporter homolog	Cutc	XM_001060579	1.33	0.846	1.122	-1.57
1370354_at	Poly (ADP-ribose) glycohydrolase	Parg	NM_031339	1.19	0.756	1.251	-1.57
1371933_at	-	-	AI228039	1.24	0.781	1.253	-1.59
1393186_at	Transmembrane protein 167B	Tmem167b	XM_001071753	1.347	0.847	1.191	-1.59
1389673_at	Transcribed locus	-	AI549393	1.219	0.759	1.084	-1.61
1367495_at	Similar to prefoldin 4 (predicted)	RGD1560211_predicted	XR_009562	1.302	0.804	1.174	-1.62
1375183_at	Inhibitor of DNA binding 4	Id4	NM_175582	1.282	0.785	1.113	-1.63
1373736_at	Transcribed locus	-	AI178446	1.287	0.784	1.042	-1.64
1374924_at	Transcribed locus	-	BE098025	1.301	0.782	1.212	-1.66
1392494_at	Similar to hypothetical protein D030056L22	LOC499331	NM_001024293	1.29	0.744	1.373	-1.73
1389397_at	Transcribed locus	-	AI234012	1.316	0.751	1.281	-1.75
1367776_at	Cell division cycle 2 homolog A	Cdc2a	NM_019296	1.287	0.732	1.272	-1.76
1391928_at	Golgi associated PDZ and coiled-coil motif containing	Gopc	XM_001059699	1.329	0.754	1.218	-1.76
1398773_at	KH domain containing, RNA binding, signal transduction associated 1	Khdrbs1	NM_130405	1.373	0.768	1.285	-1.79
1382854_at	Transcribed locus	-	AI232286	1.376	0.759	1.248	-1.81
1385139_at	Similar to RIKEN cDNA D330028D13	LOC500118	NM_001025771	1.56	0.763	1.545	-2.04
1372414_at	Transcribed locus	-	BI281979	1.442	0.698	1.3	-2.07
1373962_at	Ubiquitin specific protease 32	Usp32	XM_001081109	1.318	0.606	1.484	-2.17
1383512_at	Myeloid/lymphoid or mixed-lineage leukemia ; translocated to, 10	Mllt10	NM_001012162	1.462	0.623	1.529	-2.35
1373038_at	Myeloid/lymphoid or mixed-lineage leukemia ; translocated to, 10	Mllt10	NM_001012162	1.65	0.586	1.575	-2.82
1385132_at	Transcribed locus	-	AI044253	1.774	0.612	1.81	-2.9
