miRNA ID	Fold change
hsa-miR-1	-371.11
hsa-miR-133a	-139.92
hsa-miR-133b	-127.56
hsa-miR-10b	-94.71
hsa-miR-100	-33.73
hsa-miR-125b	-33.37
hsa-miR-99a	-33.3
hsa-miR-150	-27.18
hsa-miR-22	-26.04
hsa-miR-181c	-21.31
hsa-miR-375	-19.54
hsa-miR-139	-18.74
hsa-miR-29c	-17.47
hsa-miR-10a	-13.79
hsa-miR-500	-10.14
hsa-miR-145	-9.46
hsa-miR-143	-8.94
hsa-miR-199b	-8.67
hsa-miR-125a	-8.33
hsa-miR-378	-7.63
hsa-miR-30e	-7.25
hsa-miR-486	-7.04
hsa-miR-31	-6.99
hsa-miR-29a	-6.79
hsa-miR-365	-6.53
hsa-miR-182	-6.52
hsa-miR-222	-6.13
hsa-miR-181a	-5.32
hsa-miR-424	-5.13
