Affymetrix probe set name	Gene name	Gene symbol	Drug-resistant cell lines	Drug-sensitive cell lines	Fold change‡	P§
211719_x_at	Fibronectin 1	FN1	3376 (1740)	132 (91)	25.6	0.019
209463_s_at	TAF12 RNA ?polymerase II	TAF12	504 (150)	63 (4)	8	0.006
217751_at	Glutathione S-transferase ?kappa 1	GSTK1	1580 (304)	239 (125)	6.6	0.02
202201_at	Biliverdin reductase B	BLVRB	482 (156)	84 (24)	5.7	0.015
201841_s_at	Heat shock 27-kDa ?protein 1	HSPB1	3736 (957)	656 (128)	5.7	0.008
212464_s_at	Fibronectin 1	FN1	2516 (979)	454 (13)	5.5	0.022
203522_at	Copper chaperone for ?superoxide dismutase	CCS	366 (67)	89 (3)	4.1	0.004
209629_s_at	Nuclear transport factor ?2–like export factor 2	NXT2	769 (39)	198 (46)	3.9	0.005
211792_s_at	Cyclin-dependent ?kinase inhibitor 2C	CDKN2C	907 (49)	302 (48)	3	0.003
201209_at	Histone deacetylase 1	HDAC1	1443 (134)	719 (129)	2	0.021
