Gene Symbol	Gene Name	Chromosome  Location	Fold Difference	Category
ALDH2	Aldehydedehydrogenase2family(mitochondrial)	12q24.2	2.08	Metabolism
ADK	Adenosinekinase	10q22	2.27	Metabolism
AOX1	Aldehydeoxidase1	2q33	4.1	Metabolism
KMO	Kynurenine3-monooxygenase(kynurenine3-hydroxylase)	1q42-q44	2.7	Metabolism
ETFDH	Electron-transferring-flavoproteindehydrogenase	4q32-q35	2.28	Metabolism
ACSL5	Acyl-CoAsynthetaselong-chainfamilymember5	10q25.1-q25.2	3.89	Metabolism
LHPP	Phospholysinephosphohistidineinorganicpyrophosphatephosphatase	10q26.13	2.12	Metabolism
SLC7A2	Solutecarrierfamily7,member2	8p22-p21.3	3.21	Metabolism
SLC25A28	Solutecarrierfamily25,member28	10q23-q24	2.16	Metabolism
ABHD6	Abhydrolasedomaincontaining6	3p14.3	2.58	Metabolism
EBPL	Emopamilbindingprotein-like	13q12-q13	2.25	Metabolism
HS3ST3B1	Heparansulfate(glucosamine)3-O-sulfotransferase3B1	17p12-p11.2	2.2	Metabolism
ADH4	Alcoholdehydrogenase4(classII),pipolypeptide	4q22	2.52	Metabolism
AADAT	Aminoadipateaminotransferase	4q33	3.43	Metabolism
CYP4V2	CytochromeP450,family4,subfamilyV,polypeptide2	4q35.1-q35.2	2.45	Metabolism
IGF2	Insulin-likegrowthfactor2(somatomedinA)	11p15.5	17.06	Hormonal/growthfactor/receptor
ESR1	Estrogenreceptor1	6q25.1	3.81	Hormonal/growthfactor/receptor
ADRA1A	Adrenergic,alpha-1A-,receptor	8p21-p11.2	3.37	Hormonal/growthfactor/receptor
LRIG1	Leucine-richrepeatsandimmunoglobulin-likedomains1	3p14	2.33	Hormonal/growthfactor/receptor
NCOR1	Nuclearreceptorco-repressor1	17p11.2	2.73	Hormonal/growthfactor/receptor
IF	Ifactor(complement)	4q25	3.19	Complementactivation
C8A	Complementcomponent8,alphapolypeptide	1p32	3.6	Complementactivation
MASP1	Mannan-bindinglectinserineprotease1	3q27-q28	2.5	Complementactivation
MASP2	Mannan-bindinglectinserineprotease2	1p36.3-p36.2	3.33	Complementactivation
C6	Complementcomponent6	5p13	2.43	Complementactivation
NR1H4	Nuclearreceptorsubfamily1,groupH,member4	12q23.1	2.13	Transcriptionfactor
TCF7L2	Transcriptionfactor7-like2(T-cellspecific,HMG-box)	10q25.3	3.02	Transcriptionfactor
NRBF2	Nuclearreceptorbindingfactor2	10q21.3	2.39	Transcriptionfactor
PCNA	Proliferatingcellnuclearantigen	20pter-p12	22.3	DNArepair/cellcycleregulator/apoptosis
CDC37L1	Celldivisioncycle37homolog(S.cerevisiae)-like1	9p24.1	2.06	DNArepair/cellcycleregulator/apoptosis
CIDEB	Celldeath-inducingDFFA-likeeffectorb	14q11.2	3.9	DNArepair/cellcycleregulator/apoptosis
HMGN4	Highmobilitygroupnucleosomalbindingdomain4	6p21.3	22	DNArepair/cellcycleregulator/apoptosis
CLU	Clusterin	8p21-p12	4.98	DNArepair/cellcycleregulator/apoptosis
PRRX1	Pairedrelatedhomeobox1	1q24	24	DNArepair/cellcycleregulator/apoptosis
TMOD1	Tropomodulin1	9q22.3	9.52	Cytoskeleton
GPHN	Gephyrin	14q23.3	2.25	Cytoskeleton
MYO1B	MyosinIB	2q12-q34	2.23	Cytoskeleton
PTPN3	Proteintyrosinephosphatase,non-receptortype3	9q31	2.67	Cellsignalling
IFNAR1	Interferon(alpha,beta,andomega)receptor1	21q22.11	2.38	Cellsignalling
KIBRA	KIBRAprotein	5q35.1	3.64	Cellsignalling
EVA1	EpithelialV-likeantigen1	11q24	22.4	Celladhesion
SEMA4F	Semadomain,andshortcytoplasmicdomain,(semaphorin)4F	2p13.1	23	Celladhesion
DCL-1	TypeItransmembraneC-typelectinreceptorDCL-1	2q24.2	3.09	Miscellaneous
ASAHL	N-acylsphingosineamidohydrolase(acidceramidase)-like	4q21.1	2.63	Miscellaneous
DNAJC12	DnaJ(Hsp40)homolog,subfamilyC,member12	10q22.1	8.77	Miscellaneous
C1RL	Complementcomponent1,rsubcomponent-like	12p13.31	2.49	Miscellaneous
P2RY13	PurinergicreceptorP2Y,G-proteincoupled,13	3q24	4.83	Miscellaneous
FLJ14490	HypotheticalproteinFLJ14490	1p34.2	4.91	Miscellaneous
INM01	HypotheticalproteinINM01	8p23.3	2.39	Miscellaneous
FAM20A	Familywithsequencesimilarity20,memberA	17q24.2	3.01	Miscellaneous
FLJ10569	HypotheticalproteinFLJ10569	8p21.3	2.61	Miscellaneous
FLJ32954	HypotheticalproteinFLJ32954	2p22.2	2.41	Miscellaneous
PEG3	Paternallyexpressed3	19q13.4	2.32	Miscellaneous
RIPX	rap2interactingproteinx	4q21.1	2.17	Miscellaneous
