Probesets	Symbol	AveExpr	F	P.Value	adj.P.Val
209310 s at	CASP4	2.28E-16	6.343	0.001759	0.1572
221004 s at	ITM2C	-2.72E-16	6.245	0.00194	0.1572
221912 s at	CCDC28B	-1.26E-16	6.139	0.002158	0.1572
209735 at	ABCG2	-8.48E-17	5.973	0.002545	0.1572
221297 at	GPRC5D	2.56E-17	5.863	0.002843	0.1572
206060 s at	PTPN22	1.63E-16	5.853	0.002872	0.1572
210145 at	PLA2G4A	-1.39E-17	5.676	0.003427	0.1572
218330 s at	NAV2	-1.50E-16	5.673	0.003438	0.1572
209568 s at	RGL1	-2.62E-16	5.652	0.003512	0.1572
212543 at	AIM1	1.10E-16	5.51	0.004046	0.1572
200602 at	APP	5.09E-17	5.246	0.005266	0.1572
221268 s at	SGPP1	1.59E-16	5.236	0.00532	0.1572
205807 s at	TUFT1	-1.82E-16	5.179	0.005635	0.1572
203758 at	CTSO	6.01E-17	5.131	0.005908	0.1572
204552 at	INPP4A	2.81E-16	5.117	0.005996	0.1572
201125 s at	ITGB5	-4.72E-16	5.089	0.006163	0.1572
210942 s at	ST3GAL6	-5.20E-17	5.081	0.006216	0.1572
206121 at	AMPD1	-7.86E-17	5.053	0.006393	0.1572
222258 s at	SH3BP4	-1.22E-16	5.032	0.006529	0.1572
219572 at	CADPS2	-3.55E-17	4.992	0.006795	0.1572
211368 s at	CASP1	4.16E-17	4.929	0.007237	0.1572
34210 at	CD52	-5.55E-17	4.916	0.007325	0.1572
202551 s at	CRIM1	-1.35E-16	4.91	0.007374	0.1572
202947 s at	GYPC	-1.59E-16	4.866	0.007705	0.1572
212886 at	CCDC69	3.92E-16	4.857	0.007771	0.1572
205016 at	TGFA	-6.82E-17	4.85	0.007827	0.1572
209163 at	CYB561	4.80E-18	4.827	0.008014	0.1572
219191 s at	BIN2	1.11E-16	4.81	0.008145	0.1572
210279 at	GPR18	-1.39E-16	4.801	0.008222	0.1572
218793 s at	SCML1	1.30E-16	4.77	0.008479	0.1572
205110 s at	FGF13	2.47E-17	4.755	0.008606	0.1572
214023 x at	TUBB2B	-1.07E-16	4.646	0.009601	0.1572
202609 at	EPS8	-2.66E-17	4.643	0.009632	0.1572
221526 x at	PARD3	1.67E-16	4.634	0.009717	0.1572
221645 s at	ZNF83	7.92E-17	4.612	0.009929	0.1572
221704 s at	VPS37B	-2.32E-16	4.585	0.0102	0.1572
219221 at	ZBTB38	3.30E-16	4.567	0.01039	0.1572
212715 s at	MICAL3	1.76E-16	4.555	0.01051	0.1572
213415 at	CLIC2	7.71E-17	4.534	0.01073	0.1572
222317 at	PDE3B	5.47E-17	4.52	0.01088	0.1572
206698 at	XK	-1.48E-16	4.508	0.01102	0.1572
202732 at	PKIG	-2.31E-18	4.485	0.01128	0.1572
200660 at	S100A11	2.01E-16	4.463	0.01153	0.1572
218723 s at	C13orf15	-7.56E-17	4.444	0.01175	0.1572
204730 at	RIMS3	-2.51E-16	4.44	0.0118	0.1572
212588 at	PTPRC	-9.25E-17	4.381	0.01251	0.1572
204589 at	NUAK1	-1.82E-16	4.379	0.01254	0.1572
207826 s at	ID3	-3.77E-16	4.369	0.01266	0.1572
212195 at	IL6ST	1.26E-16	4.364	0.01273	0.1572
222150 s at	PION	-9.71E-17	4.363	0.01273	0.1572
218080 x at	FAF1	5.16E-16	4.352	0.01288	0.1572
212724 at	RND3	-1.54E-16	4.34	0.01303	0.1572
203932 at	HLA-DMB	-2.11E-16	4.332	0.01314	0.1572
214890 s at	FAM149A	-2.39E-16	4.276	0.0139	0.1612
201301 s at	ANXA4	-3.85E-16	4.256	0.01418	0.1612
213325 at	PVRL3	-2.41E-16	4.228	0.01458	0.1612
219159 s at	SLAMF7	-8.64E-17	4.22	0.0147	0.1612
221727 at	SUB1	2.80E-16	4.204	0.01494	0.1612
209829 at	FAM65B	9.56E-17	4.179	0.01531	0.1612
202371 at	TCEAL4	-2.07E-16	4.177	0.01535	0.1612
221942 s at	GUCY1A3	1.58E-16	4.165	0.01553	0.1612
201998 at	ST6GAL1	-2.89E-17	4.14	0.01592	0.1612
202746 at	ITM2A	3.08E-18	4.134	0.01602	0.1612
207307 at	HTR2C	1.67E-16	4.104	0.01651	0.1635
201063 at	RCN1	5.86E-17	4.041	0.01758	0.1677
204613 at	PLCG2	4.24E-18	4.024	0.01789	0.1677
