Gene	Description	Probeset	Gene expression status in IG/IRF4+
ZIC1	Zic family member 1 (odd-paired homolog, Drosophila)	206373_at	Up-regulated
FRY	furry homolog (Drosophila)	214318_s_at	Up-regulated
FRY	furry homolog (Drosophila)	214319_at	Up-regulated
RGS3	regulator of G-protein signaling 3	203823_at	Up-regulated
NPAS2	neuronal PAS domain protein 2	39549_at	Up-regulated
DMD	dystrophin	208086_s_at	Up-regulated
TMC5	transmembrane channel-like 5	219580_s_at	Up-regulated
RTDR1	rhabdoid tumor deletion region gene 1	220105_at	Up-regulated
WWC1	WW and C2 domain containing 1	213085_s_at	Up-regulated
FOXG1	forkhead box G1	206018_at	Up-regulated
BTN1A1	butyrophilin, subfamily 1, member A1	207395_at	Up-regulated
ADCK2	aarF domain containing kinase 2	44120_at	Up-regulated
KRT5	keratin 5	201820_at	Up-regulated
MYRIP	myosin VIIA and Rab interacting protein	214156_at	Up-regulated
ADCK2	aarF domain containing kinase 2	221893_s_at	Up-regulated
ADORA2B	adenosine A2b receptor	205891_at	Up-regulated
FRK	fyn-related kinase	207178_s_at	Up-regulated
ADCK2	aarF domain containing kinase 2	221894_at	Up-regulated
FOXG1	forkhead box G1	207658_s_at	Up-regulated
RLN2	relaxin 2	214519_s_at	Up-regulated
SERHL2	serine hydrolase-like 2	214243_s_at	Up-regulated
PLXNA2	plexin A2	213030_s_at	Up-regulated
APBB2	amyloid beta (A4) precursor protein-binding	213419_at	Up-regulated
PRDM10	PR domain containing 10	219515_at	Up-regulated
CNP	2Åå,3Åå-cyclic nucleotide 3Åå phosphodiesterase	208912_s_at	Up-regulated
APBB2	amyloid beta (A4) precursor protein-binding	40148_at	Up-regulated
SERHL2	serine hydrolase-like 2	217284_x_at	Up-regulated
TTC9	tetratricopeptide repeat domain 9	213174_at	Up-regulated
DLGAP1	discs, large (Drosophila) homolog-associated protein 1	206489_s_at	Up-regulated
NEFH	neurofilament, heavy polypeptide	33767_at	Up-regulated
POLRMT	polymerase (RNA) mitochondrial (DNA directed)	203782_s_at	Up-regulated
SERHL2	serine hydrolase-like 2	217276_x_at	Up-regulated
CADM1	cell adhesion molecule 1	209032_s_at	Up-regulated
WWC1	WW and C2 domain containing 1	216074_x_at	Up-regulated
NPAS2	neuronal PAS domain protein 2	213462_at	Up-regulated
UCHL1	ubiquitin carboxyl-terminal esterase L1	201387_s_at	Up-regulated
MAP4	microtubule-associated protein 4	200835_s_at	Up-regulated
UBIAD1	UbiA prenyltransferase domain containing 1	219131_at	Up-regulated
BCAR3	breast cancer anti-estrogen resistance 3	204032_at	Up-regulated
GSTP1	glutathione S-transferase pi 1	200824_at	Up-regulated
DEF8	differentially expressed in FDCP 8 homolog (mouse)	219646_at	Up-regulated
SERPINB4	serpin peptidase inhibitor, clade B (ovalbumin), member 4	219646_at	Up-regulated
C6orf106	chromosome 6 open reading frame 106	217925_s_at	Up-regulated
IRF4	interferon regulatory factor 4	216986_s_at	Up-regulated
	hypothetical FLJ23584	219309_at	Up-regulated
OR7E47P	olfactory receptor, family 7, subfamily E, pseudogene	222304_x_at	Up-regulated
HSPA2	heat shock 70kDa protein 2	211538_s_at	Up-regulated
OGG1	8-oxoguanine DNA glycosylase	205301_s_at	Up-regulated
hCG_1774568	similar to hCG1774568	220354_at	Up-regulated
DMD	dystrophin	203881_s_at	Up-regulated
MRPS31	mitochondrial ribosomal protein S31	212603_at	Up-regulated
MAST2	microtubule associated serine/threonine kinase 2	211593_s_at	Up-regulated
IRF4	interferon regulatory factor 4	204562_at	Up-regulated
CSNK1E	casein kinase 1, epsilon	222015_at	Up-regulated
PPIL2	peptidylprolyl isomerase (cyclophilin)-like 2	209299_x_at	Up-regulated
DENND1A	DENN/MADD domain containing 1A	219763_at	Up-regulated
LOC441453	similar to olfactory receptor, family 7	217551_at	Up-regulated
MAP2K6	mitogen-activated protein kinase kinase 6	205698_s_at	Up-regulated
GAGE12I	G antigen 12I	206640_x_at	Up-regulated
RLN1	relaxin 1	211753_s_at	Up-regulated
CAMP	cathelicidin antimicrobial peptide	210244_at	Up-regulated
TECPR2	tectonin beta-propeller repeat containing 2	204308_s_at	Up-regulated
PAFAH1B2	platelet-activating factor	210160_at	Up-regulated
CAMSAP1	calmodulin regulated spectrin-associated protein 1	212712_at	Up-regulated
PLXNA2	plexin A2	207290_at	Up-regulated
PIGV	phosphatidylinositol glycan anchor biosynthesis, class V	51146_at	Up-regulated
C10orf137	chromosome 10 open reading frame 137	213410_at	Up-regulated
CADM1	cell adhesion molecule 1	209030_s_at	Up-regulated
FRMPD1	FERM and PDZ domain containing 1	206774_at	Up-regulated
BCL2L10	BCL2-like 10 (apoptosis facilitator)	221320_at	Up-regulated
PACSIN2	protein kinase C and casein kinase substrate in neurons 2	201651_s_at	Up-regulated
NEFH	neurofilament, heavy polypeptide	204412_s_at	Up-regulated
COX5A	cytochrome c oxidase subunit Va	203663_s_at	Up-regulated
NGLY1	N-glycanase 1	220742_s_at	Up-regulated
RPS6KC1	ribosomal protein S6 kinase, 52kDa, polypeptide 1	218909_at	Up-regulated
KIAA1644	KIAA1644	221901_at	Up-regulated
CTTN	cortactin	214073_at	Up-regulated
THSD4	thrombospondin, type I, domain containing 4	219153_s_at	Up-regulated
SIAH2	seven in absentia homolog 2 (Drosophila)	209339_at	Up-regulated
DHRS1	dehydrogenase/reductase (SDR family) member 1	213279_at	Up-regulated
NRN1	neuritin 1	218625_at	Up-regulated
CBFA2T3	core-binding factor, alpha subunit 2; translocated to, 3	208056_s_at	Up-regulated
IL16	interleukin 16 (lymphocyte chemoattractant factor)	209827_s_at	Up-regulated
LRRC20	leucine rich repeat containing 20	218550_s_at	Up-regulated
FRY	furry homolog (Drosophila)	204072_s_at	Up-regulated
RGS10	regulator of G-protein signaling 10	204319_s_at	Up-regulated
EPS8L2	EPS8-like 2	218180_s_at	Up-regulated
GCAT	glycine C-acetyltransferase	36475_at	Up-regulated
NET1	neuroepithelial cell transforming 1	201830_s_at	Up-regulated
APBB2	amyloid beta (A4) precursor protein-binding	212970_at	Up-regulated
PDZRN4	PDZ domain containing ring finger 4	220595_at	Up-regulated
PPIL2	peptidylprolyl isomerase (cyclophilin)-like 2	214986_x_at	Up-regulated
KIAA0100	KIAA0100	201728_s_at	Up-regulated
MRPS31	mitochondrial ribosomal protein S31	212604_at	Up-regulated
RNF141	ring finger protein 141	219104_at	Up-regulated
MED18	mediator complex subunit 18	221650_s_at	Up-regulated
LAD1	ladinin 1	216641_s_at	Up-regulated
CDV3	CDV3 homolog (mouse)	213554_s_at	Up-regulated
IDE	insulin-degrading enzyme	203328_x_at	Up-regulated
APOM	apolipoprotein M	205682_x_at	Up-regulated
DEFB4	defensin, beta 4	207356_at	Up-regulated
AMFR	autocrine motility factor receptor	202204_s_at	Up-regulated
C14orf93	chromosome 14 open reading frame 93	219009_at	Up-regulated
SFN	stratifin	33323_r_at	Up-regulated
QPCT	glutaminyl-peptide cyclotransferase	205174_s_at	Up-regulated
