Gene	Array	qRT-PCR	Pearsons Analysis R value	Pearsons Analysis P value	Spearmans Analysis R value	Spearmans Analysis P value
GEMIN6	1.9	2.57	0.8601	<0.0001	0.8824	<0.0001
KLF9	-2	-1.57	0.8455	<0.0001	0.903	<0.0001
SLC25A37	-3.33	-2.7	0.974	<0.0001	0.8579	<0.0001
MYLIP	-3.33	-1.5	0.8705	<0.0001	0.9398	<0.0001
PTGER4	-2.5	-1.51	0.6621	0.0015	0.8346	<0.0001
IDI1	-1.66	1	0.7936	<0.0001	0.613	0.0041
TK2	1.6	4.22	0.6948	0.001	0.7925	<0.0001
TNFAIP3	-5	-1.81	0.7882	<0.0001	0.8737	<0.0001
AMPD3	-2.5	-1.78	0.6744	0.0011	0.8605	<0.0001
SERF2	2.1	1.84	0.1055	0.6672	0.2158	0.3749
GEM	-3.33	2.7	0.2158	0.218	0.3414	0.1408
C6orf153	1.7	1.53	0.703	0.0005	0.6243	0.0033
FPGT	1.6	4.05	0.5985	0.0053	0.5609	0.0101
KITLG	-2	-1.74	0.714	0.0004	0.7098	0.0005
LHFP	-1.43	-1.2	0.5387	0.0143	0.409	0.0733
LLGL1	1.9	3.12	0.5126	0.0248	0.6053	0.006
ST3GAL6	1.6	1.56	0.509	0.063	0.6336	0.015
ADAM19	2.1	5.41	0.9611	<0.0001	0.9388	<0.0001
BAMBI	-2	-1.5	0.6469	0.0021	0.7068	0.0005
