Curated Gene Symbol	Gene Symbol	Description	Fold Change	p-value
ARHGAP26	ARHGAP26	Rho GTPase activating protein 26	?6.532	6.63E-08
CCND2	CCND2	Cyclin D2	?6.615	0.0117
RGCC	RGC32	Response gene to complement 32	?7.036	2.60E-16
PSG4	PSG4	Pregnancy specific beta-1-glycoprotein 4	?7.149	1.09E-15
		Transcribed locus	?7.179	4.97E-10
RDH10	RDH10	Retinol dehydrogenase 10 (all-trans)	?7.779	8.74E-12
STEAP2	STEAP2	Six transmembrane epithelial antigen of prostate 2	?8.158	1.67E-21
	COPl	CARD only protein	?10.944	2.92E-08
GPM6B	GPM6B	Glycoprotein M6B	?11.299	0.00000801
GPM6B	GPM6B	Glycoprotein M6B	?11.772	0.00000142
