Probe set	Gene symbol	Gene description	P-value	FDR	CHEK2 / non-CHEK2GM (ratio)
210416_s_at	CHEK2	Cell cycle checkpoint kinase 2	< 1e-07	< 1e-07	0.6 / 1.2 (0.5)
229388_at		cDNA clone IMAGE:5295564	4.0E-07	0.002	1.6 / 0.9 (1.8)
236098_at	RECQL5	RecQ protein-like 5	9.6E-06	0.035	1.6 / 0.9 (1.8)
1557383_a_at		cDNA FLJ38112 fis,  clone D3OST2002272	1.8E-05	0.042	1.8 / 0.8 (2.3)
231369_at	ZNF333	Zinc finger protein 333	2.6E-05	0.042	1.5 / 0.9 (1.7)
229795_at		Transcribed locus	2.8E-05	0.042	1.7 / 0.8 (2.1)
1555976_s_at	MRCL3	Myosin regulatory light chain 3	3.1E-05	0.042	1.6 / 0.9 (1.8)
223773_s_at	C1orf79	Chromosome 1 ORF 79	3.2E-05	0.042	1.5 / 0.9 (1.7)
215292_s_at	MKL1	Megakaryoblastic leukemia 1	3.8E-05	0.042	0.6 / 1.2 (0.5)
226444_at	SLC39A10	Solute carrier family 39, member 10  (zinc transporter)	3.9E-05	0.042	1.6 / 0.8 (2.0)
1553292_s_at	FLJ25006	Hypothetical protein FLJ25006	4.9E-05	0.045	1.5 / 0.9 (1.7)
1557242_at	MICA	MHC class I polypeptide-related   sequence A	5.0E-05	0.045	1.5 / 0.9 (1.7)
208798_x_at	GOLGA8A	Golgi autoantigen, golgin subfamily a, 8A	7.8E-05	0.065	1.7 / 0.8 (2.1)
1555878_at	RPS24	Ribosomal protein S24	9.4E-05	0.073	1.7 / 0.8 (2.1)
209889_at	SEC31L2	SEC31-like 2 (S. cerevisiae)	0.00011	0.077	1.5 / 0.9 (1.7)
228997_at	TRSPAP1	tRNA selenocysteine associated  protein 1	0.00013	0.087	1.7 / 0.8 (2.1)
227793_at		cDNA clone IMAGE:4361039	0.00014	0.087	1.8 / 0.8 (2.3)
214605_x_at	GPR1	G protein-coupled receptor 1	0.00016	0.093	1.5 / 0.9 (1.7)
221728_x_at	XIST	X (inactive)-specific transcript	0.00016	0.093	1.7 / 0.9 (1.9)
227154_at	IGSF21	Immunoglobin superfamily, member 21	0.00022	0.118	0.5 / 1.2 (0.4)
1555960_at	HINT1	Histidine triad nucleotide BP 1	0.00024	0.118	1.5 / 0.9 (1.7)
241402_at	TSEN54	tRNA splicing endonuclease 54  (S. cerevisiae)	0.00024	0.118	1.6 / 0.9 (1.8)
211497_x_at	NKX3-1	NK3 transcription factor related 1  (Drosophila)	0.00027	0.124	0.7 / 1.1 (0.6)
217317_s_at	HERC2P2	HECT domain and RLD 2  pseudogene 2	0.00029	0.124	1.4 / 0.9 (1.6)
217593_at	ZNF447	Zinc finger protein 447	0.00030	0.124	1.5 / 0.9 (1.7)
235535_x_at	LOC283788	Hypothetical protein LOC283788	0.00032	0.124	1.5 / 0.9 (1.7)
202127_at	PRPF4B	Pre-mRNA processing factor 4  homolog B (yeast)	0.00032	0.124	1.4 / 0.9 (1.6)
228030_at		Transcribed locus	0.00033	0.124	1.5 / 0.9 (1.7)
223774_at	C1orf79	Chromosome 1 ORF 79	0.00033	0.124	1.5 / 0.9 (1.7)
209403_at	TBC1D3	LOC 653380 / 653498	0.00036	0.129	1.7 / 0.9 (1.9)
220798_x_at	PRG2	Plasticity-related gene 2	0.00037	0.131	0.7 / 1.1 (0.6)
210656_at	EED	Embryonic ectoderm development	0.00039	0.134	1.5 / 0.9 (1.7)
211599_x_at	MET	MET proto-oncogene (HGFR)	0.00066	0.217	0.7 / 1.1 (0.6)
230959_at	LOC644450#	Hypothetical protein LOC644450	0.00072	0.231	1.4 / 0.9 (1.6)
221792_at	RAB6B	RAB6B, member RAS oncogene family	0.00077	0.234	0.7 / 1.1 (0.6)
227671_at	XIST	X (inactive)-specific transcript	0.00077	0.234	1.5 / 0.9 (1.7)
209007_s_at	C1orf63	Chromosome 1 ORF 63	0.00079	0.234	1.4 / 0.9 (1.6)
226305_at	LYNX1	Ly6 / Neurotoxin 1	0.00084	0.241	0.7 / 1.2 (0.6)
225259_at	RAB6B	RAB6B, member RAS oncogene family	0.00088	0.242	0.7 / 1.1 (0.6)
226363_at	ABCC5	ATP-binding cassette, sub-family C  (CFTR/MRP), member 5	0.00089	0.243	1.5 / 0.9 (1.7)
225786_at	LOC284702	Hypothetical protein LOC284702	0.00096	0.248	1.4 / 0.9 (1.6)
210425_x_at	GOLGA8B	Golgi autoantigen, golgin subfamily a, 8B	0.00096	0.248	1.5 / 0.9 (1.7)
221989_at	RPL10	LOC 284393 / 285176 /389342 /  39364 /644039 /647074	0.00097	0.248	1.4 / 0.9 (1.6)
