miRNA ID	Fold change
hsa-miR-9	1,069.05
hsa-miR-9	533.33
hsa-miR-106a	79.84
hsa-miR-20b	60.44
hsa-miR-184	52.68
hsa-miR-18	51.68
hsa-miR-466	46.21
hsa-miR-7	46
hsa-miR-711	38.07
hsa-miR-714	33.24
hsa-miR-17-5p	31.2
hsa-miR-669a	19.57
hsa-miR-20a	19.48
hsa-miR-346	17.41
hsa-miR-292-5p	14.87
hsa-miR-686	14.79
hsa-miR-706	14.09
hsa-miR-130b	11.99
hsa-miR-140	11.33
hsa-miR-140	10.75
hsa-miR-680	10.19
hsa-miR-301	10.04
hsa-miR-207	9.41
hsa-miR-290	9.26
hsa-miR-710	9.07
hsa-miR-92	8.77
hsa-miR-468	8.58
hsa-miR-685	8.45
hsa-miR-93	7.78
hsa-miR-721	7.48
hsa-miR-681	7.38
hsa-miR-712	7.01
hsa-miR-19b	6.62
hsa-miR-691	6.51
hsa-miR-699	6.2
hsa-miR-106b	5.48
