Gene	Ratio of Change
KRT15	5.1448
KRT4	5.0582
CYP4A12B	4.6897
KRT13	4.5248
KRT14	4.4163
ANXA8	4.3149
KRT5	4.301
TACSTD2	4.182
KRT6B	4.1757
CEACAM1	4.1426
9930032O22RI	4.1396
UPK1B	4.0946
DSG3	3.956
ENPP3	3.933
KRT6A	3.9257
SLC6A14	3.8995
CBR2	3.8739
TMPRSS11B	3.7424
DSC3	3.7068
TRIM29	3.7054
SCEL	3.6572
TMPRSS11A	3.6417
ADH7	3.6356
ALDH3A1	3.6319
AKR1B7	3.5832
BC100530	3.5756
DSG1A	3.5619
DSC2	3.5213
PGLYRP1	3.4777
FABP6	3.4499
PLAC8	3.4191
DSP	3.3436
S100A14	3.2942
ADH1	3.2901
MUC4	3.2862
RBP2	3.2579
CALML3	3.2514
CAPG	3.2201
KRT19	3.1758
LUM	3.1756
CMAH	3.1643
SERPINB5	3.1593
EMP1	3.1549
PPL	3.1142
PYHIN1	3.09
IL1F9	3.0649
DEFB1	3.0552
SAMD9L	3
FGFBP1	2.9933
ANXA2	2.9889
9930023K05RI	2.9783
IFITM1	2.9492
GSTA3	2.9068
GPR110	2.9005
DCN	2.847
SPINK5	2.823
EHF	2.7891
KRT7	2.7817
1600029D21RI	2.769
MALL	2.736
S100A9	2.7304
OCM	2.7168
CLDN7	2.6877
GM9912	2.6366
CENPK	4.0012
2810417H13R1	3.8653
CASC5	3.7474
BUB1	3.7178
RRM2	3.6037
CDH9	3.5187
MKI67	3.5062
PBK	3.4692
KRT4	3.466
MCM6	3.4537
KRT14	3.4365
NUDT10	3.4343
GEN1	3.3905
CCNB1	3.388
FAM111A	3.3757
CCNB1	3.3655
KIF11	3.3435
CCNB1	3.3391
KRT6B	3.3143
KRT15	3.3032
TOP2A	3.2889
CENPH	3.2249
ANLN	3.2177
HIST1H2AB	3.1439
BC100530	3.1268
C330027C09RI	3.0901
SGOL2	3.074
KRT5	3.0701
CKS2	3.0693
MNS1	3.0536
KRT13	3.0486
ACTC1	3.0294
KIF4	3.0204
NCAPG	3.0026
SPC24	3.0014
HELLS	2.9981
NUF2	2.9795
KRT16	2.965
DSCC1	2.9644
ARHGAP11A	2.9578
SMC2	2.9405
C79407	2.9212
PRR11	2.8937
NDC80	2.8826
KRT6A	2.8734
BIRC5	2.8706
LPHN2	2.8672
GINS1	2.8565
DSG3	2.8543
2810417H13RI	2.8429
SHCBP1	2.8422
CKS2	2.8379
CDC2A	2.8331
LPHN2	2.8233
MASTL	2.8215
TPX2	2.8144
KIF23	2.8003
GM9912	2.8001
TTK	2.7778
CKS2	2.7633
FBXO5	2.7586
EG665955	2.7554
PEG10	2.7433
SPINK5	2.7412
KRT16	3.802
No gene name	3.1226
SPINK5	3.0778
XIST	3.0497
KRT14	2.9956
S100A9	2.9409
No gene name	2.9264
KRT5	2.8168
BC100530	2.7341
SNORD116	2.7022
No gene name	2.702
DSG3	2.7003
SNORD116	2.6892
MMP3	2.6707
SNORD116	2.6558
S100A8	2.6524
CRYBA1	2.628
SNORD116	2.5994
GM9912	2.5633
KRT6B	2.5615
SCG3	2.5175
No gene name	2.5092
SNORD116	2.5034
No gene name	3.6121
GEN1	3.3636
CCNB1	3.2991
HMMR	3.2884
CCNB1	3.2238
EG665955	3.2117
CCNB1	3.1662
NCAPG2	3.0262
LCN2	3.0002
LPHN2	2.951
C79407	2.9377
CRYBA1	2.9014
PTPN3	2.8936
CDH9	2.8539
SHCBP1	2.852
BUB1	2.804
PBK	2.7594
6720489N17RI	2.7205
GINS1	2.7187
CASC5	2.6874
TTK	2.6598
SERPINA3N	2.6336
TPX2	2.629
LPHN2	2.6035
SGOL2	2.5912
KIF4	2.585
C330027C09R1	2.5798
PPIL5	2.5518
KIF14	2.5517
CENPK	2.5336
RRM2	2.5299
CHEK1	2.528
SNORD116	2.5238
KIF2C	2.5138
CLSPN	2.5114
NUF2	2.5102
KIF14	2.5517
CENPK	2.5336
RRM2	2.5299
CHEK1	2.528
SNORD116	2.5238
KIF2C	2.5138
CLSPN	2.5114
NUF2	2.5102
KIF2C	2.5138
CLSPN	2.5114
NUF2	2.5102
CLSPN	2.5114
NUF2	2.5102
CLSPN	2.5114
NUF2	2.5102
CLSPN	2.5114
NUF2	2.5102
GM9573	2.6769
PERP	2.6515
ESRP1	2.6479
GSTO1	2.6415
GDA	2.6149
PTGR1	2.6138
CYP2F2	2.6113
IFITM1	2.5923
C130090K23RI	2.5153
GALNT3	2.5097
GM11428	2.5001
NCAPH	2.7266
KRT24	2.7084
ECT2	2.695
PPIL5	2.6805
RBBP8	2.6706
ANXA1	2.67
CENPF	2.6546
CKAP2L	2.6376
CYP4A12B	2.6161
NCAPG2	2.5946
DLGAP5	2.5916
LYZ2	2.588
PRIM1	2.5849
DBF4	2.5832
LPHN2	2.5785
ATAD2	2.5765
TRIM59	2.5672
MCM3	2.5618
HMMR	2.5427
NFIA	2.5368
E2F8	2.534
EXO1	2.5174
2610039C10RI	2.5138
