Gene symbol	Description	1 mM vanillin Fold changes	1 mM vanillin p-Value	5 mM vanillin Fold changesa	5 mM vanillin p-Valueb	GO terms
MCM5	Minichromosome maintenance deficient 5, cell division cycle 46 (S.  cerevisiae)	?2.65 ±0.17	0.0092	?3.61 ±0.72	0.0015	Regulation of cellular process/cell cycle
CCNA2	Cyclin A2	?2.11 ±0.25	0.0354	?3.36 ±0.44	0.0018	Regulation of cellular process/cell cycle
S100A6	S100 calcium binding protein A6 (calcyclin)	–	–	?2.85 ±0.92	0.0074	Regulation of cellular process/cell cycle
MIF	Macrophage migration inhibitory factor (glycosylation-inhibiting factor)	?2.30 ±0.59	0.0273	?2.39 ±0.36	0.0135	Regulation of cellular process/death
PLK1	Polo-like kinase 1 (Drosophila)	–	–	?2.43 ±0.76	0.0153	Regulation of cellular process/cell cycle
EMP3	Epithelial membrane protein 3			?2.27 ±0.42	0.0159	Regulation of cellular process/death
DUSP6	Dual specificity phosphatase 6	–	–	?2.13 ±0.35	0.0175	Regulation of cellular process/cell cycle
TCF19	Transcription factor 19 (SC1)	–	–	?2.06 ±0.06	0.0178	Regulation of cellular process/cell cycle
KIFC1	Kinesin family member C1			?2.11 ±0.16	0.0183	Cell cycle
NAB2	NGFI-A binding protein 2 (EGR1 binding protein 2)	?2.42 ±0.11	0.0112	?2.03 ±0.04	0.0185	Regulation of cellular process
CALR	Calreticulin	–	–	?2.05 ±0.29	0.0194	Regulation of cellular process/death
YWHAH	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	–	–	?2.03 ±0.38	0.0234	Regulation of cellular process/cell
UBE2C	Ubiquitin-conjugating enzyme E2C	?1.98 ±0.13	0.0413	?1.96 ±0.06	0.0239	Regulation of cellular process/cell cycle
HMGA1	High mobility group AT-hook 1	–	–	?2.01 ±0.32	0.0239	Regulation of cellular process
PCNA	Proliferating cell nuclear antigen	–	–	?2.05 ±0.28	0.0239	Regulation of cellular process/cell cycle
MCM4	Minichromosome maintenance deficient 4 (S. cerevisiae)	–	–	?2.19 ±0.70	0.0239	Regulation of cellular process
AURKB	Aurora kinase B	–	–	?2.22 ±0.88	0.0243	Cell cycle
ANXA1	Annexin A1	–	–	?2.03 ±0.43	0.0245	Regulation of cellular process/death
HMGA2	High mobility group AT-hook 2	–	–	?1.96 ±0.07	0.0245	Regulation of cellular process
CDKN3	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	–	–	?2.00 ±0.22	0.0247	Regulation of cellular process/cell cycle
LGALS1	Lectin, galactoside-binding, soluble, 1 (galectin 1)	–	–	?1.91 ±0.05	0.0263	Regulation of cellular process/death
CKS2	CDC2 8 protein kinase regulatory subunit 2	–	–	?1.92 ±0.03	0.0263	Regulation of cellular process/cell cycle
SOCS1	Suppressor of cytokine signaling 1	–	–	?1.90 ±0.23	0.0318	Regulation of cellular process
ETV5	Ets variant gene 5 (ets-related molecule)	–	–	?2.01 ±0.63	0.0334	Regulation of cellular process
CDC45L	CDC45 cell division cycle 45-like (S. cerevisiae)	–	–	?1.94 ±0.49	0.0335	Regulation of cellular process/cell cycle
CKS1B	CDC28 protein kinase regulatory subunit 1B	–	–	?1.81 ±0.31	0.0435	Cell cycle
MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	–	–	?1.98 ±0.55	0.045	Regulation of cellular process/cell
SERPINE2	Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	–	–	?1.76 ±0.07	0.0454	Regulation of cellular process
ECT2	Epithelial cell transforming sequence 2 oncogene	–	–	?1.81 ±0.17	0.0458	Regulation of cellular process
BIRC5	Baculoviral IAP repeat-containing 5 (survivin)	?2.51 ±0.07	0.0092	?1.76 ±0.03	0.0459	Regulation of cellular process
