Probe Set ID	Gene Symbol	Entrez GeneID	LFC	Official Full Name
ADXCRPD.7995.C1_x_at	AQP5	362	-2.91	Aquaporin 5
ADXCRIH.384.C1_s_at	REG4	83998	-2.8	Regenerating islet-derived family, member 4
ADXCRAG_BC014461_x_at	CDX2	1045	2.02	Caudal type homeobox 2
ADXCRAG_BC014461_at	CDX2	1045	1.97	Caudal type homeobox 2
ADXCRPD.10572.C1_at	HSF5	124535	1.7	Heat shock transcription factor family member 5
ADXCRAG_AK024491_s_at	SOX8	30812	-1.95	SRY (sex determining region Y)-box 8
ADXCRSS.Hs#S2988180_at	HSF5	124535	2.02	Heat shock transcription factor family member 5
ADXCRPD.7687.C1_at	TM4SF4	7104	-1.7	Transmembrane 4 L six family member 4
ADXCRAG_M14335_s_at	F5	2153	-1.18	Coagulation factor V (proaccelerin, labile factor)
ADXCRAG_AJ250717_s_at	CTSE	1510	-2.62	Cathepsin E
ADXCRAG_AJ132099_s_at	VNN1	8876	-0.93	Vanin 1
ADXCRAD_NM_025113_s_at	C13orf18	80183	1.77	Chromosome 13 open reading frame 18
ADXCRAG_NM_182510_s_at	LOC146336	146336	-1.33	Hypothetical LOC146336
ADXCRAG_BC028581_s_at	PIWIL1	9271	-0.72	Piwi-like 1 (Drosophila)
ADXCRAD_BX094012_s_at	SOX13	9580	-0.72	SRY (sex determining region Y)-box 13
ADXCRPDRC.4289.C1_at	RNF43	54894	1.38	Ring finger protein 43
ADXCRPD.10016.C1_at	SATB2	23314	1.82	SATB homeobox 2
ADXCRPDRC.8321.C1_s_at	TFCP2L1	29842	1.26	Transcription factor CP2-like 1
ADXCRIH.1549.C1_at	ELOVL5	60481	0.94	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)
ADXCRAG_BC028581_x_at	PIWIL1	9271	-1.72	Piwi-like 1 (Drosophila)
ADXCRIH.1305.C1_s_at	LYZ	4069	-1.61	Lysozyme
ADXCRSS.Hs#S1405714_at	RNF43	54894	1.27	Ring finger protein 43
ADXCRSS.Hs#S3740849_at	HSF5	124535	1.21	Heat shock transcription factor family member 5
ADXCRSS.Hs#S3012761_at	HSF5	124535	1.2	Heat shock transcription factor family member 5
ADXCRAD_BM825250_s_at	TM4SF4	7104	-0.99	Transmembrane 4 L six family member 4
ADXCRPD.7300.C1_s_at	LOC388199	388199	-1.28	Proline rich 25
ADXCRIH.4080.C1_s_at	SPINK1	6690	2.09	Serine peptidase inhibitor, Kazal type 1
ADXCRAD_NM_006113_s_at	VAV3	10451	1.38	Vav 3 guanine nucleotide exchange factor
ADXCRIH.546.C1_at	GGH	8836	1.49	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
ADXCRAD_AJ709424_s_at	ABLIM3	22885	-0.65	Actin binding LIM protein family, member 3
ADXCRPDRC.1943.C1_at	AXIN2	8313	1.32	Axin 2
ADXCRAD_BG470190_s_at	CDX2	1045	0.77	Caudal type homeobox 2
ADXCRAG_XM_371238_at	TRNP1	388610	-1.03	TMF1-regulated nuclear protein 1
ADXCRAD_BU664688_s_at	SLC14A1	6563	-0.82	Solute carrier family 14 (urea transporter), member 1 (Kidd blood group)
ADXCRPD.12823.C1_s_at	SYT13	57586	-0.77	Synaptotagmin XIII
ADXCRAD_CK823169_at	ANXA10	11199	-0.8	Annexin A10
ADXCRPD.8346.C1_at	HSF5	124535	1.34	Heat shock transcription factor family member 5
ADXCRPD.15182.C1_at	MIR142	406934	0.95	MicroRNA 142
ADXCRIH.31.C9_at	LYZ	4069	-1.61	Lysozyme
ADXCRAD_BP299698_s_at	VNN1	8876	-0.96	Vanin 1
ADXCRPD.14261.C1_at	ANO1	55107	-1.12	Anoctamin 1, calcium activated chloride channel
ADXCRAG_NM_002526_at	NT5E	4907	-1.27	5-nucleotidase, ecto (CD73)
ADXCRAD_CN404528_s_at	DCBLD2	131566	-0.76	Discoidin, CUB and LCCL domain containing 2
ADXCRAD_BM852899_at	DUSP4	1846	-0.98	Dual specificity phosphatase 4
ADXCRAD_BP376354_at	AXIN2	8313	1.27	Axin 2
ADXCRAG_U04313_s_at	SERPINB5	5268	-0.89	Serpin peptidase inhibitor, clade B (ovalbumin), member 5
ADXCRIH.482.C1_at	KLK6	5653	-0.76	Kallikrein-related peptidase 6
ADXCRAD_BM718216_s_at	TRNP1	388610	-1.16	TMF1-regulated nuclear protein 1
ADXCRAG_XM_031357_s_at	KIAA0802	23255	-0.82	KIAA0802
ADXCRPD.1115.C1_s_at	MLPH	79083	-1.32	Melanophilin
