Symbol	Gene name	Cytoband	Difference in expression (log2 mutant - wild type)	P value
RGS2	Regulator of G-protein signaling 2, 24kDa	1q31	1.99	5.9 E-3
NCAM1	Neural cell adhesion molecule 1	11 ( multiple clusters)	-1.63	1.5 E-3
CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	1q32	1.49	6.9 E-4
PTGS2	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	1q25.2-q25.3	1.32	3.1 E-3
COX-2	Cyclooxygenase-2	1q25.2-q25.3	1.32	3.1 E-3
ECM1	Extracellular matrix protein 1	1q21	1.21	5.9 E-3
EXTL2	Exostoses (multiple)-like 2	1p21	-1.08	4.2 E-3
HIST2H2BE	Histone cluster 2, H2be	1q21-q23	1.07	2.7 E-3
H2AA	Histone 2	1q21	0.95	1.2 E-3
CHEK1	CHK1 checkpoint homolog (S. pombe)	11q24-q24	-0.94	6.1 E-3
GPX7	Glutathione peroxidase 7	1p32	-0.88	5.6 E-3
RWDD2A	RWD domain containing 2A	6q14.2	-0.8	8.7 E-4
HSF2	Heat shock transcription factor 2	6q22.31	-0.78	1.6 E-3
BLR1	Burkitt lymphomas receptor 1, GTP binding protein (chemokine (CXC motif) receptor 5)	11q23.3	-0.69	7.4 E-3
MIZF	MBD2-interacting zinc finger	11q23.3	-0.69	5.9 E-3
KPNA5	Karyopherin alpha 5 (importin alpha 6)	6q22.2	-0.66	8.7 E-3
LMO4	LIM domain only 4	1p22.3	-0.66	3.2 E-3
MUTYH	MutY homolog (E. coli)	1p34.3-p32.1	-0.65	4.9 E-4
REV3L	REV3-like, catalytic subunit of DNA polymerase zeta (yeast)	6q21	-0.65	8.8 E-3
EPHB2	Ephrin B2	1p36.1-p35	-0.64	6.7 E-3
DGKZ	Diacylglycerol kinase, zeta 104kDa	11p11.2	-0.64	9.2 E-3
TSPYL4	TSPY-like 4	6q22.1	-0.63	1.6 E-3
DBT	Dihydrolipoamide branched chain transacylase E2	1p31	-0.58	5.8 E-3
FOXO3	Forkhead box O3	6q21	-0.53	5.7 E-3
PPP2R1B	Protein phosphatase 2, regulatory subunit A, beta isoform	11q23.2	-0.51	2.7 E-3
PTPRK	Protein tyrosine phosphatase, receptor type, kappa	6q22.2-q22.3	-0.08	4.3 E-4
