Biological processes	Gene name	Gene description	Fold change; TRO; 5	Fold change; TRO; 20	Fold change; TRO; 40	Fold change; ROSI; 20	Fold change; ROSI; 50	Fold change; ROSI; 100	Fold change; MURA; 20	Fold change; MURA; 50	Fold change; TESA; 300
Lipid and hormone transport	Cd36	cd36 antigen	1.7	6.1	6	3.9	2.4	1.3	3.6	4	5.9
Lipid and hormone transport	Slc27a2	Solute carrier family 27 (member 2	1.1	1.8	1.4	1.6	1.3	1	2.2	2.1	2.3
AcylcoA formation hydrolysis and binding	Acsm3	Acyl-CoA synthetase medium-chain family member 3	-1	1.2	-1.3	1.4	1.3	1.2	1.6	1.3	1.3
AcylcoA formation hydrolysis and binding	Acsl1	Acyl-CoA synthetase long-chain family member 1	1.1	2	1.9	1.8	1.6	1.4	2.6	2.8	3.6
AcylcoA formation hydrolysis and binding	Acsl5	Acyl-CoA synthetase long-chain family member 5	1	1.1	1.1	-1	1	1.1	-1.1	1	-1.1
AcylcoA formation hydrolysis and binding	Fabp1	Fatty acid binding protein 1. liver	1.1	1.5	-1.1	1.4	1.3	1.1	1.5	1.4	2.9
AcylcoA formation hydrolysis and binding	Fabp3	Fatty acid binding protein 3	-1	-1	-1	1.4	1	-1	-1.1	1	10.9
AcylcoA formation hydrolysis and binding	Fabp4	Fatty acid binding protein 4. adipocyte	1.1	1.5	1.5	1.5	1.5	1.7	1.5	1	1
Mitochondrial beta-oxidation and oxidative phosphorylation	Acsl3	Acyl-CoA synthetase long-chain family member 3	1.3	1.5	1.8	2	2.2	2	1.9	2.7	3.6
Mitochondrial beta-oxidation and oxidative phosphorylation	Acsl4	Acyl-CoA synthetase long-chain family member 4	-1	1.3	1.6	1.1	1.2	1.1	-1	1.3	1.1
Mitochondrial beta-oxidation and oxidative phosphorylation	Acot12	Acyl-CoA thioesterase 12	1.3	2.6	2.6	1.9	1.2	-1.8	2.2	3	2.7
Mitochondrial beta-oxidation and oxidative phosphorylation	Acot7	Acyl-CoA thioesterase 7	1.5	2.5	2.4	2.5	2.6	2.1	2.4	2.9	3.4
Mitochondrial beta-oxidation and oxidative phosphorylation	Acaa2	Acetyl-coenzyme A acyltransferase 2	1.7	2.7	2.4	2.8	2.5	1.5	3.2	3.3	4.2
Mitochondrial beta-oxidation and oxidative phosphorylation	Hadha	Hydratase alpha subunit	1.2	1.9	1.9	1.9	1.8	1.6	2	2.5	2.8
