Probe set	Symbol	Title	P-value	FC(T/N)	FDR
211762_s_at	IPOA1	importin alpha 1?karyopherin alpha 2, RAG cohort 1)	0.00000003	3.44	0.00000441
201088_at	IPOA1	importin alpha 1?karyopherin alpha 2, RAG cohort 1)	0.00000002	3	0.00000338
217885_at	IPO9	importin 9	0.00000003	1.89	0.00000437
208975_s_at	IPOB1	importin (karyopherin ) beta 1	0.00000452	1.77	0.00011543
218305_at	IPO4	importin 4	0.00002035	1.58	0.00034622
209653_at	IPOA3	importin alpha 3 (karyopherin alpha 4 )	0.00039479	1.53	0.00318054
208974_x_at	IPOB1	importin (karyopherin ) beta 1	0.0007307	1.5	0.00502527
225267_at	IPOA3	importin alpha 3 (karyopherin alpha 4 )	0.00000064	1.5	0.00003002
225268_at	IPOA3	importin alpha 3 (karyopherin alpha 4 )	0.00000587	1.49	0.00013973
213507_s_at	IPOB1	importin (karyopherin ) beta 1	0.00016375	1.45	0.0016616
200993_at	IPO7	importin 7	0.000016	1.43	0.0002905
200994_at	IPO7	importin 7	0.00002225	1.43	0.00036995
200992_at	IPO7	importin 7	0.00004192	1.42	0.00059577
200995_at	IPO7	importin 7	0.00054004	1.37	0.00401981
213785_at	IPO9	importin 9	0.00047517	1.37	0.00365965
217027_x_at	IPOB1	importin (karyopherin ) beta 1	0.00017095	1.32	0.00171716
242561_at	IPO9	importin 9	0.00112803	1.29	0.00695631
222659_at	IPO11	importin 11	0.00015187	1.28	0.00157294
244703_x_at	IPO9	importin 9	0.00031835	1.23	0.00271676
1557770_at	IPO11	importin 11	0.00050638	0.86	0.00383459
215844_at	IPO3	importin 3 (transportin 2, karyopherin bata 2b)	0.00134138	0.82	0.00790427
