Gene	Description
ABL1	C-abl oncogene 1, receptor tyrosine kinase
ANAPC2	Anaphase promoting complex subunit 2
ANAPC4	Anaphase promoting complex subunit 4
DIRAS3	DIRAS family, GTP-binding RAS-like 3
ATM	Ataxia telangiectasia mutated
ATR	Ataxia telangiectasia and Rad3 related
BAX	BCL2-associated X protein
BCCIP	BRCA2 and CDKN1A interacting protein
BCL2	B-cell CLL/lymphoma 2
BIRC5	Baculoviral IAP repeat-containing 5 (survivin)
BRCA1	Breast cancer 1, early onset
BRCA2	Breast cancer 2, early onset
CCNB1	Cyclin B1
CCNB2	Cyclin B2
CCNC	Cyclin C
CCND1	Cyclin D1
CCND2	Cyclin D2
CCNE1	Cyclin E1
CCNF	Cyclin F
CCNG1	Cyclin G1
CCNG2	Cyclin G2
CCNH	Cyclin H
CCNT1	Cyclin T1
CCNT2	Cyclin T2
CDC16	Cell division cycle 16 homolog (S. cerevisiae)
CDC2	Cell division cycle 2, G1?S and G2?M
CDC20	Cell division cycle 20 homolog (S. cerevisiae)
CDC34	Cell division cycle 34 homolog (S. cerevisiae)
CDK2	Cyclin-dependent kinase 2
CDK4	Cyclin-dependent kinase 4
CDK5R1	Cyclin-dependent kinase 5, regulatory subunit 1 (p35)
CDK5RAP1	CDK5 regulatory subunit associated protein 1
CDK6	Cyclin-dependent kinase 6
CDK7	Cyclin-dependent kinase 7
CDK8	Cyclin-dependent kinase 8
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)
CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)
CDKN2A	Cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)
CDKN2B	Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
CDKN3	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
CHEK1	CHK1 checkpoint homolog (S. pombe)
CHEK2	CHK2 checkpoint homolog (S. pombe)
CKS1B	CDC28 protein kinase regulatory subunit 1B
CKS2	CDC28 protein kinase regulatory subunit 2
CUL1	Cullin 1
CUL2	Cullin 2
CUL3	Cullin 3
DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box poly- peptide 11 (CHL1-like helicase homolog, S. cerevisiae)
DNM2	Dynamin 2
E2F4	E2F transcription factor 4, p107/p130- binding
GADD45A	Growth arrest and DNA-damage-inducible,  alpha
GTF2H1	General transcription factor IIH, polypeptide 1  62 kDa
GTSE1	G-2 and S-phase expressed 1
HERC5	Hect domain and RLD 5
HUS1	HUS1 checkpoint homolog (S. pombe)
KNTC1	Kinetochore associated 1
KPNA2	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)
MAD2L2	MAD2 mitotic arrest deficient-like 2 (yeast)
MCM2	Minichromosome maintenance complex component 2
MCM3	Minichromosome maintenance complex component 3
MCM4	Minichromosome maintenance complex component 4
MCM5	Minichromosome maintenance complex component 5
MKI67	Antigen identified by monoclonal antibody  Ki-67
MNAT1	Menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)
MRE11A	MRE11 meiotic recombination 11 homolog A  (S. cerevisiae)
NBN	Nibrin
PCNA	Proliferating cell nuclear antigen
RAD1	RAD1 homolog (S. pombe)
RAD17	RAD17 homolog (S. pombe)
RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)
RAD9A	RAD9 homolog A (S. pombe)
RB1	Retinoblastoma 1 (including osteosarcoma)
RBBP8	Retinoblastoma binding protein 8
RBL1	Retinoblastoma-like 1 (p107)
RBL2	Retinoblastoma-like 2 (p130)
RPA3	Replication protein A3, 14 kDa
SERTAD1	SERTA domain containing 1
SKP2	S-phase kinase-associated protein 2 (p45)
SUMO1	SMT3 suppressor of mif two 3 homolog 1 (S. cerevisiae)
TFDP1	Transcription factor Dp-1
TFDP2	Transcription factor Dp-2 (E2F dimerization partner 2)
TP53	Tumor protein p53
UBA1	Ubiquitin-like modifier activating enzyme 1
