Probe	ChipID	name	FOLD PL 21-17	FOLD AM 21-17	RATIO AM vs PL	P_INT_GEA_R_AGE_TR
RAE230A:1370024_at	1370024_at	fatty acid binding protein 7	0.17	9.37	55.12	2.5E-13
RAE230A:1385795_at	1385795_at	no description	0.24	3.88	16.17	5.6E-07
RAE230A:1386452_at	1386452_at	no description	0.1	1.34	13.4	4.5E-05
RAE230A:1369268_at	1369268_at	activating transcription factor 3	4.33	24.1	5.57	6.2E-06
RAE230A:1376150_at	1376150_at	Transcribed sequences	0.21	1.11	5.29	1.4E-04
RAE230A:1367998_at	1367998_at	secretory leukocyte protease inhibitor	0.41	1.74	4.24	6.6E-15
RAE230A:1376837_at	1376837_at	Transcribed sequences	0.25	0.88	3.52	7.2E-06
RAE230A:1370631_at	1370631_at	pancreatitis-associated protein 3	0.37	1.28	3.46	1.8E-07
RAE230A:1373076_at	1373076_at	Transcribed sequences	0.27	0.91	3.37	2.7E-09
RAE230A:1375282_at	1375282_at	Similar to hypothetical protein MGC37115 	0.59	1.8	3.05	2.6E-08
RAE230A:1387123_at	1387123_at	"cytochrome P450, subfamily 17"	5.6	15.71	2.81	5.6E-08
RAE230A:1377463_at	1377463_at	Similar to Alpha-mannosidase IIx 	0.44	1.21	2.75	1.9E-04
RAE230A:1375306_at	1375306_at	Similar to toll-associated serine protease 	0.54	1.37	2.54	3.3E-05
RAE230A:1368084_at	1368084_at	deoxyribonuclease I	8.38	17.56	2.1	6.0E-06
RAE230A:1368512_a_at	1368512_a_at	aminopeptidase A	3.68	7.55	2.05	1.0E-05
RAE230A:1371099_at	1371099_at	polymeric immunoglobulin receptor	1.7	3.44	2.02	3.9E-04
RAE230A:1398340_at	1398340_at	Similar to HHM protein 	0.65	1.27	1.95	9.6E-05
RAE230A:1387889_at	1387889_at	folate receptor 1 (adult)	0.17	0.33	1.94	1.9E-04
RAE230A:1377181_at	1377181_at	Transcribed sequences	0.57	1.08	1.89	4.7E-04
RAE230A:1372404_at	1372404_at	Similar to EN-7 protein 	0.37	0.7	1.89	1.3E-04
RAE230A:1376579_at	1376579_at	Similar to leucine aminopeptidase	1.5	2.83	1.89	1.3E-04
RAE230A:1369659_at	1369659_at	"glycoprotein hormones, alpha subunit"	0.42	0.79	1.88	1.2E-04
RAE230A:1390374_at	1390374_at	fibroblast growth factor receptor-like 1	0.56	1.04	1.86	2.1E-04
RAE230A:1368128_at	1368128_at	"phospholipase A2, group IIA (platelets, synovial fluid)"	1.54	2.84	1.84	8.8E-05
RAE230A:1371123_x_at	1371123_x_at	MHC class Ib RT1.S3	0.57	1.05	1.84	1.2E-04
RAE230A:1368317_at	1368317_at	aquaporin 7	3.04	5.6	1.84	1.1E-04
RAE230A:1374551_at	1374551_at	"Similar to Interferon-induced 35 kDa protein homolog (IFP 35) (LOC287719), mRNA"	0.52	0.94	1.81	3.1E-04
RAE230A:1367679_at	1367679_at	CD74 antigen (invariant polpypeptide of major histocompatibility class II antigen-associated)	0.72	1.08	1.5	4.2E-04
RAE230A:1388190_at	1388190_at	apolipoprotein B	2.33	1.59	0.68	2.0E-04
RAE230A:1371642_at	1371642_at	Similar to translation initiation factor eIF-4A II - mouse 	1.59	0.99	0.62	2.5E-04
RAE230A:1398846_at	1398846_at	eukaryotic initiation factor 5 (eIF-5)	1.72	1.04	0.6	4.9E-04
RAE230A:1368202_a_at	1368202_a_at	"disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)"	0.63	0.38	0.6	1.1E-04
RAE230A:1388119_at	1388119_at	heterogeneous nuclear ribonucleoprotein A3	1.95	1.16	0.59	2.4E-04
RAE230A:1373877_at	1373877_at	phosphatidylinositol binding clathrin assembly protein	1.95	1.15	0.59	1.4E-04
RAE230A:1372175_at	1372175_at	Transcribed sequences	1.59	0.93	0.58	1.7E-04
RAE230A:1387863_at	1387863_at	unr protein	1.89	1.09	0.58	1.4E-04
RAE230A:1372806_at	1372806_at	vacuolar protein sorting 35	2.13	1.21	0.57	3.9E-05
RAE230A:1373911_at	1373911_at	Similar to osteoblast specific factor 2 precursor 	1.52	0.86	0.57	2.9E-04
RAE230A:1367666_at	1367666_at	heterogeneous nuclear ribonucleoprotein H1	1.98	1.12	0.57	3.4E-05
RAE230A:1386950_at	1386950_at	"protein phosphatase 1, catalytic subunit, beta isoform"	2.2	1.24	0.56	4.3E-04
RAE230A:1372563_at	1372563_at	Similar to D330021B20 protein 	1.92	1.08	0.56	4.3E-04
RAE230A:1389394_at	1389394_at	Transcribed sequences	1.5	0.84	0.56	3.8E-04
RAE230A:1389064_at	1389064_at	Transcribed sequences	2.19	1.22	0.56	3.7E-04
RAE230A:1389482_at	1389482_at	Similar to EST AA792894	2.82	1.57	0.56	3.3E-04
RAE230A:1374197_at	1374197_at	Transcribed sequences	2.02	1.12	0.55	3.0E-04
RAE230A:1389296_at	1389296_at	Similar to RIKEN cDNA 4921531G14 	2.89	1.6	0.55	2.0E-04
RAE230A:1371477_at	1371477_at	"Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only"	1.65	0.91	0.55	2.6E-04
RAE230A:1390526_at	1390526_at	Transcribed sequences	1.95	1.07	0.55	4.5E-04
