miRNA	Baseline expression (delta CT) Control subjects	Fold change from control (%)  Control subjects	Fold change from control (%)  Asthmatic patients	Fold change from control (%)  P value
hsa-miR-16	21.5 (0.5)	108.1 (51.1)	73.4 (19.9)	0.069
hsa-miR-17-5p	3.7 (0.8)	118.4 (73.4)	70.0 (20.9)	0.243
hsa-miR-21	0.1 (0.5)	108.7 (53.0)	100.0 (35.0)	0.739
hsa-miR-26a	0.2 (0.8)	122.4 (98.6)	72.0 (70.2)	0.149
hsa-miR-28-5p	4.4 (0.5)	104.9 (32.3)	68.7 (32.1)	0.046
hsa-miR-29a	20.2 (0.5)	105.3 (33.4)	89.8 (33.9)	0.36
hsa-miR-106a	3.5 (1.1)	124.4 (94.6)	70.4 (25.4)	0.159
hsa-miR-126	6.0 (5.0)	190.0 (187.1)	30.9 (23.9)	0.687
hsa-miR-142-3p	23.8 (0.5)	104.6 (31.3)	90.7 (27.0)	0.392
hsa-miR-142-5p	0.0 (0.5)	103.9 (32.6)	95.0 (32.1)	0.515
hsa-miR-146a	4.9 (3.7)	135.2 (93.3)	47.5 (31.8)	0.049
hsa-miR-146b	4.1 (3.2)	122.4 (73.4)	51.3 (23.3)	0.049
hsa-miR-150	24.4 (0.3)	102.9 (23.6)	93.6 (17.2)	0.491
hsa-miR-155	2.2 (0.5)	105.2 (33.4)	76.3 (35.8)	0.099
hsa-miR-155	12.4 (1.1)	129.3 (94.3)	114.7 (74.2)	0.784
hsa-miR-181a	2.7 (0.8)	117.8 (70.2)	77.3 (26.0)	0.239
hsa-miR-196a	8.5 (0.5)	108.2 (39.5)	145.8 (15.1)	0.608
hsa-miR-223	0.4 (1.3)	171.9 (230.8)	95.6 (45.3)	0.673
