	G.B.Acc	Name	Unigene	Symbol	Chromosome	Cytoband	Function	Ontology	Expt_75	Expt_76	Expt_92	Ratio
	BM549033	Molybdenum cofactor synthesis 3	Hs.159410	MOCS3	20	20q13.13	Molybdenum cofactor (MoCo) is necessary for the function of all molybdoenzymes. One of the enzymes required for the biosynthesis of MoCo is molybdopterin synthase (MPT synthase). The protein encoded by this gene adenylates and activates MPT synthase. This gene contains no introns. A pseudogene of this gene is present on chromosome 14.	Mo-molybdopterin cofactor biosynthesis - ligase activity	0.105333492	0.062762851	0.333200373	0.167098905
	H20529	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	Hs.523852	CCND1	11	11q13	The protein encoded by this gene belongs to the highly conserved cyclin family, whose members are characterized by a dramatic periodicity in protein abundance throughout the cell cycle. Cyclins function as regulators of CDK kinases. Different cyclins exhibit distinct expression and degradation patterns which contribute to the temporal coordination of each mitotic event. This cyclin forms a complex with and functions as a regulatory subunit of CDK4 or CDK6, whose activity is required for cell cycle G1/S transition. This protein has been shown to interact with tumor suppressor protein Rb and the expression of this gene is regulated positively by Rb. Mutations, amplification and overexpression of this gene, which alters cell cycle progression, are observed frequently in a variety of tumors and may contribute to tumorigenesis.	G1/S transition of mitotic cell cycle - cytokinesis - nucleus - regulation of cell cycle	0.122798265	0.153681989	0.236169905	0.170883386
	BE879639	601491827F1 NIH_MGC_69 Homo sapiens cDNA clone IMAGE:3894126 5,	-	-	-	-	-	-	0.022031641	0.056289581	0.4414433	0.173254841
	AA046532	CDNA: FLJ22648 fis, clone HSI07329	Hs.234478	-	X	-	-	-	0.101322653	0.176598505	0.244086905	0.174002688
	BF175468	MYE5031 Myeloma (MYE) cDNA library Homo sapiens cDNA, mRNA	-	-	-	-	-	-	0.133545594	0.123923351	0.264821675	0.174096873
	R13896	Synapsin II	Hs.445503	SYN2	3	3p25	This gene is a member of the synapsin gene family. Synapsins encode neuronal phosphoproteins which associate with the cytoplasmic surface of synaptic vesicles. Family members are characterized by common protein domains, and they are implicated in synaptogenesis and the modulation of neurotransmitter release, suggesting a potential role in several neuropsychiatric diseases. This member of the synapsin family encodes a neuron-specific phosphoprotein that selectively binds to small synaptic vesicles in the presynaptic nerve terminal. The TIMP4 gene is located within an intron of this gene and is transcribed in the opposite direction. Mutations in this gene may be associated with abnormal presynaptic function and schizophrenia. Alternative splicing of this gene results in two transcripts.	neurotransmitter secretion - synapse - synaptic transmission - synaptic vesicle	0.026706965	0.045412718	0.454850264	0.175656649
	W38759	Protein phosphatase 6, catalytic subunit	Hs.584019	PPP6C	9	9q33.3	-	G1/S transition of mitotic cell cycle|hydrolase activity|manganese ion binding|protein amino acid dephosphorylation|protein serine/threonine phosphatase activity	0.136072945	0.090240976	0.31734398	0.1812193
	W39189	Protein phosphatase 1, regulatory subunit 10	Hs.106019	PPP1R10	6	6p21.3	This gene encodes a protein with similarity to a rat protein that has an inhibitory effect on protein phosphatase-1 (PP1). The rat protein localizes to the nucleus and colocalizes with chromatin at distinct phases during mitosis. This gene lies within the major histocompatibility complex class I region on chromosome 6.	defense response|nucleic acid binding|nucleus|protein-nucleus import|transcription	0.13670114	0.183130419	0.243039639	0.187623733
	R66676	Ets variant gene 5 (ets-related molecule)	Hs.43697	ETV5	3	3q28	-	nucleus - regulation of transcription, DNA-dependent - transcription factor activity	0.163153574	0.091838713	0.311706583	0.188899623
	H70072	Ubiquitin specific protease 52	Hs.273397	USP52	12	12q13.2-q13.3	-	cysteine-type endopeptidase activity - exonuclease activity - nucleus - ubiquitin cycle - ubiquitin thiolesterase activity - ubiquitin-dependent protein catabolism	0.230454599	0.104809331	0.24784408	0.194369337
	W32992	Transcribed locus	Hs.6729	-	2	-	-	-	0.205454475	0.095649849	0.282317745	0.194474023
	AL578468	Aspartylglucosaminidase	Hs.207776	AGA	4	4q32-q33	Aspartylglucosaminidase is involved in the catabolism of N-linked oligosaccharides of glycoproteins. It cleaves asparagine from N-acetylglucosamines as one of the final steps in the lysosomal breakdown of glycoproteins.  The lysosomal storage disease aspartylglycosaminuria is caused by a deficiency in the AGA enzyme.	N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity - hydrolase activity - lysosome - protein deglycosylation	0.115128105	0.124548293	0.348279791	0.195985396
	AA125790	Chemokine (C-C motif) ligand 11	Hs.54460	CCL11	17	17q21.1-q21.2	This gene is one of several Cys-Cys (CC) cytokine genes clustered on the q-arm of chromosome 17. Cytokines are a family of secreted proteins involved in immunoregulatory and inflammatory processes. The CC cytokines are proteins characterized by two adjacent cysteines. The cytokine encoded by this gene displays chemotactic activity for eosinophils, but not mononuclear cells or neutrophils. This eosinophil specific chemokine assumed to be involved in eosinophilic inflammatory diseases such as atopic dermatitis, allergic rhinitis, asthma and parasitic infections.	calcium ion homeostasis - cell adhesion - cell-cell signaling - cellular defense response - chemokine activity - chemotaxis - extracellular space - inflammatory response - protein amino acid phosphorylation - response to radiation - response to virus - sensory perception - signal transduction	0.156151815	0.108818068	0.323201408	0.196057097
	BQ016724	Ras homolog gene family, member A	Hs.247077	RHOA	3	3p21.3	-	GTP binding - GTPase activity - Rho protein signal transduction - actin cytoskeleton organization and biogenesis - cytoskeleton - magnesium ion binding - membrane - positive regulation of I-kappaB kinase/NF-kappaB cascade - positive regulation of NF-kappaB-nucleus import - protein transport - signal transducer activity	0.164619176	0.140120715	0.290948116	0.198562669
	R67197	Thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)	Hs.724	THRA	17	17q11.2	The protein encoded by this gene is a nuclear hormone receptor for triiodothyronine. It is one of the several receptors for thyroid hormone, and has been shown to mediate the biological activities of thyroid hormone. Knockout studies in mice suggest that the different receptors, while having certain extent of redundancy, may mediate different functions of thyroid hormone. Alternatively spliced transcript variants encoding distinct isoforms have been reported.	nucleus - regulation of transcription, DNA-dependent - steroid hormone receptor activity - thyroid hormone receptor activity - transcription factor activity - transcription from RNA polymerase II promoter	0.164061532	0.121867918	0.311899489	0.199276313
	BE881603	601490021F1 NIH_MGC_69 Homo sapiens cDNA clone IMAGE:3892325 5,	-	-	-	-	-	-	0.107572759	0.060991282	0.432198461	0.200254167
	R61062	Glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	Hs.512382	GPD2	2	2q24.1	-	calcium ion binding - electron transport - glucose catabolism - glycerol-3-phosphate dehydrogenase activity - glycerol-3-phosphate dehydrogenase complex - glycerol-3-phosphate metabolism - mitochondrion - oxidoreductase activity	0.105950438	0.069413986	0.428104325	0.20115625
	AA284237	Clone TUA8 Cri-du-chat region mRNA	Hs.27621	-	5	-	-	-	0.091508267	0.101720969	0.412974731	0.202067989
