Full Name	Symbol	Entrez gene ID	Log2 R
Over-represented genes in iHCE
Solute carrier F. 2 (facilitated glucose transporter), M. 10	SLC2A10	81031	3.81
Solute carrier F. 7 (cationic amino acid transporter, y+ system), M. 5	SLC7A5	8140	3.61
Solute carrier F. 22 (organic cation/ergothioneine transporter), M. 4	SLC22A4	6583	3
ATP-binding cassette, sub-F. G (WHITE), M. 2	ABCG2	9429	2.6
Transporter 1, ATP-binding cassette, sub-F. B (MDR/TAP)	TAP1	6890	2.08
Cytochrome P450, F. 1, sub-F B, polypeptide 1	CYP1B1	1545	1.88
ATP-binding cassette, sub-F. B (MDR/TAP), M. 7	ABCB7	22	1.83
ATP-binding cassette, sub-F. C (CFTR/MRP), M. 4	ABCC4	10257	1.67
ATP-binding cassette, sub-F. C (CFTR/MRP), M. 3	ABCC3	8714	1.56
ATP-binding cassette, sub-F. B (MDR/TAP), M. 1	ABCB1	5243	1.54
Solute carrier F. 1 (glial high affinity glutamate transporter), M. 3	SLC1A3	6507	1.52
Solute carrier F. 16, M. One (monocarboxylic acid transporter 1)	SLC16A1	6566	1.4
Solute carrier F. 2 (facilitated glucose transporter), M. 3	SLC2A3	6515	1.32
Solute carrier F. 15, M. 3	SLC15A3	51296	1.19
Solute carrier F. 2 (facilitated glucose transporter), M. 6	SLC2A6	11182	0.89
Solute carrier F. 2 (facilitated glucose transporter), M. 8	SLC2A8	29988	0.8
