Affy ID	Gene Title	Gene Symbol	q-value	Fold-Change	non metastatic vs. Metastatic
CfaAffx.21661.1.S1_at	similar to glutathione S-transferase, theta 2	GSTT2	1.24E-05	-18.1509	non metastatic down vs metastatic
CfaAffx.12654.1.S1_s_at	retinol binding protein 4, plasma	RBP4	0.000133267	-16.7746	non metastatic down vs metastatic
CfaAffx.10063.1.S1_at	solute carrier family 16, member 3 (monocarboxylic acid transporter 4)	SLC16A3	1.06E-05	-13.7208	non metastatic down vs metastatic
CfaAffx.21786.1.S1_at	matrix metallopeptidase 11 (stromelysin 3)	MMP11	0.000206605	-12.9022	non metastatic down vs metastatic
CfaAffx.17917.1.S1_at	interferon stimulated exonuclease gene 20kDa	ISG20	1.69E-05	-11.5373	non metastatic down vs metastatic
Cfa.19631.1.S1_at	protein regulator of cytokinesis 1	PRC1	0.000124667	-8.57899	non metastatic down vs metastatic
Cfa.1437.1.S1_at	cell division cycle 6 homolog (S. cerevisiae)	CDC6	5.91E-06	-8.45032	non metastatic down vs metastatic
CfaAffx.25509.1.S1_at	non-SMC condensin I complex, subunit G	NCAPG	0.000161867	-8.4461	non metastatic down vs metastatic
Cfa.19487.1.S1_at	similar to G2/mitotic-specific cyclin B1	CCNB1	0.000623121	-8.36764	non metastatic down vs metastatic
CfaAffx.5187.1.S1_s_at	TTK protein kinase	TTK	0.000355926	-7.70467	non metastatic down vs metastatic
CfaAffx.9180.1.S1_s_at	potassium voltage-gated channel, Isk-related family, member 3	KCNE3	0.000606663	-7.69808	non metastatic down vs metastatic
CfaAffx.3983.1.S1_at	tissue factor pathway inhibitor 2	TFPI2	0.000502135	-7.57629	non metastatic down vs metastatic
Cfa.17141.1.S1_at	kinesin family member 15	KIF15	0.000178346	-7.46673	non metastatic down vs metastatic
CfaAffx.6465.1.S1_s_at	origin recognition complex, subunit 6 like (yeast)	ORC6L	8.03E-05	-7.24963	non metastatic down vs metastatic
CfaAffx.21471.1.S1_at	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type	SERPINE1	0.000387408	-7.21451	non metastatic down vs metastatic
Cfa.20194.1.S1_s_at	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)	NUF2	0.000147715	-7.13819	non metastatic down vs metastatic
CfaAffx.8890.1.S1_at	thymidine kinase 1, soluble	TK1	0.000396435	-6.99621	non metastatic down vs metastatic
CfaAffx.2473.1.S1_at	squalene epoxidase	SQLE	4.22E-05	-6.83575	non metastatic down vs metastatic
CfaAffx.6499.1.S1_at	SHC SH2-domain binding protein 1	SHCBP1	7.53E-05	-6.69588	non metastatic down vs metastatic
Cfa.3414.1.A1_at	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	MYBL2	0.000222422	-6.64942	non metastatic down vs metastatic
CfaAffx.19766.1.S1_s_at	coagulation factor C homolog, cochlin (Limulus polyphemus)	COCH	0.000720805	-6.6072	non metastatic down vs metastatic
CfaAffx.13286.1.S1_at	establishment of cohesion 1 homolog 2 (S. cerevisiae)	ESCO2	3.40E-05	-6.59982	non metastatic down vs metastatic
CfaAffx.28131.1.S1_at	endothelial cell-specific molecule 1	ESM1	0.000328161	-6.5333	non metastatic down vs metastatic
Cfa.18508.1.S1_s_at	cyclin B2	CCNB2	0.000782751	-6.46102	non metastatic down vs metastatic
Cfa.322.1.S1_s_at	TPX2, microtubule-associated, homolog (Xenopus laevis)	TPX2	2.20E-05	-6.41953	non metastatic down vs metastatic
CfaAffx.9657.1.S1_s_at	shugoshin-like 1 (S. pombe)	SGOL1	5.67E-05	-6.02564	non metastatic down vs metastatic
CfaAffx.11580.1.S1_at	DEP domain containing 1B	DEPDC1B	0.000111405	-6.0224	non metastatic down vs metastatic
CfaAffx.7631.1.S1_s_at	centromere protein A	CENPA	0.000118361	-5.9896	non metastatic down vs metastatic
