Probe set ID	Gene symbol	Entrez gene ID	Biopsy Average signal intensity	Surgical Average signal intensity	Ratio (Surgical/Biopsy)
1197_at	ACTG2	72	199.48	4100.77	20.56
32313_at	TPM2	7169	655.93	8011.41	12.21
608_at	APOE	348	893.55	7899.11	8.84
37892_at	COL11A1	1301	414.32	3548.09	8.56
311_s_at	FN1	2335	1932.48	16138.22	8.35
31720_s_at	FN1	2335	2106.51	15873.33	7.54
39145_at	MYL9	10398	611.26	4335.16	7.09
37279_at	GEM	2669	337.26	2255.52	6.69
37402_at	RNASE1	6035	276.32	1830.88	6.63
41764_at	APOC1	341	618.74	4011.49	6.48
767_at	MYH11	4629	1924.8	11786.42	6.12
32305_at	COL1A2	1278	1056.13	6453.28	6.11
32847_at	MYLK	4638	471.46	2800.63	5.94
32314_g_at	TPM2	7169	762.55	4491.92	5.89
38796_at	C1QB	713	852.29	4856.28	5.7
39822_s_at	GADD45B	4616	298	1681.53	5.64
38052_at	F13A1	2162	232.11	1290.16	5.56
36575_at	RGS1	5996	722.72	3955.43	5.47
39690_at	PDLIM3	27295	256.9	1404.84	5.47
31719_at	FN1	2335	4042.81	21634.72	5.35
1369_s_at	IL8	3576	1448.83	7658.91	5.29
1405_i_at	CCL5	6352	287.1	1513.77	5.27
649_s_at	CXCR4	7852	783.35	4081.06	5.21
31438_s_at	CD163	9332	336.44	1722.31	5.12
41123_s_at	ENPP2	5168	336.3	1707.56	5.08
35965_at	HSPA6	3310	295.02	1495.94	5.07
32535_at	FBN1	2200	544.18	2754	5.06
36629_at	TSC22D3	1831	1025.82	5155.76	5.03
37200_at	FCGR3A	2214	505.87	2534.15	5.01
38111_at	VCAN	1462	698.44	3416.04	4.89
37407_s_at	MYH11	4629	3650.74	17827.46	4.88
36627_at	SPARCL1	8404	2214.79	10413.02	4.7
36889_at	FCER1G	2207	349.4	1537.41	4.4
41779_at	RGS16	6004	361.8	1586.7	4.39
1451_s_at	POSTN	10631	1843.57	8073.65	4.38
1814_at	TGFBR2	7048	538.72	2332.43	4.33
39114_at	C10orf10	11067	588.41	2540.03	4.32
40520_g_at	PTPRC	5788	328.87	1415.33	4.3
38772_at	CYR61	3491	616.62	2637.9	4.28
32307_s_at	COL1A2	1278	4021.99	17205.02	4.28
37099_at	ALOX5AP	241	236.89	1008.45	4.26
129_g_at	CTSK	1513	268.35	1138.76	4.24
38112_g_at	VCAN	1462	580.22	2444.25	4.21
35832_at	SULF1	23213	698.11	2920.37	4.18
658_at	THBS2	7058	462.42	1898.01	4.1
40518_at	PTPRC	5788	766.13	3123.67	4.08
671_at	SPARC	6678	6594.17	26585.04	4.03
32542_at	FHL1	2273	677.02	2728.91	4.03
33924_at	DENND5A	23258	339.43	1364.67	4.02
38326_at	G0S2	50486	428.44	1710.76	3.99
36931_at	TAGLN	6876	3680.69	14623.4	3.97
41739_s_at	CALD1	800	286.78	1138.08	3.97
37032_at	NNMT	4837	1581.66	6273.11	3.97
38466_at	CTSK	1513	958.71	3761.45	3.92
128_at	CTSK	1513	422.48	1616.21	3.83
38722_at	COL6A1	1291	1695.36	6423.65	3.79
36993_at	PDGFRB	5159	700.31	2630.93	3.76
36791_g_at	TPM1	7168	1814.46	6809.4	3.75
661_at	GAS1	2619	558.72	2087.37	3.74
38650_at	IGFBP5	3488	2043.92	7634.6	3.74
37219_at	CXCL9	4283	367.11	1370.65	3.73
39069_at	AEBP1	165	1037.9	3795.65	3.66
39760_at	QKI	9444	307.7	1124.29	3.65
35926_s_at	LYZ	4069	2642.25	9491.57	3.59
1693_s_at	TIMP1	7076	4782.67	17092.53	3.57
659_g_at	THBS2	7058	842.23	3009.55	3.57
40202_at	KLF9	687	1194.99	4252.72	3.56
1396_at	IGFBP5	3488	1436.34	5092.08	3.55
32227_at	SRGN	5552	563.54	1997.62	3.54
32783_at	FBLN2	2199	358.22	1260.45	3.52
1005_at	DUSP1	1843	752.95	2566.68	3.41
38420_at	COL5A2	1290	2911.25	9651.75	3.32
32773_at	HLA-DQA1	3117	1403.07	4591.17	3.27
39593_at	FGL2	10875	381.94	1247.03	3.26
37023_at	LCP1	3936	515.03	1671.2	3.24
38363_at	TYROBP	7305	1856.74	5951.43	3.21
1771_s_at	PDGFRB	5159	364.89	1167.35	3.2
38378_at	CD53	963	403.83	1289.9	3.19
37398_at	PECAM1	5175	1307.71	4173.89	3.19
37006_at	IGJ	3512	1019.53	3251.95	3.19
39827_at	DDIT4	54541	1375.69	4368.48	3.18
36577_at	FERMT2	10979	603.2	1897.76	3.15
32755_at	ACTA2	59	7137.85	22255.46	3.12
32488_at	COL3A1	1281	4645.82	14484.75	3.12
36878_f_at	HLA-DQB1 /// LOC100294318	100294318 /// 3119	1313.56	4089.82	3.11
41839_at	GAS1	2619	622.17	1930.32	3.1
37701_at	RGS2	5997	1282.1	3938.44	3.07
41738_at	CALD1	800	711.65	2179.05	3.06
37716_at	CD200	4345	411.21	1255.66	3.05
41723_s_at	HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5 /// HLA-DRB6 /// LOC100294036 /// LOC651845	100294036 /// 3123 /// 3125 /// 3126 /// 3127 /// 3128 /// 651845	2728.84	8275.23	3.03
34091_s_at	VIM	7431	8041.41	24355.39	3.03
39945_at	FAP	2191	909.53	2754.52	3.03
36149_at	DPYSL3	1809	759.41	2296.35	3.02
39775_at	SERPING1	710	5707.63	17175.7	3.01
36790_at	TPM1	7168	2478.97	7389.63	2.98
36207_at	SEC14L1	6397	805.01	2384.57	2.96
34407_at	RARRES2	5919	1447.03	4268.42	2.95
36979_at	SLC2A3	6515	1219.1	3594.67	2.95
2062_at	IGFBP7	3490	4190.37	12301.83	2.94
38404_at	TGM2	7052	1233.75	3610.64	2.93
38077_at	COL6A3	1293	5977.85	17299.29	2.89
36908_at	MRC1 /// MRC1L1	414308 /// 4360	491.94	1404.48	2.85
38038_at	LUM	4060	3443.02	9787.31	2.84
38745_at	LIPA	3988	756.5	2148.67	2.84
36861_at	MXRA5	25878	2904.54	8146.52	2.8
40310_at	TLR2	7097	491.68	1374.18	2.79
38767_at	SPRY1	10252	412.38	1141.27	2.77
32128_at	CCL18	6362	918.9	2530.9	2.75
38653_at	PMP22	5376	2091.7	5752.41	2.75
38968_at	SH3BP5	9467	637.51	1723.9	2.7
