Curated Gene Symbol	Rank	Gene Symbol	Gene Description	Fold Change in Expression	Chromosome Location
SERPINA3	1	SERPINA3	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	80.89	14q32.1
CHI3L1	2	CHI3L1	Chitinase 3-like 1 (cartilage glycoprotein-39)	56.98	1q32.1
	4	CHAD2	Chondroadherin	43.68	17q21.33
TIMP4	6	TIMP4	Tissue inhibitor of metalloproteinase 4	41.47	3p25
	7	WEE11	WEE1 homolog (Schizosaccharomyces pombe)	41.03	11p15.3–p15.1
PDPN	11	T1A-2	Lung type-I cell membrane–associated glycoprotein	35.21	1p36
ABCC3	12	ABCC3	ATP-binding cassette, subfamily C (CFTR/MRP), member 3	33.72	17q22
	15	IL1RAP2	Interleukin 1 receptor accessory protein	26.58	3q28
CSPG4	17	CSPG4	Chondroitin sulfate proteoglycan 4 (melanoma-associated)	23.77	15q23
	19	AGTRL11	Angiotensin II receptor–like 1	22.36	11q12
CD44	22	CD44	Homo sapiens CD44 isoform RC (CD44) mRNA, complete cds	19.88	11p13
MYT1	24	MYT1	Myelin transcription factor 1	18.49	20q13.33
TAZ	26	TAZ	Transcriptional coactivator with PDZ-binding motif (TAZ)	17.53	3q23–q24
TIMP1	31	TIMP1	Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	16.23	Xp11.3–p11.23
	32	HLA-DPA13	Major histocompatibility complex, class II, DP alpha 1	15.79	6p21.3
S100A10	36	S100A10	S100 calcium binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11)	15.27	1q21
	38	TLR21	Toll-like receptor 2	14.66	4q32
TFPI	40	TFPI1	ESTs, weakly similar to cytokine receptor-like factor 2; cytokine receptor CRL2 precusor (Homo sapiens)	14.09	2q32
POSTN	44	POSTN	Osteoblast-specific factor 2 (fasciclin I-like)	12.6	13q13.1
CHI3L2	46	CHI3L2	Chitinase 3-like 2	12.22	1p13.3
CCL3	48	CCL3	Chemokine (C–C motif) ligand 3	11.89	17q11–q21
MSR1	49	MSR1	Macrophage scavenger receptor 1	11.87	8p22
SRPX	50	SRPX	Sushi-repeat–containing protein, X chromosome	11.29	Xp21.1
	51	CSPG21	Chondroitin sulfate proteoglycan 2 (versican)	10.86	5q14.3
CD151	56	CD151	CD151 antigen	10.61	11p15.5
	-74	FGF132	Fibroblast growth factor 13	-10.34	Xq26.3
	-72	MEF2C1	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	-10.48	5q14
	-7	WNT10B2	wingless-type MMTV integration site family, member 10B	-10.5	12q13
	-69	NPY1R1	Neuropeptide Y receptor Y1	-10.96	4q31.3–q32
	-67	ATP2B21	Homo sapiens, similar to nuclear localization signals binding protein 1, clone IMAGE:4933343, mRNA	-11.22	3p25.3
	-66	PRKCB115	Protein kinase C, beta 1	-11.24	16p11.2
MAL	-65	MAL	mal, T-cell differentiation protein	-11.55	2cen-q13
	-62	CACNA2D31	Calcium channel, voltage-dependent, alpha 2/delta 3 subunit	-11.89	3p21.1
	-6	GRIN13	Glutamate receptor, ionotropic, N -methyl D-aspartate 1	-12.15	9q34.3
	-59	HTR2A3	5-Hydroxytryptamine (serotonin) receptor 2A	-12.22	13q14–q21
	-55	SNAP251	Synaptosomal-associated protein, 25 kDa	-13.04	20p12–p11.2
	-54	PTK2B4	PTK2B protein tyrosine kinase 2 beta	-13.42	8p21.1
PPIP5K1	-52	VIP1	Vasoactive intestinal peptide	-14.27	6q26–q27
	-5	VAMP11	Vesicle-associated membrane protein 1 (synaptobrevin 1)	-15.17	12p
	-48	NPY2	Neuropeptide Y	-15.63	7p15.1
ENPP2	-45	ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	-17.09	8q24.1
MBP	-44	MBP	Myelin basic protein	-17.48	18q23
	-39	HTR2C3	5-Hydroxytryptamine (serotonin) receptor 2C	-19.23	Xq24
	-37	P2RX52	Purinergic receptor P2X, ligand-gated ion channel, 5	-19.57	17p13
	-32	MATK2	Megakaryocyte-associated tyrosine kinase	-23.75	19p13.3
	-31	CRH2	Corticotropin-releasing hormone	-24.27	8q13
	-22	NEFH2	Neurofilament, heavy polypeptide 200 kDa	-27.4	22q12.2
ICAM5	-21	ICAM5	Intercellular adhesion molecule 5, telencephalin	-27.7	19p13.2
EGR4	-19	EGR4	Early growth response 4	-28.9	2p13
	-15	CAMK2A5	Calcium/calmodulin–dependent protein kinase (CaM kinase) II alpha	-36.76	5q33.1
	-13	ATP2B21	ATPase, Ca2+ transporting, plasma membrane 2	-39.22	3p26–p25
	-11	SST1	Somatostatin	-43.86	3q28
	-1	ITPKA2	Inositol 1,4,5-trisphosphate 3-kinase A	-49.5	15q14–q21
	-6	GABRA51	ã-Aminobutyric acid (GABA) A receptor, alpha 5	-101.01	15q11.2–q12
	-3	CACNG31	Calcium channel, voltage-dependent, gamma subunit 3	-136.99	16p12–p13.1
CCL28	-2	CCK1	Cholecystokinin	-146.63	3p22–p21.3
FOXG1	-1	FOXG1B	Forkhead box G1B	-325.73	14q12–q13
