gene symbol	description	fold change	p-value	Expression
STEAP2	Six transmembrane epithelial antigen of prostate 2	5.742	7.36E-19	upregulated
RDH10	Retinol dehydrogenase 10 (all-trans)	5.53	0.000000002	upregulated
GALNTL2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 2	5.422	2.77E-12	upregulated
HSD11B1	Hydroxysteroid (11-beta) dehydrogenase 1	5.412	8.74E-13	upregulated
BIRC3	Baculoviral IAP repeat-containing 3	5.23	0.0347	upregulated
EGR3	Early growth response 3	5.208	0.0315	upregulated
GPM6B	Glycoprotein M6B	5.032	0.00000801	upregulated
MME	Membrane metallo-endopeptidase	4.811	4.22E-12	upregulated
GPM6B	Glycoprotein M6B	4.76	0.00000347	upregulated
PSG4	Pregnancy specific beta-1-glycoprotein 4	4.556	1.99E-12	upregulated
COL4A1	Collagen, type IV, alpha 1	-4.983	0.0414	downregulated
C13orf18	Chromosome 13 open reading frame 18	-5.198	0.0000717	downregulated
TFPI2	Tissue factor pathway inhibitor 2	-5.23	0.00000168	downregulated
TCEAL7	Transcription elongation factor A (SII)-like 7	-5.365	0.0000429	downregulated
PPP2R2B	Protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform	-6	0.000000395	downregulated
PTGS1	Prostaglandin-endoperoxide synthase 1	-7.177	0.00132	downregulated
PTGS1	Prostaglandin-endoperoxide synthase 1	-7.538	0.000745	downregulated
GHR	Growth hormone receptor	-7.841	4.33E-10	downregulated
G0S2	Putative lymphocyte G0/G1 switch gene	-9.724	0.0141	downregulated
NEFL	Neurofilament, light polypeptide 68kDa	-16.395	0.000377	downregulated
