Functional classification	Gene name	Gene symbol	Fold change APB	Fold change PPB
Apoptosis	TIMP metallopeptidase inhibitor 3	TIMP3	1.36	1.9
Apoptosis	Diablo homolog (drosophila)	DIABLO	-1.25	-2.18
Cell adhesion	Endoglin (osler-rendu-weber syndrome 1)	ENG	-2.85	-3.61
Cell aging	LIM and senescent cell antigen-like domains 1	LIMS1	1.31	3.13
Cell cycle	Stromal interaction molecule 1	STIM1	-1.6	-1.95
Cell cycle	Transforming growth factor, beta 1	TGFB1	-1.54	-2.12
Cell cycle (inhibition)	Retinoblastoma-like 2 (p130)	RBL2	1.61	3.45
Cell proliferation	RAS homolog gene family, member g (rho g)	RHOG	-1.04	-1.65
Cell survival	Hcls1 associated protein x-1	HAX1	-1.56	-1.8
Differentiation	Endothelial pas domain protein 1	EPAS1	-1.69	-2.1
Meiotic recombination	Kelch domain containing 3	KLHDC3	-1.57	-1.77
Proliferation	Calpain, small subunit 1	CAPNS1	-1.36	-1.41
Actin cytoskeleton organization and development	Phosphodiesterase 4 d interacting protein (myomegalin)	PDE4DIP	1.3	1.9
Cytokinesis	Myosin-10 (cellular myosin heavy chain, type b)	MYH10	3.19	6.22
Cytokinesis	Septin 11	11-Sep	2.52	3.79
Cytoskeletal organization	Actin binding lim protein 1	ABLIM1	2.23	3.17
Development	MYBPC1 myosin binding protein C, slow type	MYBPC1	1.82	4.14
Development	Nebulin	NEB	1.86	3.16
Development	Titin	TTN	1.96	8.95
Development	Myocyte enhancer factor 2C	MEF2C	1.38	4.9
Development	Integrin beta 1 binding protein (melusin) 2	ITGB1BP2	-2.02	-2.28
Development	Actin, gamma 2, smooth muscle, enteric	ACTG2	-2.72	-6.73
Structure	DMN desmuslin	DMN	2.13	8.41
Anti tumor	Dermatan sulfate epimerase	DSE	4.81	4.49
Humoral immune response	Adenosine deaminase	ADA	-2.21	-2.58
Immune response	Gamma-interferon inducible lysosomal thiol reductase precursor	IFI30 / GILT	-4.7	-5.3
Oxidative stress response	Peroxiredoxin 5	PRDX5	-1.9	-1.9
