Gene symbol	Name	Fold change	Score
RGS2	Regulator of G-protein signaling 2	2.2	6.90E-18
PTGS1	Prostaglandin-endoperoxide synthase 1	1.8	4.46E-17
NPTX1	Neuronal pentraxin I	1.8	2.23E-16
PTGS2	Prostaglandin-endoperoxide synthase 2	1.7	3.05E-16
SFRP1	Secreted frizzled-related protein 1	1.7	8.49E-16
NR4A2	Nuclear receptor subfamily 4, group A, member 2	1.7	6.98E-15
STC1	Stanniocalcin 1	1.6	9.98E-15
IL8	Interleukin 8	1.5	3.20E-13
PITPNC1	Phosphatidylinositol transfer protein, cytoplasmic 1	1.4	1.60E-12
GNLY	Granulysin	1.5	3.00E-12
IFITM1	Interferon induced transmembrane protein 1	1.4	3.71E-12
SGK	Serum/glucocorticoid regulated kinase 1	1.4	6.14E-12
IL11	Interleukin 11	1.5	6.72E-12
PDE4D	Phosphodiesterase 4D, cAMP-specific	1.4	1.37E-11
FOS	FBJ murine osteosarcoma viral oncogene homolog	1.4	1.81E-11
LRIG1	Leucine-rich repeat and immunoglobulin-like domain1	1.4	3.15E-11
CCL2	Chemokine (C-C motif) ligand 2	1.3	5.82E-11
TMEM158	Transmembrane protein 158	1.6	9.55E-11
JAM2	Junctional adhesion molecule 2	1.3	1.47E-10
STAMBPL1	STAM binding protein-like 1	1.3	1.60E-10
