Function	LR5 fold change	Signal; Sus	Signal; LR5	Description
DNA damage	1.76+/-0.82	229	360	Ligase III, DNA, ATP-dependent
DNA damage	1.78+/-0.24	1122	1994	RAD51 homologue C
DNA damage	2.7+/-0.25	282	751	FANC, complementation group F
DNA damage	1.65+/-0.45	276	449	UV-radiation resistance-associated gene
DNA damage	0.4+/-0.17	170	63	BRCA1-associated protein
Cell cycle	3.97+/-3.7	129	545	Cyclin-dependent kinase inhibitor 1C (p57Kip2)
Cell cycle	1.46+/-0.21	791	1135	Cyclin-dependent kinase inhibitor 1B (p27Kip1)
Cell cycle	0.82+/-0.25	257	210	Cyclin D1 (parathyroid adenomatosis 1)
Cell cycle	0.85+/-0.97	438	241	CDC25A
Amino acid transport	1.62+/-0.71	420	632	Putative L-type neutral amino acid transporter
Amino acid transport	0.82+/-0.34	3997	3087	Solute carrier family 7 (cationic amino acid transporter system)
Glutathione	1.67+/-0.4	924	1505	Glutamate-cysteine ligase, catalytic subunit
