No.	Probe set ID	Gene title	Gene symbol	q value	Correlation
1	219271_at	UDP-N-acetyl-alpha-d-galactosamine: polypeptide N-acetyl galactosaminyl transferase 14 (GalNAc-T14)	GALNT14	3.00E-04	0.7065
2	227952_at	Hypothetical LOC402110	LOC402110	6.00E-04
3	201641_at	Bone marrow stromal cell antigen 2	BST2	1.20E-03	0.6452
4	205626_s_at	Calbindin 1, 28 kDa	CALB1	2.40E-03	0.7344
5	204259_at	Matrix metallopeptidase 7 (matrilysin, uterine)	MMP7	4.20E-03	0.8127
6	243623_at	Solute carrier family 1 (glutamate transporter), member 7	SLC1A7	4.20E-03	0.8272
7	219956_at	UDP-N-acetyl-alpha-d-galactosamine: polypeptide N-acetyl galactosaminyl transferase 6 (GalNAc-T6)	GALNT6	4.30E-03	0.5472
8	205267_at	POU domain, class 2, associating factor 1	POU2AF1	4.30E-03	0.7667
9	225342_at	Adenylate kinase 3-like 1	AK3L1	6.50E-03	0.6931
10	211748_x_at	Prostaglandin D2 synthase 21 kDa (brain)///prostaglandin D2 synthase 21 kDa (brain)	PTGDS	7.10E-03	0.7926
11	212992_at	Chromosome 14 open reading frame 78	C14orf78	8.40E-03
12	210809_s_at	Periostin, osteoblast specific factor	POSTN	1.23E-02	0.6765
13	203924_at	Glutathione S-transferase A1	GSTA1	1.25E-02	0.8963
14	210072_at	Chemokine (C-C motif) ligand 19	CCL19	1.35E-02	0.7193
15	211668_s_at	Plasminogen activator, urokinase///plasminogen activator, urokinase	PLAU	1.37E-02	0.8087
16	205513_at	Transcobalamin I (vitamin B12 binding protein, R binder family)	TCN1	1.56E-02	0.6906
17	214453_s_at	IFN-induced protein 44	IFI44	1.57E-02	0.7171
18	213664_at	Solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	SLC1A1	1.59E-02	0.7604
19	219869_s_at	Solute carrier family 39 (zinc transporter), member 8	SLC39A8	1.62E-02	0.6961
20	223551_at	Protein kinase (cyclic AMP–dependent, catalytic) inhibitor beta	PKIB	1.63E-02	0.627
