Symbol	Gene name	Fold up-regulation in Cav-3 KO
5730507H05Rik	RIKEN cDNA 5730507H05 gene	3.3
Brca1	Breast cancer 1	3.3
Brrn1	Barren homolog (Drosophila)	2.5
Ccnb1	Cyclin B1	2.8
Cdca5	Cell division cycle-associated 5	3.3
Cdca8	Cell division cycle-associated 8	3.3
Chaf1b	"Chromatin assembly factor 1, subunit B (p60)"	3.1
Chek1	Checkpoint kinase 1 homolog (S. pombe)	3.1
Ect2	Ect2 oncogene	3.1
Exo1	Exonuclease 1	3.4
Fanca	"Fanconi anemia, complementation group A"	2
Fen1	Flap structure specific endonuclease 1	2.2
Hmmr	Hyaluronan-mediated motility receptor (RHAMM)	2.8
Kntc1	Kinetochore associated 1	2.9
Mcm2	Minichromosome maintenance-deficient 2 mitotin (S. cerevisiae)	2.6
Mcm5	"Minichromosome maintenance-deficient 5, cell division cycle 46 (S. cerevisiae)"	3.8
Mcm6	"Minichromosome maintenance-deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)"	2.4
Mki67	Antigen identified by monoclonal antibody Ki 67	3.4
Mphosph1	M phase phosphoprotein 1	3
Nasp	Nuclear autoantigenic sperm protein (histone-binding)	2
Pole	"Polymerase (DNA directed), epsilon"	2.5
Prim1	"DNA primase, p49 subunit"	2.4
Rfc5	Replication factor C (activator 1) 5	2.2
Skp2	S phase kinase-associated protein 2 (p45)	2.4
Smc2	Structural maintenance of chromosomes 2	2.2
Stmn1	Stathmin 1	3.2
Trip13	Thyroid hormone receptor interactor 13	2.9
Tyms	Thymidylate synthase	
