Microarray Probeset	CD40 gPAS Direction	Gene Symbol	Gene Name
222183_x_at	Down-regulated	SNW1	SNW domain containing 1
210130_s_at	Down-regulated	TM7SF2	transmembrane 7 superfamily member 2
217823_s_at	Down-regulated	UBE2J1	ubiquitinDown-regulatedconjugating enzyme E2, J1 (UBC6 homolog, yeast)
242458_at	Down-regulated	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2
227533_at	Down-regulated	NA	NA
208940_at	Down-regulated	SEPHS1	selenophosphate synthetase 1
219441_s_at	Down-regulated	LRRK1	leucineDown-regulatedrich repeat kinase 1
226987_at	Down-regulated	RBM15B	RNA binding motif protein 15B
203608_at	Down-regulated	ALDH5A1	aldehyde dehydrogenase 5 family, member A1
217824_at	Down-regulated	UBE2J1	ubiquitinDown-regulatedconjugating enzyme E2, J1 (UBC6 homolog, yeast)
217826_s_at	Down-regulated	UBE2J1	ubiquitinDown-regulatedconjugating enzyme E2, J1 (UBC6 homolog, yeast)
219518_s_at	Down-regulated	ELL3	elongation factor RNA polymerase IIDown-regulatedlike 3
219517_at	Down-regulated	ELL3	elongation factor RNA polymerase IIDown-regulatedlike 3
227224_at	Down-regulated	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2
217825_s_at	Down-regulated	UBE2J1	ubiquitinDown-regulatedconjugating enzyme E2, J1 (UBC6 homolog, yeast)
228361_at	Down-regulated	E2F2	E2F transcription factor 2
212592_at	Down-regulated	IGJ	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides
203675_at	Down-regulated	NUCB2	nucleobindin 2
1557813_at	Down-regulated	NA	NA
235372_at	Down-regulated	FCRLA	Fc receptorDown-regulatedlike A
222435_s_at	Down-regulated	UBE2J1	ubiquitinDown-regulatedconjugating enzyme E2, J1 (UBC6 homolog, yeast)
220338_at	Down-regulated	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2
205922_at	Down-regulated	VNN2	vanin 2
225090_at	Down-regulated	SYVN1	synovial apoptosis inhibitor 1, synoviolin
204992_s_at	Down-regulated	PFN2	profilin 2
239278_at	Down-regulated	NA	NA
202495_at	Down-regulated	TBCC	tubulin folding cofactor C
226809_at	Down-regulated	LOC100216479	hypothetical LOC100216479
205902_at	Down-regulated	KCNN3	potassium intermediate/small conductance calciumDown-regulatedactivated channel, subfamily N, member 3
224811_at	Down-regulated	NA	NA
201678_s_at	Down-regulated	C3orf37	chromosome 3 open reading frame 37
218418_s_at	Down-regulated	KANK2	KN motif and ankyrin repeat domains 2
1555852_at	Down-regulated	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)
218862_at	Down-regulated	ASB13	ankyrin repeat and SOCS boxDown-regulatedcontaining 13
221286_s_at	Down-regulated	MGC29506	hypothetical protein MGC29506
203555_at	Down-regulated	PTPN18	protein tyrosine phosphatase, nonDown-regulatedreceptor type 18 (brainDown-regulatedderived)
242236_at	Down-regulated	NA	NA
201009_s_at	Down-regulated	TXNIP	thioredoxin interacting protein
217853_at	Down-regulated	TNS3	tensin 3
208010_s_at	Down-regulated	PTPN22	protein tyrosine phosphatase, nonDown-regulatedreceptor type 22 (lymphoid)
235638_at	Down-regulated	RASSF6	Ras association (RalGDS/AFDown-regulated6) domain family member 6
210829_s_at	Down-regulated	SSBP2	singleDown-regulatedstranded DNA binding protein 2
213475_s_at	Down-regulated	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte functionDown-regulatedassociated antigen 1; alpha polypeptide)
228831_s_at	Down-regulated	GNG7	guanine nucleotide binding protein (G protein), gamma 7
203680_at	Down-regulated	PRKAR2B	protein kinase, cAMPDown-regulateddependent, regulatory, type II, beta
209360_s_at	Down-regulated	RUNX1	runtDown-regulatedrelated transcription factor 1
204446_s_at	Down-regulated	ALOX5	arachidonate 5Down-regulatedlipoxygenase
202822_at	Down-regulated	LPP	LIM domain containing preferred translocation partner in lipoma
235401_s_at	Down-regulated	FCRLA	Fc receptorDown-regulatedlike A
225136_at	Down-regulated	PLEKHA2	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2
