Gene name	Description	Entrez Gene ID	Fold Change	P-value
adam8	A disintegrin and metalloproteinase domain 8	368917	2.08	0
aes	Amino-terminal enhancer of split	393395	1.84	7.40E-07
agt	Angiotensinogen	322485	1.82	2.47E-11
aif1	Allograft inflammatory factor 1	83913	1.9	5.73E-28
allc	Allantoicase	436989	1.58	8.32E-10
ampd3	Adenosine monophosphate deaminase 3	333997	1.57	0
anxa1c	Annexin A1c	327066	1.51	9.81E-06
apol1	Apolipoprotein L, 1	560340	1.63	1.19E-17
arhgef7b	Rho guanine nucleotide exchange factor (GEF) 7b	494081	1.63	1.39E-11
arl4d	ADP-ribosylation factor-like 4D	323573	1.76	0
arrdc1	Arrestin domain containing 1	378740	1.61	1.17E-07
arrdc3	Arrestin domain containing 3	324193	1.86	0.00007
asah1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	450068	1.64	2.05E-09
asb13	Ankyrin repeat and SOCS box-containing 13	436801	1.71	0
ascl1b	Achaete-scute complex-like 1b (Drosophila)	30478	2.18	3.20E-20
atf3	Activating transcription factor 3	393939	4.83	0
atp6ap1	ATPase, H+ transporting, lysosomal accessory protein 1	195824	1.51	2.55E-18
bad	BCL2-antagonist of cell death	58100	1.58	0
bik	BCL2-interacting killer (apoptosis-inducing)	564030	1.9	7.51E-14
blnk	B-cell linker	405764	1.66	1.16E-06
blzf1	Basic leucine zipper nuclear factor 1	114452	1.68	5.63E-07
btg1	B-cell translocation gene 1	114432	1.68	1.59E-20
btg1	B-cell translocation gene 1	114432	1.65	0
btg2	B-cell translocation gene 2	30079	5.11	0
c20orf149	Chromosome 20 open reading frame 149 homolog (human)	338304	3.01	2.60E-18
c20orf149l	Chromosome 20 open reading frame 149, like	336303	1.57	1.84E-13
c20orf45	Chromosome 20 open reading frame 45 (H. sapiens)	378855	1.88	2.03E-07
c6ast4	Six-cysteine containing astacin protease 4	574001	1.57	2.45E-08
calcoco1	Calcium binding and coiled-coil domain 1	334971	2.35	5.83E-38
calcoco1	Calcium binding and coiled-coil domain 1	334971	2.11	3.20E-08
ccdc24	Coiled-coil domain containing 24	541495	1.89	1.29E-12
ccdc24	Coiled-coil domain containing 24	541495	1.55	2.17E-18
ccng2	Cyclin G2	266794	2.75	0
cd9	CD9 antigen (p24)	322455	1.59	0
cdkn1b	Cyclin-dependent kinase inhibitor 1b (p27, kip1)	368329	1.58	1.40E-08
cebpb	CCAAT/enhancer binding protein (C/EBP), beta	140814	3.27	0
cebpd	CCAAT/enhancer binding protein (C/EBP), delta	140817	4.25	0
cebpg	CCAAT/enhancer binding protein (C/EBP), gamma	140816	1.85	0
cfb	Complement factor B	30604	2.19	1.88E-29
CH211-89F7.4	Similar to CC chemokine SCYA106	794891	2.63	5.43E-11
chac1	ChaC, cation transport regulator-like 1	323237	2.6	3.93E-18
clcn6	Chloride channel 6	323336	1.77	7.50E-09
cldnc	Claudin c	81582	2.47	0
cldnf	Claudin f	81585	1.68	8.95E-09
cln6	Ceroid-lipofuscinosis, neuronal 6, late infantile, variant	449809	1.53	1.96E-44
cnpy4	Canopy4	568776	2.86	1.38E-12
cp	Ceruloplasmin	84702	2.6	6.39E-35
cpt1al	Carnitine palmitoyltransferase 1A like	449677	8.27	0
creb3l3	CAMP responsive element binding protein 3-like 3	406853	1.62	9.05E-11
crestin	Crestin	30186	2.39	3.99E-11
cry5	Cryptochrome 5	83776	1.86	6.20E-14
cry-dash	Cryptochrome DASH	402986	3.16	4.06E-18
ctgf	Connective tissue growth factor	321449	1.61	1.12E-09
cthl	Cystathionase (cystathionine gamma-lyase), like	445818	2.64	0.00002
ctsk	Cathepsin K	550475	1.57	0.00004
cx30.9	Connexin 30.9	402821	2.58	2.71E-21
cxadr	Coxsackie virus and adenovirus receptor	259305	1.59	1.13E-11
cxcr4b	Chemokine (C-X-C motif), receptor 4b	114447	1.81	2.28E-31
cyp2k6	Cytochrome P450, family 2, subfamily K, polypeptide 6	393481	5.69	5.10E-42
cyp3c1	Cytochrome P450, family 3, subfamily c, polypeptide 1	324340	2.56	2.59E-07
dap1a	Death associated protein 1a	58093	1.55	1.84E-21
dap1b	Death associated protein 1b	58094	1.65	1.92E-16
