Transcript ID	Gene Symbol	Gene Name	Fold Change
NM_012940	Cyp1b1	Cytochrome P450, family 1, subfamily b, polypeptide 1	2091
NM_012540	Cyp1a1	Cytochrome P450, family 1, subfamily a, polypeptide 1	1551
NM_031972	Aldh3a1	Aldehyde dehydrogenase family 3, member A1	1493
NM_173339	Ceacam10	CEA-related cell adhesion molecule 10	976
XM_001081230 /// XM_213440	Col1a1	Procollagen, type 1, alpha 1	85
NM_031732	Sult1c1	Sulfotransferase family, cytosolic, 1C, member 1	61
NM_031810	Defb1	Defensin beta 1	61
NM_012881	Spp1	Secreted phosphoprotein 1	31
NM_031530	Ccl2	Chemokine (C-C motif) ligand 2	31
NM_053963	Mmp12	Matrix metallopeptidase 12	27
NM_130407	Ugt1a7	UDP glycosyltransferase 1 family, polypeptide A7	40
NM_012577 /// NM_138974	Gstp1 /// Gstp2	Glutathione-S-transferase, pi 1 /// glutathione S-transferase, pi 2	31
NM_130741	Lcn2	Lipocalin 2	21
NM_001014100	LOC316326	Similar to lung inducible neuralized-related C3HC4 RING finger protein	22
NM_001024964	Exoc3	Exocyst complex component 3	21
XM_001067689 /// XM_236992	Tnfrsf21	Tumor necrosis factor receptor superfamily, member 21	14
NM_012786	Cox8h	Cytochrom c oxidase subunit VIII-H (heart/muscle)	24
NM_012598	Lpl	Lipoprotein lipase	10
NM_001039691 /// NM_057105	Ugt1a6	UDP glycosyltransferase 1 family, polypeptide A6	16
NM_144755	Trib3	Tribbles homolog 3 (Drosophila)	13
NM_031620	Phgdh	3-phosphoglycerate dehydrogenase	8
NM_017127	Chka	Choline kinase alpha	6
NM_053401	Ngfrap1	Nerve growth factor receptor (TNFRSF16) associated protein 1	6
NM_017000	Nqo1	NAD(P)H dehydrogenase, quinone 1	9
XM_001068689 /// XM_001068737 /// XM_001068787 /// XM_220333	Cyfip2	Cytoplasmic FMR1 interacting protein 2	5
NM_177425	Csrp2	Cysteine and glycine-rich protein 2	7
NM_024129	Dcn	Decorin	6
NM_198738	Psat1	Phosphoserine aminotransferase 1	5
NM_017208	Lbp	Lipopolysaccharide binding protein	6
NM_031588	Nrg1	Neuregulin 1	4
NM_024127	Gadd45a	Growth arrest and DNA-damage-inducible 45 alpha	4
NM_031569 /// NM_057098 /// XM_001055907 /// XM_345486	Prpf6 /// Oprl1 /// Tcea2	Prpf6 PRP6 pre-mrna processing factor 6 homolog (S. Cerevisiae)/// Opioid receptor-like 1 /// Transcription elongation factor A (SII), 2	4
NM_012656	Sparc	Secreted acidic cysteine rich glycoprotein	4
NM_019153	Fbln5	Fibulin 5	4
NM_032085	Col3a1	Procollagen, type III, alpha 1	5
NM_017006	G6pdx	Glucose-6-phosphate dehydrogenase X-linked	5
XM_001058806 /// XM_343227	Nipal2	NIPA-like domain containing 2	5
NM_138541	Tacstd1	Tumor-associated calcium signal transducer 1	4
NM_080581	Abcc3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	4
NM_001004235	Mrpl37	Mitochondrial ribosomal protein L37	4
NM_012600	Me1	Malic enzyme 1	4
NM_012551	Egr1	Early growth response 1	4
NM_012752	Cd24	CD24 antigen	4
NM_172224	Impa2	Inositol (myo)-1(or 4)-monophosphatase 2	4
NM_012967	Icam1	Intercellular adhesion molecule 1	4
NM_031832	Lgals3	Lectin, galactose binding, soluble 3	4
NM_057104	Enpp2	Ectonucleotide pyrophosphatase/phosphodiesterase 2	5
NM_012862	Mgp	Matrix Gla protein	3
NM_021835	Jun	Jun oncogene	4
