Gene Symbol	Gene Title	Entrez Gene ID	Chromosomal Location	Ratio PRI-BR	Ttest PRI-BR	Ratio PRI-MET	Ttest PRI-MET
DMAP1	DNA methyltransferase 1 associated protein 1	55929	1p34	0.02	0.0525	0.73	0.72158
DNMT1	DNA (cytosine-5-)-methyltransferase 1	1786	19p13.2	1.11	0.53711	2.08	0
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	1788	2p23	0.6	0.04362	1.99	0.00185
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	1788	2p23	1.35	0.0041	0.83	0.14031
DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta	1789	20q11.2	1.18	0.47698	1.89	0.00643
DNMT3L	DNA (cytosine-5-)-methyltransferase 3-like	29947	21q22.3	1	0.99752	1.03	0.93561
MBD1	methyl-CpG binding domain protein 1	4152	18q21	1.75	0.05194	0.84	0.59164
MBD2	methyl-CpG binding domain protein 2	8932	18q21	1.41	0.00698	0.89	0.3854
MBD3	methyl-CpG binding domain protein 3	53615	19p13.3	0.9	0.54292	1.12	0.45617
MBD4	methyl-CpG binding domain protein 4	8930	3q21-q22	1.24	0.0012	1.3	0.02523
MECP2	methyl CpG binding protein 2 (Rett syndrome)	4204	Xq28	1.09	0.4465	1.33	0.01629
TRDMT1	tRNA aspartic acid methyltransferase 1	1787	10p15.1	0.73	0.2034	0.87	0.60935
