Probeset ID	Gene	Description	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value (%)
AGI_MM_OLIGO_A_51_P422751	Clca3	chloride channel calcium activated 3	-7.601523203	-8.23	1.082677745	369.0037	0.48194086
AGI_MM_OLIGO_A_51_P501299	Rhox2	reproductive homeobox 2	-5.636503347	-4.633333333	0.822022635	29.08668	0.48194086
AGI_MM_OLIGO_A_51_P453909	Cyp2f2	cytochrome P450, family 2, subfamily f, polypeptide 2	-10.29167043	-4.79	0.465424931	27.5558	0.48194086
AGI_MM_OLIGO_A_51_P241740	Pyy	peptide YY	-4.369564161	-4.273333333	0.977977019	25.06266	0.48194086
AGI_MM_OLIGO_A_51_P482128	Krt1-15	keratin complex 1, acidic, gene 15	-4.883151392	-4.296666667	0.879896264	23.54603	0.48194086
AGI_MM_OLIGO_A_51_P113585	Oit1	oncoprotein induced transcript 1	-4.98110402	-4.183333333	0.839840589	21.76279	0.48194086
AGI_MM_OLIGO_A_51_P499698	2300003P22Rik	RIKEN cDNA 2300003P22 gene	-4.506465102	-3.823333333	0.848410727	16.93193	0.48194086
AGI_MM_OLIGO_A_51_P471177	Stra6	stimulated by retinoic acid gene 6	-2.474689386	-3.196666667	1.291744606	13.89468	2.311974742
AGI_MM_OLIGO_A_51_P463791	2900083I11Rik	RIKEN cDNA 2900083I11 gene	-2.278563711	-3.08	1.351728717	13.62027	2.506092472
AGI_MM_OLIGO_A_51_P494125	Akp2	alkaline phosphatase 2, liver	-4.36976814	-3.516666667	0.804771913	12.93828	0.48194086
AGI_MM_OLIGO_A_51_P134829	Hoxc9	homeo box C9	-2.478150018	-2.93	1.182333587	12.39004	2.311974742
AGI_MM_OLIGO_A_51_P294161	4930422G04Rik	RIKEN cDNA 4930422G04 gene	-2.306867777	-2.866666667	1.242666222	12.28652	2.506092472
AGI_MM_OLIGO_A_51_P167403	Bglap-rs1	bone gamma-carboxyglutamate protein, related sequence 1	-7.305314888	-3.513333333	0.480928391	11.89061	0.48194086
AGI_MM_OLIGO_A_51_P163015	Arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	-1.960798997	-2.59	1.320890109	10.81666	4.484205204
AGI_MM_OLIGO_A_51_P381047	Ube2m	ubiquitin-conjugating enzyme E2M (UBC12 homolog, yeast)	-2.179713264	-2.713333333	1.244812048	10.66098	3.468608598
AGI_MM_OLIGO_A_51_P192089	2610028A01Rik	RIKEN cDNA 2610028A01 gene	-2.340828513	-2.69	1.14916577	9.779951	2.506092472
AGI_MM_OLIGO_A_51_P224164	Slc26a4	solute carrier family 26, member 4	-3.772908182	-3.08	0.816346397	9.470593	0.48194086
AGI_MM_OLIGO_A_51_P165021	Ccl27	chemokine (C-C motif) ligand 27	-2.465099255	-2.643333333	1.072303003	9.121591	2.311974742
AGI_MM_OLIGO_A_51_P409583	3110045G13Rik	RIKEN cDNA 3110045G13 gene	-3.017458204	-2.82	0.934561412	8.938148	1.322362421
AGI_MM_OLIGO_A_51_P504314	Prpf38b	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B	-1.991731393	-2.42	1.215023275	8.703978	4.130499272
AGI_MM_OLIGO_A_51_P264956	Kif1b	kinesin family member 1B	-1.908055848	-2.336666667	1.224632219	8.628873	4.843679002
AGI_MM_OLIGO_A_51_P410715	Hs3st3b1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	-2.446204092	-2.54	1.038343451	8.353521	2.358415181
AGI_MM_OLIGO_A_51_P501773	Slc35f3	solute carrier family 35, member F3	-2.051729454	-2.52	1.228232111	8.352125	3.707441527
AGI_MM_OLIGO_A_51_P371867	3830417A13Rik	RIKEN cDNA 3830417A13 gene	-2.718756825	-2.686666667	0.988196753	8.239947	1.561390031
AGI_MM_OLIGO_A_51_P435617	Vmd2l3	vitelliform macular dystrophy 2-like 3	-2.963561322	-2.716666667	0.916689878	8.193363	1.322362421
AGI_MM_OLIGO_A_51_P409349	Trim29	tripartite motif protein 29	-4.474326558	-2.92	0.652612178	8.171269	0.48194086
AGI_MM_OLIGO_A_51_P276305	Stra8	stimulated by retinoic acid gene 8	-4.27313368	-2.843333333	0.665397703	7.729767	0.48194086
AGI_MM_OLIGO_A_51_P304200	Krt1-1	keratin complex 1, acidic, gene 1	-3.595156713	-2.723333333	0.757500591	7.608034	0.48194086
AGI_MM_OLIGO_A_51_P494505	Kif5c	kinesin family member 5C	-1.965517784	-2.29	1.165087397	7.4985	4.484205204
AGI_MM_OLIGO_A_51_P280761	Baz1a	bromodomain adjacent to zinc finger domain 1A	-2.270824361	-2.323333333	1.023123309	7.289692	2.506092472
AGI_MM_OLIGO_A_51_P140871	Ankhd1	ankyrin repeat and KH domain containing 1	-1.893699803	-2.183333333	1.152945852	7.099247	4.843679002
AGI_MM_OLIGO_A_51_P452711	Kcnmb4	potassium large conductance calcium-activated channel, subfamily M, beta member 4	-3.866718975	-2.756666667	0.71292139	6.982265	0.48194086
AGI_MM_OLIGO_A_51_P231820	C130026I21Rik	RIKEN cNDA C130026I21 gene	-3.059535797	-2.66	0.869412936	6.876161	1.280470486
AGI_MM_OLIGO_A_51_P353946	Il11ra1	interleukin 11 receptor, alpha chain 1	-2.305628899	-2.43	1.053942376	6.609385	2.506092472
AGI_MM_OLIGO_A_51_P489367	Cyp3a25	cytochrome P450, family 3, subfamily a, polypeptide 25	-2.95392964	-2.586666667	0.875669695	6.408203	1.322362421
AGI_MM_OLIGO_A_51_P396193			-2.053933055	-2.16	1.051640897	6.367805	3.707441527
AGI_MM_OLIGO_A_51_P171726	Ceacam1	CEA-related cell adhesion molecule 1	-2.617476918	-2.333333333	0.89144371	6.207325	1.724126457
AGI_MM_OLIGO_A_51_P181474	Glycam1	glycosylation dependent cell adhesion molecule 1	-1.956787996	-2.189	1.118669986	6.175127	4.484205204
AGI_MM_OLIGO_A_51_P318182	LOC546232	hypothetical LOC546232	-2.350123568	-2.203333333	0.937539355	6.166749	2.506092472
AGI_MM_OLIGO_A_51_P484111	Matn2	matrilin 2	-2.935340233	-2.34	0.797181865	5.878203	1.322362421
AGI_MM_OLIGO_A_51_P199352	2310015B20Rik	RIKEN cDNA 2310015B20 gene	-3.305545781	-2.416666667	0.731094599	5.869578	1.092973022
AGI_MM_OLIGO_A_51_P486810	Gpx2	glutathione peroxidase 2	-2.220669264	-2.1	0.945660857	5.773672	2.906685376
AGI_MM_OLIGO_A_51_P201024	C230071I02Rik	RIKEN cDNA C230071I02 gene	-3.526644588	-2.39	0.677698005	5.736906	0.48194086
AGI_MM_OLIGO_A_51_P105660	Ehf	ets homologous factor	-2.097448189	-2.07	0.986913532	5.68085	3.468608598
