Rank	GenBank	Name	Symbol	Rank	HepG2	Hep3B
1	NM_022371	Torsin family 3, member A	TOR3A	5.31	2.57	0.48
2	NM_004083	Methionine-tRNA synthetase	MARS	5.29	3.04	0.57
3	BI757349	Ectonucleoside triphosphate diphosphohydrolase 7	ENTPD7	4.68	2.61	0.56
4	AL137548	Vitamin K epoxide reductase complex, subunit 1-like 1	VKORC1L1	4.62	3.18	0.69
5	NM_004339	Pituitary tumor-transforming 1 interacting protein	PTTG1IP	4.55	3.67	0.81
6	BG739896	Tetratricopeptide repeat domain 14	TTC14	4.48	4.72	1.05
7	NM_005517	High-mobility group nucleosomal binding domain 2	HMGN2	4.39	3.07	0.7
8	NM_025151	Rab coupling protein	RCP	4.2	3.68	0.88
9	NM_012260	2-hydroxyphytanoyl-CoA lyase	HPCL2	4.12	3.33	0.81
10	NM_000919	Peptidylglycine alpha-amidating monooxygenase	PAM	3.96	2.76	0.7
11	NM_000179	MutS homolog 6 (E. coli)	MSH6	3.76	3.67	0.98
12	AA011320	Spectrin, ß, erythrocytic	SPTB	3.74	2.77	0.74
13	NM_004521	Kinesin family member 5B	KIF5B	3.73	3.12	0.83
14	NM_021983	Major histocompatibility complex, class II, DR ß 3	HLA-DRB3	3.68	2.12	0.58
15	BC009367	Zinc finger protein 317	ZNF317	3.65	3.46	0.95
16	NM_003897	Immediate early response 3	IER3	3.62	3.1	0.86
17	NM_006784	WD repeat domain 3	WDR3	3.6	6.05	1.68
18	NM_020189	DC6 protein	DC6	3.58	2.79	0.78
19	BI667192	Histidyl-tRNA synthetase 2	HARS2	3.58	3.71	1.04
20	NM_005420	Sulfotransferase family 1E, estrogen-preferring 1	SULT1E1	3.49	2.5	0.72
21	NM_003143	Single-stranded DNA binding protein 1	SSBP1	3.47	2.61	0.75
22	NM_005038	Peptidylprolyl isomerase D (cyclophilin D)	PPID	3.45	3.94	1.14
23	NM_017595	I-?B-interacting Ras-like protein 2	KBRAS2	3.4	2.24	0.66
24	NM_022145	Leucine zipper protein FKSG14	FKSG14	3.37	3.85	1.14
25	NM_003758	Eukaryotic translation initiation factor 3, subunit 1 ·	EIF3S1	3.34	2.43	0.73
26	NM_004729	Zinc finger, BED domain containing 1	ZBED1	3.3	3.23	0.98
27	AL136877	SMC4 structural maintenance of chromosomes 4-like 1	SMC4L1	3.29	2.1	0.64
28	H08440	Ret finger protein	RFP	3.25	3.99	1.23
29	BC000195	DORA reverse strand protein 1	DREV1	3.23	2.43	0.75
30	AL136833	mSin3A-associated protein 130	SAP130	3.19	3.49	1.09
31	NM_001251	CD68 antigen	CD68	3.11	2.29	0.74
32	NM_006711	RNA binding protein S1, serine-rich domain	RNPS1	3.01	2.95	0.98
33	NM_020202	Nit protein 2	NIT2	3.01	2.36	0.79
34	AB023195	Additional sex combs like 1 (Drosophila)	ASXL1	0.33	0.52	1.57
35	AB020711	CDC2-related protein kinase 7	CRK7	0.33	0.41	1.25
36	NM_014970	Kinesin-associated protein 3	KIFAP3	0.33	0.54	1.63
