Gene	R	p-Value
COL1A2	0.888126	0.0012
S100A2	0.770036	0.0081
TFF1	0.764194	0
INHBA	0.761402	0.0004
WNT5A	0.731727	0.0027
GJA1	0.722746	0.0003
GNG11	0.722025	0.0006
GSTM3	0.693819	0
IGFBP5	0.684982	0
IFI16	0.615905	0.0022
FDXR	0.611562	0.0005
CTGF	0.594878	0
NUPR1	0.586186	0.0001
GSTP1	0.560942	0.0042
CYP1B1	0.550128	0.0002
TOP2A	0.522335	0.009
ESR1	0.518515	0.0157
IFITM3	0.514558	0.0026
MX1	0.503719	0.0124
CDKN2A	0.500448	0.0088
CD44	0.496155	0.0347
MTHFD1	0.494175	0.0289
VAV3	0.481777	0.0008
TFAP2A	0.47462	0.0002
HOXA9	0.473453	0
DHRS2	0.454703	0.009
CBFA2T3	0.443504	0.0214
ZIC1	0.435035	0.016
LITAF	0.434958	0.0017
ADAM12	0.428524	0.016
IFITM2	0.421762	0.0194
EFS	0.412792	0.0073
TACSTD2	0.407764	0.0065
GSTO1	0.39024	0.0104
CGREF1	0.37232	0
MAFB	0.366501	0.0113
CAMK2N1	0.353566	0.0086
SEMA3F	0.348895	0
RAB25	0.347329	0.0239
ANXA13	0.341399	0.0126
ALCAM	0.335584	0.0094
EIF4B	0.328433	0
GATA3	0.328377	0.0085
RAB21	0.321558	0.0127
PTN	0.320676	0.0309
PYCARD	0.319203	0.0356
MAPK13	0.316035	0.0137
IGFBP2	0.315176	0.0213
S100A6	0.310833	0.033
C12orf24	0.310481	0.0201
IGFBP7	0.30932	0.049
ALDH4A1	0.302697	0
APITD1	0.296412	0
CRABP2	0.285055	0.0489
ITGB4	0.281394	0.0315
BMP1	0.279983	0.0017
UNG	0.275001	0
FAM134A	0.268202	0.0435
