Regulated	Term	P-value	Probeset	Gene Symbol	Cytoband	P-value
Up	Lymphocyte activation	0.000135	207641_at	TNFRSF13B	17p11.2	0.0075
Up	Lymphocyte activation	0.000135	220118_at	ZBTB32	19q13.1	0.0106
Up	Lymphocyte activation	0.000135	225639_at	SKAP2	7p21-p15	0.0148
Up	Lymphocyte activation	0.000135	210017_at	MALT1	18q21	0.019
Up	Lymphocyte activation	0.000135	205013_s_at	ADORA2A	22q11.23	0.0318
Up	Lymphocyte activation	0.000135	204118_at	CD48	1q21.3-q22	0.0382
Up	Lymphocyte activation	0.000135	236539_at	PTPN22	1p13.3-p13.1	0.0401
Up	Lymphocyte activation	0.000135	205789_at	CD1D	1q22-q23	0.0412
Up	Mitochondrion	0.0311	209759_s_at	DCI	16p13.3	0.0055
Up	Mitochondrion	0.0311	203152_at	MRPL40	22q11.21	0.0317
Up	Mitochondrion	0.0311	218597_s_at	CISD1	10q21.1	0.04
Up	Mitochondrion	0.0311	218654_s_at	MRPS33	7q32-q34	0.0462
Up	Mitochondrion	0.0311	201923_at	PRDX4	Xp22.11	0.0463
Up	Mitochondrion	0.0311	205307_s_at	KMO	1q42-q44	0.0491
Down	Cell projection/Actin cytoskeleton organization	0.00931	214731_at	CTTNBP2NL	1p13.2	0.0109
Down	Cell projection/Actin cytoskeleton organization	0.00931	230229_at	DLG1	3q29	0.0114
Down	Cell projection/Actin cytoskeleton organization	0.00931	212082_s_at	MYL6	12q13.2	0.0133
Down	Cell projection/Actin cytoskeleton organization	0.00931	214656_x_at	MYO1C	17p13	0.0146
Down	Cell projection/Actin cytoskeleton organization	0.00931	208621_s_at	EZR	6q25.2-q26	0.0258
Down	Cell projection/Actin cytoskeleton organization	0.00931	228097_at	MYLIP	6p23-p22.3	0.0327
Down	Cell projection/Actin cytoskeleton organization	0.00931	214752_x_at	FLNA	Xq28	0.0329
Down	Cell projection/Actin cytoskeleton organization	0.00931	201598_s_at	INPPL1	11q23	0.0396
Down	Cell projection/Actin cytoskeleton organization	0.00931	201949_x_at	CAPZB	1p36.1	0.0423
Down	Cell projection/Actin cytoskeleton organization	0.00931	244654_at	MYO1G	7p13-p11.2	0.0425
Down	Ubiquitin-mediated proteolysis	0.0151	242403_at	UBE2D3	4q24	0.004
Down	Ubiquitin-mediated proteolysis	0.0151	1558088_a_at	UBE2I	16p13.3	0.0046
Down	Ubiquitin-mediated proteolysis	0.0151	222435_s_at	UBE2J1	6q15	0.0046
Down	Ubiquitin-mediated proteolysis	0.0151	226005_at	UBE2G1	1q42|17p13.2	0.0174
Down	Ubiquitin-mediated proteolysis	0.0151	215604_x_at	UBE2D2	5q31.2	0.0216
Down	Ubiquitin-mediated proteolysis	0.0151	243046_at	UBE2D3	4q24	0.0405
Down	Ubiquitin-mediated proteolysis	0.0151	233303_at	UBE2D3	4q24	0.0433
Down	Sulphur metabolism	0.021	210580_x_at	SULT1A3	16p11.2	0.011
Down	Sulphur metabolism	0.021	207122_x_at	SULT1A2	16p12.1	0.0196
Down	Sulphur metabolism	0.021	215299_x_at	SULT1A1	16p12.1	0.0366
Down	Pathway/Response to DNA damage	0.04	203725_at	GADD45A	1p31.2-p31.1	0.0035
Down	Pathway/Response to DNA damage	0.04	226858_at	CSNK1E	22q13.1	0.0047
Down	Pathway/Response to DNA damage	0.04	235222_x_at	XIAP	Xq25	0.0063
Down	Pathway/Response to DNA damage	0.04	203319_s_at	ZNF148	3q21	0.0066
Down	Pathway/Response to DNA damage	0.04	207598_x_at	XRCC2	7q36.1	0.0075
Down	Pathway/Response to DNA damage	0.04	222104_x_at	GTF2H3	12q24.31	0.0088
Down	Pathway/Response to DNA damage	0.04	234701_at	ANKRD11	16q24.3	0.0207
Down	Pathway/Response to DNA damage	0.04	208682_s_at	MAGED2	Xp11.2	0.0228
Down	Pathway/Response to DNA damage	0.04	237426_at	SP100	2q37.1	0.0237
Down	Pathway/Response to DNA damage	0.04	209257_s_at	SMC3	10q25	0.0272
Down	Pathway/Response to DNA damage	0.04	201368_at	ZFP36L2	2p22.3-p21	0.0288
Down	Pathway/Response to DNA damage	0.04	201499_s_at	USP7	16p13.3	0.0347
Down	Pathway/Response to DNA damage	0.04	204286_s_at	PMAIP1	18q21.32	0.0366
Down	Pathway/Response to DNA damage	0.04	215714_s_at	SMARCA4	19p13.2	0.0405
Down	Pathway/Response to DNA damage	0.04	225742_at	MDM4	1q32	0.0448
