Gene Symbol	Fold-Change	Gene	Biological Role/Description
IGF1R	-2.653973	insulin-like growth factor I receptor (IGF1R)	Enhances cell growth
TUBB	-1.903667401	tubulin, beta (TUBB)	Necessary for mitotic spindle
CDK5	-1.829466589	serine/threonine protein kinase (CDK5)	necessary for mitosis
PDCD6	-1.638179131	programmed cell death 6 (PDCD6)	Apoptosis
BCAR1	-1.630371613	breast cancer anti-estrogen resistance 1 (BCAR1)	Plays a role in tamoxifen resistance and motility
RABEP1	-1.597460747	RAB GTPase binding effector protein 1 (RABEP1)	Cleaved in apoptosis; regulated endocytosis
MAPK1	-1.564991511	Mitogen-activated protein kinase 1 (MAPK1)	MAP kinase, upregulated in many cancers
BRAF	-1.549908098	B-raf protein (BRAF)	Ref/mek/erk signaling essential for tumorigenesis
TNFRSF7	-1.529467007	tumor necrosis factor receptor superfamily, member 7 (TNFRSF7)	T-cell activation antigen, up in CLL and AML
EIF2AK2	-1.52373155	eukaryotic translation initiation factor 2-alpha kinase 2 (EIF2AK2)	Regulation of cell proliferation
PLK1	-1.511902543	protein kinase (PLK1)	Polo-like kinase, cell cycle regulatory, up in cancers
TEGT	1.500026354	testis enhanced gene transcript, BAX inhibitor 1 (TEGT)	Apoptotic gene
APP	1.510555955	amyloid beta-protein precursor (APP)	Cell death in neurodegenerative disease
CEBPG	1.557146581	CCAAT/enhancer binding protein gamma (CEBPG)	Transcription factor, various targets
PHLDA1	1.58916526	pleckstrin homology-like domain  (PHLDA1)	Apoptosis
BNIP3	1.790870201	E1B 19K/Bcl-2-binding protein Nip3 (BNIP3)	Mitochondrial protein, induces cell death, overcomes excess Bcl-2
CASP10	1.82835305	caspase 10 (CASP10)	Aspartate specific cysteine protease induces apoptosis
STK3	1.923849381	protein-serine/threonine kinase (STK3)	positive regulation of apoptosis
BTG1	2.107110386	B-cell translocation gene 1, anti-proliferative (BTG1)	anti-proliferative
