Category	Gene symbol	Ratio	Gene title
Cell cycle, cell growth	FH	0.51	Fumarate hydratase
Cell cycle, cell growth	MYC	0.55	v-myc myelocytomatosis viral oncogene homolog
Signal transduction	DUSP2	0.37	Dual specificityphosphatase 2
Signal transduction	RRBP1	0.39	Ribosome binding protein 1 homolog 180 kDa
Signal transduction	TBL3	0.43	Transducin (beta)-like3
Transcription regulation	CITED2	0.45	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2
Transcription regulation	KIAA1196	0.43	KIAA1196 protein
Transcription regulation	TZFP	0.39	Testis zinc finger protein
Transcription regulation	H1FX	0.14	H1 histone family member X
Chromosome organization	CLTB	0.43	Clathrin, light polypeptide (Lcb)
Protein modification	FDX1	0.45	Ferredoxin 1
Energy pathway	QPRT	0.41	Quinolinate phosphoribosyltransferase
Energy pathway	SLC39A4	0.43	Solute carrier family 39 (zinc transporter), member 4
Energy pathway	BTBD2	0.35	BTB (POZ) domain containing 2
Unclassified	LOC339229	0.44	Hypothetical protein LOC339229
Unclassified	MGRN1	0.44	Mahogunin, ring finger 1
Unclassified	MRP63	0.41	Mitochondrial ribosomal protein 63
Unclassified	PHLDA1	0.43	Pleckstrin homology-like domain, family A, member 1
Unclassified	PTPLA	0.37	Protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a
Unclassified	SPATA2	0.45	Spermatogenesis associated 2
