Curated Gene Symbol	Gene with decreased expression	logFC	Adjusted P
AIM1	AIM1	?1.01	0.01
ANXA4	ANXA4	?.90	0.03
ATP10D	ATP10D	?.71	0.04
CHFR	CHFR	?.64	0.03
DEGS1	DEGS1	?.58	0.03
DGKZ	DGKZ	?.56	0.02
EHD4	EHD4	?.50	0.04
EPS15	EPS15	?.66	0.04
FAM49A	FAM49A	?.80	0.05
FYB	FYB	?.81	0.04
GALNT10	GALNT10	?.45	0.03
IDS	IDS	?.80	0.03
IL1R1	IL1R1	?.95	0.02
ITGAL	ITGAL	?.65	0.02
LCP2	LCP2	?.90	0.04
LIMS1	LIMS1	?.78	0.02
LMO4	LMO4	?.82	0.05
LYST	LYST	?.79	0.03
MACF1	MACF1	?.74	0.03
PARP12	PARP12	?.69	0.02
PDLIM5	PDLIM5	?.56	0.03
PDXK	PDXK	?.53	0.03
PLA2G4C	PLA2G4C	?.53	0.04
PPAP2B	PPAP2B	?.73	0.04
PSTPIP1	PSTPIP1	?.50	0.04
RALGDS	RALGDS	?.57	0.04
RASGRP1	RASGRP1	?.96	0.03
RNF19B	RNF19B	?.75	0.03
RRAGA	RRAGA	?.67	0.02
RSU1	RSU1	?.52	0.03
SELPLG	SELPLG	?.72	0.03
SEPW1	SEPW1	?.59	0.04
SH3GLB1	SH3GLB1	?.46	0.04
TIAM1	TIAM1	?1.09	0.02
TNFRSF1A	TNFRSF1A	?.50	0.03
FAS	TNFRSF6	?1.10	0
TNIP2	TNIP2	?.49	0.04
TRPV2	TRPV2	?.54	0.03
UPP1	UPP1	?.77	0.02
VIM	VIM	?.49	0.04
VPS37B	VPS37B	?.56	0.05
WDR45	WDR45	?.59	0.03
