probeset	interaction.pvalue	FDR	OR.T/FAC	OR.LCI.T/FAC	OR.UCI.T/FAC	OR.p.valT/FAC	OR.FAC	OR.LCI.FAC	OR.UCI.FAC	OR.p.valFAC	accNum	entrezID	geneSymbol	geneName	ChrLoc
219438_at	0.009727457	NA	8.1028E-07	1.03697E-10	0.006331442	0.002162838	1.472055165	0.002847456	761.0114266	0.903457025	NM_024522	79570	NKAIN1	Na+/K+ transporting ATPase interacting 1	1:-31425179
219051_x_at	0.013159789	NA	0.346007571	0.044257246	2.705121781	0.311766288	8.24823E-07	3.6492E-11	0.018643369	0.006171775	NM_024042	79006	METRN	meteorin, glial cell differentiation regulator	16:705173
209617_s_at	0.017537723	NA	0.000137202	1.16064E-07	0.16218942	0.013742936	18.58694645	0.022656693	15248.23508	0.393279578	AF035302	1501	CTNND2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	5:-11024951
204916_at	0.051065415	NA	0.003595986	1.72756E-05	0.748519093	0.038795357	1.872411795	0.067977862	51.57452514	0.710816439	NM_005855	10267	RAMP1	receptor (G protein-coupled) activity modifying protein 1	2:238432925
219741_x_at	0.105272463	NA	0.159612009	0.009405391	2.708658714	0.20400156	8.144567244	0.177867996	372.9393544	0.282381916	NM_024762	79818	ZNF552	zinc finger protein 552	19:-63010263
219044_at	0.130368219	NA	1.411883201	0.039947682	49.90062206	0.849599027	0.005417004	1.03013E-05	2.848561183	0.102572832	NM_018271	55258	THNSL2	threonine synthase-like 2 (S. cerevisiae)	2:88250949
209773_s_at	0.131815146	NA	27.755988	1.779776173	432.860537	0.017724076	0.34644441	0.002344165	51.20105597	0.677495753	BC001886	6241	RRM2	ribonucleotide reductase M2 polypeptide	2:10180185
215304_at	0.13649486	NA	8.72216E-05	1.72713E-07	0.044047687	0.00324828	0.176991945	6.84458E-05	457.6783031	0.665791465	U79293	79875	THSD4	thrombospondin, type I, domain containing 4	15:69220841
204509_at	0.159790789	NA	4.04162E-05	1.40103E-08	0.116590696	0.012821327	0.271675121	2.35145E-05	3138.798419	0.784826451	NM_017689				:
203928_x_at	0.23909767	NA	0.024457829	0.000989552	0.604501026	0.023354412	0.528004668	0.009825892	28.37288684	0.753377709	AI870749	4137	MAPT	microtubule-associated protein tau	17:41327623
206401_s_at	0.260139698	NA	0.020510653	0.000751951	0.559460489	0.021204658	0.431116266	0.006840825	27.16941889	0.690630368	J03778	4137	MAPT	microtubule-associated protein tau	17:41327623
217542_at	0.290480199	NA	0.001109114	4.81525E-06	0.255466354	0.014217399	0.101240048	0.0001749	58.60230131	0.480381662	BE930512	84825	MGC5370	hypothetical protein MGC5370	:
214124_x_at	0.332677631	NA	1.151648155	0.0409806	32.36393515	0.93388376	17.47588228	0.219761129	1389.720116	0.200072594	AL043487	51247	PAIP2	poly(A) binding protein interacting protein 2	5:138706032; 5:138705417
213134_x_at	0.393459339	NA	7.646362912	0.995893699	58.70793827	0.050460042	1.769395946	0.122158126	25.62876591	0.675645002	AI765445	10950	BTG3	BTG family, member 3	21:-17887842
205696_s_at	0.393900894	NA	0.158090214	0.018123053	1.379045525	0.095083263	0.623450916	0.062934173	6.17615242	0.686332636	NM_005264	2674	GFRA1	GDNF family receptor alpha 1	10:-117812942
214053_at	0.435486978	NA	0.085097045	0.00527448	1.37293295	0.082455565	0.665356589	0.008528509	51.90818409	0.854572417	AW772192	2066	ERBB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	2:-211948686
219197_s_at	0.436798758	NA	0.203173794	0.050806357	0.812488684	0.024218661	0.460062413	0.100216697	2.111997605	0.318040398	AI424243	57758	SCUBE2	signal peptide, CUB domain, EGF-like 2	11:-8998510
205548_s_at	0.452241135	NA	8.734938921	0.9599426	79.48304197	0.054390505	2.240444717	0.139424938	36.00211413	0.56910596	NM_006806	10950	BTG3	BTG family, member 3	21:-17887842
