Probe ID	Gene symbol	P1 WT	P1 CKO	SLR	P12 WT	P12 CKO	SLR
1418705_at	Crx	253.7	15.6	?4.0	2932.7	65.3	?5.5
1423631_at	Nr2e3	95	7.2	?3.7	2540	57.4	?5.5
1450946_at	Nrl	293.9	18.6	?4.0	6073.3	191.9	?5.0
1436926_at	Esrrb	5.1	3.3	?0.6	632	24.3	?4.7
1450723_at	Isl1	196.5	219.1	0.2	1542.2	243	?2.7
1420425_at	Prdm1/Blimp1	202.4	23	?3.1	188.5	34.4	?2.5
1426413_at	NeuroD	296.1	96.7	?1.6	1817.2	333.7	?2.4
1451115_at	Pias3	59.1	24.7	?1.3	860	199.7	?2.1
1419628_at	Chx10	423.7	411.8	0	2082	927.8	?1.2
1424034_at	Rora	49.2	33.8	?0.5	411	291.4	?0.5
1418558_at	Rax	168.4	117.3	?0.5	309	222.1	?0.5
1418782_at	Rxrg	24.7	17.3	?0.5	41.1	32.7	?0.3
1422202_at	Thrb	4.8	2.6	?0.9	40.9	34	?0.3
1450796_at	Math5	32.8	21.4	?0.6	3.2	3.1	0
1455799_at	Rorb	465	387.2	?0.3	747.8	765.4	0
1418102_at	Hes1	111.4	94.5	?0.2	90.1	140	0.6
1437588_at	Brn3b/Pou4F2	96.1	123.3	0.4	155.9	284.4	0.9
1427523_at	Six3	190.5	181.7	?0.1	299.7	568.2	0.9
1421336_at	Prox1	18.6	22.8	0.3	199.1	414.2	1.1
1419408_at	Six6	237.1	238.1	0	335.8	774	1.2
1418633_at	Notch	63.7	61.7	0	57.4	141.2	1.3
1418054_at	Math3	165.5	47	?1.8	504.4	1277.6	1.3
1419271_at	Pax6	723.9	723.6	0	1042.4	3083.1	1.6
1423146_at	Hes5	145	155.6	0.1	46.7	157.4	1.8
1422839_at	Neurog2	216.2	277	0.4	48.4	296.6	2.6
1437086_at	Mash1	392.6	266.4	?0.6	15.9	119.4	2.9
1448877_at	Dlx2	17.7	36.5	1	9	119.8	3.7
1449470_at	Dlx1	26.4	66	1.3	0.7	273.4	8.6
