Gene symbol	OS HR	OS p-value	OS adj p-value	RFS HR	RFS p-value	RFS adj p-value	SAR HR	SAR p-value	SAR adj p-value
ACOX1	0.78	0.014427	0.102595	0.91	0.230037	0.69705	0.76	0.012026	0.038483
AIFM3	0.87	0.249296	0.483484	0.91	0.341413	0.802088	0.81	0.126131	0.175487
AMACR	0.72	0.007475	0.101476	0.87	0.173854	0.65451	0.68	0.003974	0.021194
APCDD1	1.18	0.15221	0.349432	1.16	0.117207	0.643865	0.97	0.798664	0.837942
AQP5	0.92	0.186675	0.411972	0.88	0.018125	0.579986	1.14	0.037965	0.078378
ARID3A	0.97	0.756468	0.894456	1.02	0.820666	0.942006	0.76	0.033459	0.075963
C10orf99	0.95	0.644432	0.815405	0.93	0.4606	0.802088	0.93	0.53873	0.626885
C11orf9	1.01	0.907066	0.95523	0.98	0.859878	0.960039	1.08	0.510399	0.604918
C13orf18	0.73	0.008736	0.101476	0.89	0.239611	0.69705	0.59	0.000018	0.000349
C20orf111	0.9	0.328064	0.567462	1.04	0.694147	0.9402	0.72	0.003622	0.021072
CBFA2T2	0.99	0.927472	0.95523	1.08	0.354584	0.802088	0.78	0.035811	0.076396
CD55	1.21	0.051996	0.200291	1.07	0.388853	0.802088	1.38	0.007213	0.025647
CDX2	0.77	0.006344	0.101476	0.9	0.236451	0.69705	0.63	0.000002	0.000141
CELP	0.93	0.504788	0.717921	1.06	0.536353	0.819116	0.72	0.006779	0.02552
CFTR	0.82	0.037108	0.182683	0.86	0.075473	0.643865	0.83	0.079857	0.146024
CRIP1	1.07	0.52506	0.730518	1.01	0.89699	0.960039	1.19	0.139816	0.190388
CTSE	1.08	0.409396	0.639057	0.97	0.690657	0.9402	1.36	0.005108	0.023349
CTTNBP2	0.95	0.684657	0.842655	1.07	0.473981	0.802088	0.76	0.031073	0.073654
DDC	0.83	0.056332	0.200291	0.89	0.144808	0.643865	0.79	0.015509	0.045118
DUSP4	1.06	0.563207	0.76692	1.02	0.785218	0.9402	1.19	0.11276	0.167026
FLJ32063	0.79	0.052858	0.200291	0.92	0.440677	0.802088	0.69	0.004774	0.023349
FSCN1	1.03	0.750847	0.894456	0.96	0.644844	0.937955	1.31	0.023946	0.058944
GGH	0.74	0.008331	0.101476	0.83	0.060874	0.643865	0.73	0.012737	0.038818
HOXD3	1.09	0.446877	0.65918	1.06	0.537545	0.819116	1.14	0.263475	0.324276
HSF5	0.84	0.093571	0.272205	1.01	0.900036	0.960039	0.59	0.000006	0.000185
IRX3	1	0.971067	0.971067	1.05	0.49743	0.802088	0.95	0.65634	0.733765
KIAA0802	1.12	0.263488	0.495977	1.02	0.782245	0.9402	1.19	0.11083	0.167026
KLK10	1.26	0.013307	0.102595	1.16	0.068709	0.643865	1.35	0.005824	0.024848
LOC388199	1.17	0.074795	0.239344	1.1	0.197536	0.69705	1.17	0.098505	0.156281
MIR142	0.82	0.05187	0.200291	0.98	0.793293	0.9402	0.7	0.00146	0.010383
MLPH	1.23	0.079001	0.240764	1.17	0.117013	0.643865	1.26	0.086814	0.150166
OSBP2	1.32	0.006262	0.101476	1.33	0.000889	0.056908	1.04	0.710012	0.757346
PHYH	0.85	0.152876	0.349432	0.97	0.772515	0.9402	0.77	0.040251	0.080502
PIK3AP1	0.97	0.768673	0.894456	0.93	0.40225	0.802088	1.19	0.146763	0.195684
PIWIL1	0.96	0.649776	0.815405	0.99	0.933155	0.979048	0.91	0.355764	0.429602
PLCB4	0.87	0.237466	0.474932	0.96	0.71619	0.9402	0.72	0.017861	0.045723
PLK2	1.1	0.370996	0.608814	1.07	0.449353	0.802088	1.2	0.152796	0.19957
PLLP	1.05	0.636732	0.815405	0.98	0.769498	0.9402	1.19	0.05956	0.112112
PPP1R14C	0.83	0.067256	0.226547	0.94	0.498019	0.802088	0.69	0.000952	0.007618
PPP1R14D	0.99	0.912343	0.95523	1.07	0.452129	0.802088	0.84	0.11744	0.167026
PPPDE2	0.95	0.594247	0.792329	0.94	0.501305	0.802088	1.07	0.564208	0.644809
PTPRD	0.84	0.137118	0.337522	0.89	0.219226	0.69705	0.81	0.117093	0.167026
PTPRO	0.75	0.025266	0.14027	0.83	0.082328	0.643865	0.78	0.084045	0.149414
RASSF6	1.11	0.342753	0.577268	1.07	0.489974	0.802088	1.2	0.100118	0.156281
RBBP8	0.99	0.902244	0.95523	0.88	0.128769	0.643865	1.21	0.090003	0.150169
RBM8A	0.9	0.28935	0.514399	0.88	0.131243	0.643865	0.99	0.91629	0.930834
REG4	1.08	0.398655	0.637847	0.98	0.781721	0.9402	1.31	0.006445	0.02552
RNF43	0.78	0.009513	0.101476	0.91	0.303896	0.802088	0.67	0.000096	0.000875
RSBN1L	0.99	0.908387	0.95523	1.07	0.439806	0.802088	0.88	0.244031	0.31236
S100A16	0.99	0.940305	0.95523	1	0.969579	0.985498	1.02	0.861358	0.889144
SATB2	0.8	0.026301	0.14027	0.88	0.164918	0.65451	0.79	0.034421	0.075963
SERPINB5	1.02	0.831809	0.933961	1.02	0.824255	0.942006	1.05	0.667604	0.733765
SLC25A37	1.08	0.453186	0.65918	1	0.985498	0.985498	1.23	0.091509	0.150169
SOX8	1.09	0.229107	0.472995	1.05	0.460737	0.802088	1.16	0.04415	0.085624
SPINK1	0.91	0.431251	0.657144	0.98	0.881529	0.960039	0.88	0.262885	0.324276
TM4SF4	1.15	0.013416	0.102595	1.08	0.144839	0.643865	1.18	0.011091	0.037359
TNNC2	0.87	0.282287	0.514399	1.1	0.358044	0.802088	0.55	0.000022	0.000349
TPK1	0.89	0.223603	0.472995	0.89	0.150906	0.643865	0.95	0.676439	0.733765
TRNP1	1.18	0.103761	0.276696	1.1	0.265258	0.73811	1.33	0.017012	0.045723
TSPAN6	0.81	0.05579	0.200291	1	0.982793	0.985498	0.64	0.000077	0.000818
VAV3	0.76	0.021355	0.136672	0.95	0.56847	0.846094	0.56	0.000047	0.000601
ZIC2	0.78	0.103367	0.276696	0.79	0.06745	0.643865	0.99	0.967438	0.967438
ZNF141	0.83	0.1341	0.337522	0.96	0.661747	0.9402	0.74	0.017249	0.045723
ZSWIM1	1.03	0.804808	0.919781	1.2	0.041002	0.643865	0.72	0.002973	0.019024
