Top Genes	ID	M	A	t	P.Value	adj.P.Val	B
21505	212198_s_at	0.573193482	6.394820731	4.268177425	0.001091833	0.999941559	-3.53145018
28763	219478_at	0.483065078	5.70443567	3.765508922	0.002694178	0.999941559	-3.667892292
3898	1557797_a_at	-0.456259261	5.18592641	-3.712044847	0.002970163	0.999941559	-3.683541353
5915	1561307_at	0.720958834	5.297198396	3.532382999	0.00412885	0.999941559	-3.73773846
19585	210180_s_at	-0.684343437	5.673826866	-3.524233652	0.004191232	0.999941559	-3.740255349
4267	1558544_at	-0.423355561	6.235684426	-3.495980535	0.004415039	0.999941559	-3.749020271
52300	243049_at	-0.369438332	5.585482813	-3.267216148	0.006738683	0.999941559	-3.822191711
6856	1562847_at	0.395682947	4.701752203	3.26619833	0.006751409	0.999941559	-3.82252587
25983	216692_at	0.319737788	5.343958441	3.25926293	0.006838769	0.999941559	-3.824804813
22826	213524_s_at	-0.40892454	6.184876032	-3.20691401	0.007536076	0.999941559	-3.8421176
16896	207453_s_at	0.332335812	5.348604647	3.198701633	0.007651801	0.999941559	-3.844851269
23701	214401_at	0.400406062	6.475124504	3.142684498	0.008490386	0.999941559	-3.863623886
35428	226171_at	0.503832137	5.338446118	3.114176523	0.008952055	0.999941559	-3.873260955
32732	223454_at	-0.394352282	6.062627607	-3.064833937	0.009811504	0.999941559	-3.89007147
