Curated Gene Symbol	Well ID	UG cluster	GeneBank	Gene Symbol	Fold-difference (eHCC/DN)	Parametric p-value
PLS1	1173606	Hs.203637	PLS1	5357	1.56	4.73E-04
SNRPC	1173768	Hs.1063	SNRPC	6631	2.18	1.51E-05
THPO	1173792	Hs.1166	THPO	7066	0.72	4.68E-04
CSN1S1	1174246	Hs.3155	CSN1S1	1446	0.68	1.24E-04
ARPC3	1174828	Hs.524741	ARPC3	10094	1.77	3.58E-05
TFB2M	1174934	Hs.7395	TFB2M	64216	1.68	1.34E-04
MRPL24	1175262	Hs.418233	MRPL24	79590	1.5	6.95E-04
NPM1	1175310	Hs.557550	NPM1	4869	2.31	3.41E-04
TXNL1	1176282	Hs.114412	TXNL1	9352	1.66	4.24E-04
	1176807	Hs.593111			2.06	1.78E-04
SPAST	1177154	Hs.468091	SPAST	6683	1.6	7.16E-04
GOLT1B	1179026	Hs.62275	GOLT1B	51026	1.75	1.31E-04
RGS11	1179133	Hs.65756	RGS11	8786	0.71	3.37E-04
VPS29	1179210	Hs.632735	VPS29	51699	1.86	3.07E-04
BLVRA	1180373	Hs.488143	BLVRA	644	1.58	8.00E-05
ECM1	1180375	Hs.81071	ECM1	1893	0.52	4.00E-07
TMEM167B	1180552	Hs.82933	C1orf119	56900	1.57	7.47E-05
	1181870	Hs.177861	SF3B14	51639	1.64	2.80E-04
PRDX1	1182060	Hs.180909	PRDX1	5052	1.88	1.25E-04
NAA50	1183001	Hs.269528	NAT13	80218	1.61	5.71E-04
NOL7	1185052	Hs.643500	NOL7	51406	1.83	3.73E-04
NAA20	1185243	Hs.368783	NAT5	51126	1.53	6.99E-04
OXT	1185475	Hs.113216	OXT	5020	0.6	2.80E-04
PAX4	1186454	Hs.129706	PAX4	5078	0.7	4.32E-05
MFN1	1188419	Hs.478383	MFN1	55669	1.34	3.91E-04
CCBE1	1188488	Hs.34333	CCBE1	147372	0.7	2.51E-04
NDRG2	1189462	Hs.525205	NDRG2	57447	0.45	5.06E-05
ESRRB	1190269	Hs.435845	ESRRB	2103	0.68	6.51E-05
FTL	1191054	Hs.433670	FTL	2512	1.72	4.11E-04
PPHLN1	1191262	Hs.444157	PPHLN1	51535	1.57	2.61E-04
SNRPE	1193305	Hs.334612	SNRPE	6635	2.29	8.20E-06
	1193928	Hs.605863			0.75	9.19E-04
PAQR4	1194859	Hs.351474	PAQR4	124222	0.77	1.81E-04
