Gene Symbol	Gene Name	CD4+ T-cells  Non-asthmatics controls  dCT	CD4+ T-cells qRT-PCR (FC)	CD8+ T-cells Non-asthmatics controls dCT	CD8+ T-cells qRT-PCR (FC)
ANXA3	annexin A3	20.7		19.3	1.6 (0.788)
BPI	bactericidal/permeability-increasing protein	19	6.7 (0.049)	19.6	9.9 (0.164)
CAMP	cathelicidin antimicrobial peptide	15.6	7.1 (0.008)	15.5	5.7 (0.006)
CD24	CD24 molecule	17.7		12.7	0.1 (0.004)
CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6	22.6	3.2 (0.368)	18	0.4 (0.069)
CEACAM8	carcinoembryonic antigen-related cell adhesion molecule 8	20.3	1.9 (0.808)	15.8	0.2 (0.004)
CHI3L1	Chitinase 3-like-1 (cartilage glycoprotein-39)	21.1		16.5	0.4 (0.073)
ELA2	Leucocyte elastase (neutrophil elastase)	18.1		19.4	2.1 (0.927)
EIF2S3	Eukaryotic translation initiation factor 2, subunit 3 gamma	12.5		14	3.0 (0.006)
LCN2	lipocalin 2	16.4	3.6 (0.154)	17.6	4.5 (0.315)
LTF	lactotransferrin	17	2.8 (0.461)	12.3	0.2 (0.008)
S100A12	S100 calcium binding protein A12	17.6	3.6 (0.570)	16.7	1.2 (0.412)
S100A8	S100 calcium binding protein A8	12.1	3.0 (0.214)	14.1	10.5 (0.230)
S100A9	S100 calcium binding protein A9	15.4	3.2 (0.283)	10.4	0.3 (0.066)
S100P	S100 calcium binding protein P	19	3.9 (0.154)	19.6	4.5 (0.788)
