Curated Gene Symbol	Probe set ID	Gene symbol	Location
HHATL	223572_at	HHATL	chr3p22.1
POSTN	210809_s_at	POSTN	chr13q13.3
SLC3A1	205799_s_at	SLC3A1	chr2p21
ROPN1	231535_x_at	ROPN1	chr3q21.1
PCDH20	232054_at	PCDH20	chr13q21.31
EPCAM	201839_s_at	TACSTD1	chr2p21
MEGF10	232523_at	MEGF10	chr5q23.2
MPPED2	205413_at	MPPED2	chr11p14.1
TPD52L1	203786_s_at	TPD52L1	chr6q22.31
PDLIM3	238592_at	PDLIM3	chr4q35.1
SHC4	235238_at	SHC4	chr15q21.1
BEX1	218332_at	BEX1	chrXq22.1
SYNPR	230303_at	SYNPR	chr3p14.2
	236936_at		chr8p11.23
	236300_at		chr12p12.2
	242206_at		chr7q11.21
	228245_s_at	LOC100132881	chr12p13.31
CHL1	234583_at	CHL1	chr3p26.3
GABRB1	207010_at	GABRB1	chr4p12
L1CAM	204584_at	L1CAM	chrXq28
