Gene	Description	Fold change	Expression
Sostdc1	Sclerostin domain containing 1	127.4	Upregulated genes
Mela	Melanoma antigen	31.5	Upregulated genes
Slc47a1	Slc47a1 solute carrier family 47, member 1	12.9	Upregulated genes
Aqp5	Aquaporin 5	9.4	Upregulated genes
Xist	Inactive X specific transcripts	8.6	Upregulated genes
Gpr177	G protein-coupled receptor 177	8.5	Upregulated genes
Tnfrsf19	Tumor necrosis factor receptor superfamily, member 19	8.1	Upregulated genes
Cp	Ceruloplasmin	7.6	Upregulated genes
S100a8	S100 calcium binding protein A8 (calgranulin A)	7.4	Upregulated genes
Pdgfc	Platelet-derived growth factor, C polypeptide	6.9	Upregulated genes
Fbp2	Fructose bisphosphatase 2	6.4	Upregulated genes
Robo1	Roundabout homolog 1 (Drosophila)	6	Upregulated genes
Insig1	Insulin induced gene 1	5.6	Upregulated genes
Adcy2	Adenylate cyclase 2	5.5	Upregulated genes
Steap1	Six transmembrane epithelial antigen of the prostate 1	5.5	Upregulated genes
Serpina3g	Serine (or cysteine) peptidase inhibitor, clade A, member 3G	5.4	Upregulated genes
Tmprss2	Transmembrane protease, serine 2	5.1	Upregulated genes
Lphn2	Latrophilin 2	4.9	Upregulated genes
Gpm6b	Glycoprotein m6b	4.9	Upregulated genes
Saa3	Serum amyloid A 3	4.9	Upregulated genes
Nbea	Neurobeachin	4.8	Upregulated genes
Cdkn1b	Cyclin-dependent kinase inhibitor 1B (P27)	4.7	Upregulated genes
Plk2	Polo-like kinase 2 (Drosophila)	4.6	Upregulated genes
Slc2a12	Solute carrier family 2 (facilitated glucose transporter), member 12	4.5	Upregulated genes
Igf2r	Insulin-like growth factor 2 receptor	4.3	Upregulated genes
Clca3	Chloride channel calcium activated 3	60	Downregulated genes
Cyp2f2	Cytochrome P450, family 2, subfamily f, polypeptide 2	44.3	Downregulated genes
Tmem16a	Transmembrane protein 16A	36.6	Downregulated genes
Defb1	Defensin beta 1	26.4	Downregulated genes
Akp2	Alkaline phosphatase 2, liver	25.9	Downregulated genes
Mgp	Matrix Gla protein	21.2	Downregulated genes
Pyy	Peptide YY	20.2	Downregulated genes
Mum1l1	Melanoma associated antigen (mutated) 1-like 1	18.7	Downregulated genes
Oit1	Oncoprotein induced transcript 1	16.3	Downregulated genes
Rhox2	Reproductive homeobox 2	16.3	Downregulated genes
Calca	Calcitonin/calcitonin-related polypeptide, alpha	16.1	Downregulated genes
Fgg	Fibrinogen, gamma polypeptide	15	Downregulated genes
Myl7	Myosin, light polypeptide 7, regulatory	14.4	Downregulated genes
Krt1-15	Keratin complex 1, acidic, gene 15	13.3	Downregulated genes
Scin	Scinderin	12.9	Downregulated genes
Itlna	Intelectin a	12	Downregulated genes
Man1a	Mannosidase 1, alpha	11.8	Downregulated genes
Kcnmb4	Potassium large conductance calcium-activated channel, subfamily M, beta member 4	11.8	Downregulated genes
Stra8	Stimulated by retinoic acid gene 8	10.7	Downregulated genes
Trim29	Tripartite motif protein 29	10.4	Downregulated genes
Aldh1a7	Aldehyde dehydrogenase family 1, subfamily A7	10.3	Downregulated genes
Dmn	Desmuslin	10.1	Downregulated genes
Pcolce	Procollagen C-endopeptidase enhancer protein	9.1	Downregulated genes
Cyp3a25	Cytochrome P450, family 3, subfamily a, polypeptide 25	8.8	Downregulated genes
Slco3a1	Solute carrier organic anion transporter family, member 3a1	8.4	Downregulated genes
