ID	Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ILMN_1797735	C1orf21	-2.193784335	8.591034513	-8.232306171	3.15782E-07	0.005080936	6.037441235
ILMN_1915908	uc004cic.2	-1.405412162	10.52836076	-7.544016071	9.97367E-07	0.008023815	5.164462969
ILMN_1720235	ADSSL1	-2.025484505	9.364748449	-6.524043143	6.155E-06	0.02030921	3.723680246
ILMN_1743275	SH3MD4	-1.074772517	8.223229405	-6.688486445	4.54621E-06	0.02030921	3.968189404
ILMN_1763837	ANPEP	-1.886760219	9.011012557	-6.330394525	8.83558E-06	0.02030921	3.429667361
ILMN_1811330	FAM134B	-1.153893953	8.326117843	-6.416352897	7.52085E-06	0.02030921	3.56098748
ILMN_1889436	unannotated transcript	-0.884836512	8.048289984	-6.362516271	8.31835E-06	0.02030921	3.478891767
ILMN_1725746	KIAA1394	-0.916862092	7.242265397	-6.102007107	1.36226E-05	0.027398403	3.074482001
ILMN_1812067	RER1	0.592831979	8.526850412	5.9660761	1.76856E-05	0.03161801	2.858780571
ILMN_1723846	FAM119B	0.756169489	9.082304349	5.819551643	2.34974E-05	0.034370222	2.622709132
ILMN_1784737	EDG6	-1.064246962	8.771143528	-5.822317343	2.33711E-05	0.034370222	2.627199005
ILMN_1721818	CLDN10	1.522937226	7.419193825	5.664188316	3.18569E-05	0.03844647	2.368414113
ILMN_1752591	LEPROTL1	-1.320211896	10.09464542	-5.644022833	3.31483E-05	0.03844647	2.335110671
ILMN_1804444	PDIA2	-0.628580679	6.635175797	-5.604451165	3.5842E-05	0.03844647	2.269561219
ILMN_1812297	CYP26B1	-2.530791315	7.480234149	-5.625630588	3.43732E-05	0.03844647	2.304676721
ILMN_1843198	AK026966	-1.99749814	9.749536969	-5.49200746	4.48003E-05	0.045052294	2.081891861
ILMN_1699265	TNFRSF10B	-1.417866479	10.17211223	-5.429926415	5.07074E-05	0.04799305	1.977395229
ILMN_1705390	KLHL22	0.67837908	9.552127249	5.327553262	6.22625E-05	0.050090162	1.803729038
ILMN_1781532	LYK5	0.589455284	9.710357794	5.342083819	6.04697E-05	0.050090162	1.82847994
ILMN_1889155	unannotated transcript	-1.120732196	6.869765351	-5.342277895	6.04461E-05	0.050090162	1.828810298
ILMN_1667692	PTGIS	-1.118705042	12.25258077	-5.057205041	0.000107719	0.067086709	1.337298837
ILMN_1694007	ADRB3	-0.974715524	6.846266722	-5.128170659	9.32055E-05	0.067086709	1.460803643
ILMN_1711807	LPHN3	-1.189527612	7.003249056	-5.078759919	0.00010308	0.067086709	1.374890254
ILMN_1729117	COL5A2	1.031140482	11.55198057	5.035634693	0.000112576	0.067086709	1.299612611
ILMN_1763404	LOC653226	0.846987416	11.21828743	5.13755913	9.1442E-05	0.067086709	1.477086927
ILMN_1784749	GAS6	-0.901437355	12.70509732	-5.04436237	0.000110584	0.067086709	1.314869147
ILMN_1802905	PIAS4	0.697780483	9.383052215	5.103478191	9.80126E-05	0.067086709	1.417914562
ILMN_1653028	COL4A1	2.66841598	10.71906211	4.918114244	0.000143279	0.073839821	1.09311941
ILMN_1665290	LOC643995	-0.580134328	6.842336635	-4.949997764	0.000134185	0.073839821	1.149334192
ILMN_1708275	PTGS1	-0.742683846	13.3597586	-4.906148587	0.000146854	0.073839821	1.071985981
ILMN_1743701	SLCO4A1	-1.599454199	8.349730941	-4.936869728	0.000137856	0.073839821	1.126204925
ILMN_1863509	uc003hcu.1	-1.476362465	7.286771692	-4.943191015	0.000136075	0.073839821	1.13734492
ILMN_1849784	unannotated transcript	-0.933832415	7.434261331	-4.887603816	0.000152575	0.074391632	1.039193749
ILMN_1662888	PDLIM4	-0.970103445	7.781421138	-4.819897865	0.000175473	0.080667522	0.919074811
ILMN_1722056	ATP7B	-0.742380241	8.171288004	-4.823278302	0.00017425	0.080667522	0.925086711
ILMN_1775708	SLC2A3	-2.212285528	11.87478642	-4.789002039	0.000187064	0.083607278	0.864058604
ILMN_1819304	DDX5	-0.489031845	6.82553144	-4.749809266	0.000202904	0.088235766	0.794088893
ILMN_1684368	MST150	-0.954050315	7.257508065	-4.733654493	0.000209826	0.088844818	0.765190791
ILMN_1739608	CP	-2.226623229	7.27705493	-4.712503298	0.000219256	0.090457203	0.727304928
ILMN_1726852	CPOX	-1.027072088	10.35030903	-4.691562807	0.000229019	0.092123003	0.689741189
ILMN_1668996	C1QBP	0.764180075	10.64591604	4.679232014	0.000234975	0.092213377	0.667596338
