Molecules	Category	P-value
FBL	RNA Post-Transcriptional Modification	0.0000017-0.0473
CPSF6	RNA Post-Transcriptional Modification	0.0000017-0.0473
RRP9	RNA Post-Transcriptional Modification	0.0000017-0.0473
SNRPA	RNA Post-Transcriptional Modification	0.0000017-0.0473
SFRS10	RNA Post-Transcriptional Modification	0.0000017-0.0473
CSTF2T	RNA Post-Transcriptional Modification	0.0000017-0.0473
LSM1	RNA Post-Transcriptional Modification	0.0000017-0.0473
CPSF3	RNA Post-Transcriptional Modification	0.0000017-0.0473
ACO1	RNA Post-Transcriptional Modification	0.0000017-0.0473
EIF4EBP1	RNA Post-Transcriptional Modification	0.0000017-0.0473
E2F6	Gene Expression	0.000777-0.0339
GTF2F2	Gene Expression	0.000777-0.0339
PTTG1	Gene Expression	0.000777-0.0339
ACO1	Gene Expression	0.000777-0.0339
EYA2	Gene Expression	0.000777-0.0339
SNAPC5	Gene Expression	0.000777-0.0339
EIF4EBP1	Gene Expression	0.000777-0.0339
E2F6	Cell Cycle	0.00247-0.0421
PAK2	Cell Cycle	0.00247-0.0421
EPOR	Cell Cycle	0.00247-0.0421
PTTG1	Cell Cycle	0.00247-0.0421
GSK3B	Cell Cycle	0.00247-0.0421
ASCL2	Cell Cycle	0.00247-0.0421
PAK2	Embryonic Development	0.00247-0.0473
PRPF19	Embryonic Development	0.00247-0.0473
EPOR	Embryonic Development	0.00247-0.0473
PTTG1	Embryonic Development	0.00247-0.0473
PIK3CB	Embryonic Development	0.00247-0.0473
GSK3B	Embryonic Development	0.00247-0.0473
ASCL2	Embryonic Development	0.00247-0.0473
EYA2	Embryonic Development	0.00247-0.0473
SLC7A1	Amino Acid Metabolism	0.00537-0.0421
GYS1	Behavior	0.00537-0.0318
EPOR	Behavior	0.00537-0.0318
EPOR	Cancer	0.00537-0.0473
PTTG1	Cancer	0.00537-0.0473
TPI1	Cancer	0.00537-0.0473
TUBB	Cancer	0.00537-0.0473
BRF2	Cancer	0.00537-0.0473
STK35	Cancer	0.00537-0.0473
STAR	Cancer	0.00537-0.0473
EIF4EBP1	Cancer	0.00537-0.0473
E2F6	Cancer	0.00537-0.0473
LSM1	Cancer	0.00537-0.0473
CCT5	Cancer	0.00537-0.0473
GSK3B	Cancer	0.00537-0.0473
UNG	Cancer	0.00537-0.0473
ASH2L	Cancer	0.00537-0.0473
ALDOC	Cancer	0.00537-0.0473
HYAL2	Carbohydrate Metabolism	0.00537-0.0473
GYS1	Carbohydrate Metabolism	0.00537-0.0473
GSK3B	Carbohydrate Metabolism	0.00537-0.0473
ACO1	Carbohydrate Metabolism	0.00537-0.0473
GSK3B	Cardiovascular Disease	0.00537-0.0213
OLR1	Cardiovascular Disease	0.00537-0.0213
PAK2	Cardiovascular System Development and Function	0.00537-0.0213
EPOR	Cardiovascular System Development and Function	0.00537-0.0213
GSK3B	Cardiovascular System Development and Function	0.00537-0.0213
OLR1	Cardiovascular System Development and Function	0.00537-0.0213
YWHAQ (includes EG:10971)	Cell Death	0.00537-0.0473
PRPF19	Cell Death	0.00537-0.0473
PAK2	Cell Death	0.00537-0.0473
EPOR	Cell Death	0.00537-0.0473
GSK3B	Cell Death	0.00537-0.0473
SH3KBP1	Cell Death	0.00537-0.0473
OLR1	Cell Death	0.00537-0.0473
BAG4	Cell Death	0.00537-0.0473
UNG	Cell Death	0.00537-0.0473
GSK3B	Cell Signaling	0.00537-0.00537
CBLL1	Cell-To-Cell Signaling and Interaction	0.00537-0.0318
ASCL2	Cell-To-Cell Signaling and Interaction	0.00537-0.0318
OLR1	Cell-To-Cell Signaling and Interaction	0.00537-0.0318
PAG1	Cellular Assembly and Organization	0.00537-0.037
PTTG1	Cellular Assembly and Organization	0.00537-0.037
MID1	Cellular Assembly and Organization	0.00537-0.037
GFM1	Cellular Assembly and Organization	0.00537-0.037
EMD	Cellular Assembly and Organization	0.00537-0.037
POLS	Cellular Assembly and Organization	0.00537-0.037
GSK3B	Cellular Assembly and Organization	0.00537-0.037
TUBB	Cellular Assembly and Organization	0.00537-0.037
EIF4EBP1	Cellular Assembly and Organization	0.00537-0.037
GSK3B	Cellular Compromise	0.00537-0.0421
TUBB	Cellular Compromise	0.00537-0.0421
EIF4EBP1	Cellular Compromise	0.00537-0.0421
EPOR	Cellular Development	0.00537-0.0473
GSK3B	Cellular Development	0.00537-0.0473
SHOX2	Cellular Development	0.00537-0.0473
EYA2	Cellular Development	0.00537-0.0473
OLR1	Cellular Development	0.00537-0.0473
STAR	Cellular Development	0.00537-0.0473
PRPF19	Cellular Growth and Proliferation	0.00537-0.0473
EPOR	Cellular Growth and Proliferation	0.00537-0.0473
EIF4EBP1	Cellular Growth and Proliferation	0.00537-0.0473
PAK2	Connective Tissue Development and Function	0.00537-0.0473
PTTG1	Connective Tissue Development and Function	0.00537-0.0473
GSK3B	Connective Tissue Development and Function	0.00537-0.0473
SHOX2	Connective Tissue Development and Function	0.00537-0.0473
UNG	Connective Tissue Development and Function	0.00537-0.0473
EIF4EBP1	Connective Tissue Development and Function	0.00537-0.0473
PRPF19	DNA Replication, Recombination, and Repair	0.00537-0.0473
UNG	DNA Replication, Recombination, and Repair	0.00537-0.0473
NUDT15	DNA Replication, Recombination, and Repair	0.00537-0.0473
PTTG1	Developmental Disorder	0.00537-0.0265
MID1	Developmental Disorder	0.00537-0.0265
EPOR	Digestive System Development and Function	0.00537-0.037
GSK3B	Digestive System Development and Function	0.00537-0.037
SHOX2	Digestive System Development and Function	0.00537-0.037
HYAL2	Drug Metabolism	0.00537-0.0213
UNG	Drug Metabolism	0.00537-0.0213
PTTG1	Endocrine System Disorders	0.00537-0.0473
STAR	Endocrine System Disorders	0.00537-0.0473
EPOR	Genetic Disorder	0.00537-0.0473
MID1	Genetic Disorder	0.00537-0.0473
TPI1	Genetic Disorder	0.00537-0.0473
BTD	Genetic Disorder	0.00537-0.0473
STAR	Genetic Disorder	0.00537-0.0473
EPOR	Hematological Disease	0.00537-0.0399
TPI1	Hematological Disease	0.00537-0.0399
TUBB	Hematological Disease	0.00537-0.0399
EIF4EBP1	Hematological Disease	0.00537-0.0399
