Gene symbol	Fold Change (MCF7 control/MCF7-miR210)
AASDH	2.158396629
ABCA5	2.334348564
ABCB9	0.466390401
ABCC3	1.999334689
ABCD3	2.097905946
ABCG1	0.457368845
ABHD11	3.311993864
ABHD7	0.446483882
ABI1	2.202008442
ACACB	0.285653874
ACACB	0.338392618
ACO1	0.436807641
ACSL1	3.534999473
ACTB	2.83747956
ACTB	7.139781877
ACTR2	2.312991557
ACTR2	2.632438816
ADAM10	2.238744674
ADAM9	3.640432855
ADAP2	0.47454934
ADCK2	0.37442794
ADI1	0.388498249
ADM	0.445469944
ADPGK	2.170849935
ADPRHL1	0.474977145
ADRBK2	0.467260827
AGA	3.231401464
AGBL5	0.436523129
AGFG1	2.322598851
AHNAK2	0.437080221
AIDA	3.177957872
AIF1L	0.381509265
AIF1L	0.466552067
AKIRIN2	4.674882162
AKR1C1	4.122901516
AKR1C1	5.402585504
AKR1C2	5.264622185
AKR1C2	7.295263054
AKR1C3	2.77837243
ALDH18A1	2.322067644
ALDH3A2	3.331472535
ALDH3B2	9.057670136
ALG1	0.426234714
ALKBH8	0.418033365
ALMS1	0.43470241
ALMS1	0.479735132
AMDHD2	0.44546068
AMFR	0.442576882
AMMECR1	0.485788418
ANAPC5	5.588418252
ANG	2.19853119
ANKFY1	2.469484648
ANKLE2	0.411008461
ANKRD10	9.808618815
ANKRD18A	0.421358461
ANKRD36B	2.487161173
ANKRD57	0.491485241
ANLN	2.371220787
ANP32A	0.356429833
ANP32E	9.607226493
AOF1	0.487998967
AOX1	0.381398216
AP1S3	0.376236051
AP1S3	3.294569589
APH1A	3.251217336
APLP2	0.480517207
APLP2	2.188617743
APOBEC3B	0.498180342
APOOL	2.024730651
APOOL	4.88740954
AREG	0.464773591
AREGB	0.136293626
ARF1	7.817893871
ARF6	2.260653686
ARFGEF2	2.099098694
ARFIP1	2.903997075
ARG2	0.498774633
ARHGAP11A	0.45901398
ARHGAP29	0.460451146
ARHGAP5	2.089286008
ARHGDIB	0.406949026
ARL6IP5	3.99329596
ARL6IP6	0.34659434
ARNTL	2.796359799
ARPC4	0.380344856
ARPC5	2.432871295
ARPP-19	3.174083321
ARRB1	0.360634669
ASAH1	2.923142174
ASF1B	0.448888798
ASXL1	0.494691152
ATF1	2.609095949
