Gene symbol	Gene name	Fold change (microarray/RT-PCR)
Fgg	fibrinogen gamma chain	10.9/5.23
Slc39a4	solute carrier family 39 (zinc transporter), member 4	9.09/3.60
Slc5a5	solute carrier family 5	5.98
Shh	sonic hedgehog homolog (Drosophila)	5.8/2.94
Esrrb	estrogen-related receptor beta	4.00/2.94
B4galnt2	beta-1,4-N-acetyl-galactosaminyl transferase 2	3.55
Lad1	ladinin 1	3.35/3.206
Kdm6b	lysine (K)-specific demethylase 6B	2.88
Tceal1	transcription elongation factor A (SII)-like 1	2.65
Mapk6	mitogen-activated protein kinase 6	2.59
Thy1	Thy-1 cell surface antigen	2.57
Rfx4	regulatory factor X, 4	2.25/31.4
Mt3	metallothionein 3	2.21
Grhl2	grainyhead-like 2 (Drosophila)	2.1/1.41
Psd3	pleckstrin and Sec7 domain containing 3	2.09
Rfx5	regulatory factor X, 5	2.08
Hnf1b	HNF1 homeobox B	1.95/6.03
Gfra1	GDNF family receptor alpha 1	1.9
Rrn3	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	1.82
Idh2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	1.81
Cyb5b	cytochrome b5 type B (outer mitochondrial membrane)	1.7
Egln3	egl nine homolog 3 (C. elegans)	1.65
Hspa4l	heat shock 70kDa protein 4-like	1.53
Krt8	keratin 8	0.67
Sra1	steroid receptor RNA activator 1	0.58
Elf2	E74-like factor 2 (ets domain transcription factor)	0.52
Alcam	activated leukocyte cell adhesion molecule	0.44
Sptbn1	spectrin, beta, non-erythrocytic 1	0.44
Lman1	lectin, mannose-binding, 1	0.43
Fstl1	follistatin-like 1	0.4
Tmod3	tropomodulin 3 (ubiquitous)	0.35
Slc12a2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	0.33
Atxn2	ataxin 2	0.29
Map3k2	mitogen-activated protein kinase kinase kinase 2	0.19
Prdm6	PR domain containing 6	0.1
