M. tb genes ID	M. tb. gene name	M. ap gene ID	M. ap Gene Name	LNN_PDE	Fold Change in M. ap
Rv3230c	Rv3230c	MAP3545		0.999992996	582.419226
Rv0251c	hsp	MAP3701c	hsp	0.999969768	434.8511133
Rv0885	Rv0885	MAP0824		0.999930706	369.4856516
Rv3463	Rv3463	MAP4227c		0.994542402	176.0353615
Rv2744c	35kd_ag	MAP2855c	35kd_ag	0.996090132	161.8785498
Rv1765c	Rv1765c	MAP0029c		0.99838404	161.2096315
Rv2745c	Rv2745c	MAP2856c		0.997031831	145.8354061
Rv3463	Rv3463	MAP4226c		0.988253147	144.2838458
Rv1317c	alkA	MAP2443	alkA	0.989172916	108.3294786
Rv3223c	sigH	MAP3324c	sigH	0.996879774	93.99052747
Rv2381c	mbtD	MAP2174c	mbtD	0.993416226	84.24974963
Rv1464	csd	MAP1190		0.952383603	71.12153648
Rv0411c	glnH	MAP3894c	glnH	0.919757072	57.00835301
Rv1348	Rv1348	MAP2414c		0.929554552	53.37714293
Rv2050	Rv2050	MAP1798		0.072047481	28.50970083
Rv0450c	mmpL4	MAP3131		0.063121697	24.31729072
Rv0563	htpX	MAP4059	htpX	0.766537063	23.85287421
Rv3537	Rv3537	MAP1483c		0.047155665	16.90586809
Rv3839	Rv3839	MAP0192c		0.989175718	16.74621588
Rv0186	bglS	MAP3625	bglS	0.044161828	15.53395617
Rv2429	ahpD	MAP1588c	ahpD	0.116734141	9.911785474
Rv2428	ahpC	MAP1589c	ahpC	0.089652271	8.237627558
Rv2332	mez	MAP2540c		0.026442678	7.641830304
Rv0384c	clpB	MAP3853	clpB	0.700375235	6.913971547
Rv2204c	Rv2204c	MAP1944c		0.089445675	6.883372193
Rv1128c	Rv1128c	MAP2495		0.024640703	6.875479726
Rv1463	Rv1463	MAP1189		0.101945961	6.861660769
Rv0824c	desA1	MAP2202c		0.220802623	6.206218294
Rv2454c	Rv2454c	MAP2276c		0.098097373	6.175020734
Rv0140	Rv0140	MAP3557		0.065150146	5.97726165
Rv2497c	pdhA	MAP2309c	pdhA	0.389374106	5.480758142
Rv3229c	Rv3229c	MAP3546	desA3_2	0.069785007	4.663693039
Rv1804c	Rv1804c	MAP1520		0.07342831	4.648547836
Rv1471	trxB1	MAP1196	trxB	0.080895085	4.631136204
Rv2987c	leuD	MAP3025c	leuD	0.116077814	4.50357136
Rv3913	trxB2	MAP4339	trxB2	0.045697962	4.164597275
Rv1908c	katG	MAP1668c	katG	0.052963448	4.155972876
Rv3139	fadE24	MAP3188	fadE24	0.061976112	3.903119998
Rv0211	pckA	MAP3646	pckA	0.597158214	3.893337817
Rv2963	Rv2963	MAP2999		0.362496042	3.820674901
Rv2246	kasB	MAP1999	kasB_1	0.050441682	3.741427505
Rv3202c	Rv3202c	MAP3301c		0.079323909	3.54030128
Rv0824c	desA1	MAP0658c	desA1	0.03232294	3.534561126
Rv1072	Rv1072	MAP1019		0.052487679	3.52743982
Rv1349	Rv1349	MAP2413c		0.061427778	3.511857928
Rv3334	Rv3334	MAP1259		0.656816245	3.373881911
Rv2243	fabD	MAP1996	fabD	0.040536847	3.156131305
Rv1622c	cydB	MAP1315c	cydB	0.25651262	3.138261625
Rv2380c	mbtE	MAP2173c	mbtE	0.040235207	3.033780119
Rv0823c	Rv0823c	MAP0657c		0.043734264	2.965069217
Rv0196	Rv0196	MAP3661c		0.021318149	2.939288785
Rv2710	sigB	MAP2826	sigB	0.420200595	2.823323532
Rv2386c	mbtI	MAP2205c	trpE2	0.312513803	2.792319245
Rv2466c	Rv2466c	MAP2286c		0.020445274	2.73615461
Rv1462	Rv1462	MAP1188		0.032249684	2.699241169
Rv2244	acpM	MAP1997	acpM	0.026964837	2.656114231
Rv1346	fadE14	MAP1553c	fadE14	0.025232165	2.599444874
Rv2989	Rv2989	MAP3027		0.037403606	2.567134295
Rv1345	fadD33	MAP1554c	fadD33_2	0.026259262	2.550701106
Rv1344	Rv1344	MAP1555c		0.027513182	2.400189763
Rv3416	whiB3	MAP4273c	whiB3	0.035999459	2.339312295
Rv3130c	Rv3130c	MAP3477		0.019186138	2.308924547
Rv3230c	Rv3230c	MAP3344c		0.025966236	2.281045712
Rv0184	Rv0184	MAP3623		0.036420544	2.28094949
Rv0467	icl	MAP3961	aceA	0.034404417	2.248535609
Rv1461	Rv1461	MAP1187		0.026997207	2.247818568
Rv0241c	Rv0241c	MAP3691c		0.053946023	2.159199283
Rv1465	Rv1465	MAP1191		0.02761194	2.154923377
Rv3555c	Rv3555c	MAP3937		0.040032901	2.123954252
Rv0289	Rv0289	MAP3785		0.032250768	2.120138538
Rv0839	Rv0839	MAP0671		0.042984092	2.105955828
Rv3296	lhr	MAP3415	lhr	0.012329175	2.078494626
Rv3241c	Rv3241c	MAP3355c		0.023608736	2.070292346
Rv1349	Rv1349	MAP3734c		0.034996088	2.045664103
Rv0284	Rv0284	MAP3780		0.035880423	2.043238193
Rv1909c	furA	MAP1669c	furA	0.025036555	1.949243233
Rv2590	fadD9	MAP1040c	fadD9	0.195279848	1.934853326
Rv2411c	Rv2411c	MAP2223c		0.038044567	1.920123973
Rv1177	fdxC	MAP2607c	fdxC_2	0.038361429	1.917065616
Rv3914	trxC	MAP4340	trxC	0.026698577	1.890335213
Rv2988c	leuC	MAP3026c	leuC	0.037151348	1.883448166
Rv0885	Rv0885	MAP0887c		0.033107389	1.870318509
Rv0185	Rv0185	MAP3624		0.036064904	1.804708438
Rv2986c	hupB	MAP3024c	hupB	0.023689028	1.79377164
Rv2247	accD6	MAP2000	accD6	0.026396893	1.778047182
Rv1466	Rv1466	MAP1192		0.028042865	1.750372721
Rv2846c	efpA	MAP2915c	efpA_2	0.026384545	1.737145549
Rv1245c	Rv1245c	MAP3015		0.189960763	1.732197663
Rv3229c	Rv3229c	MAP3343c	desA3_1	0.012966362	1.702832417
Rv1687c	Rv1687c	MAP3533c		0.033423782	1.684370655
Rv1128c	Rv1128c	MAP1619		0.223723977	1.64817876
Rv1128c	Rv1128c	MAP3460c		0.020212444	1.644032116
Rv3801c	fadD32	MAP0219	fadD32	0.032433897	1.636611047
Rv0046c	ino1	MAP0060c		0.032515038	1.617940252
Rv1804c	Rv1804c	MAP2786c		0.025650529	1.597685621
Rv3714c	Rv3714c	MAP2795		0.196895628	1.597559962
Rv1128c	Rv1128c	MAP3332		0.023944381	1.586893787
Rv1535	Rv1535	MAP1245		0.031445017	1.567318714
Rv0654	Rv0654	MAP4128		0.03084573	1.558096913
Rv2122c	hisE	MAP1847c	hisI	0.04044443	1.531436637
Rv0332	Rv0332	MAP3826		0.033827313	1.529374662
Rv3586	Rv3586	MAP0472c		0.05097036	1.514293372
Rv0146	Rv0146	MAP0222c		0.030667445	1.510091979
