PROBE_ID	SYMBOL	WT.AVG_Signal	KO.AVG_Signal	KO vs WT
ILMN_2541190	1500034J01Rik	171.3788	135.9291	0.79
ILMN_1215670	1810054D07Rik	181.8525	231.7661	1.27
ILMN_2753761	2010004A03Rik	33.57624	51.45876	1.53
ILMN_2428931	4631426J05Rik	21.0207	38.4944	1.83
ILMN_2593994	5033430I15Rik	85.0854	64.45861	0.76
ILMN_2769490	5430435G22Rik	145.3409	238.3438	1.64
ILMN_1224162	5730593F17Rik	76.27081	109.3178	1.43
ILMN_2756704	9130213B05Rik	142.2972	87.01666	0.61
ILMN_1232760	A430107D22Rik	119.6514	152.6099	1.28
ILMN_2423730	A930008A22Rik	280.3408	365.4799	1.3
ILMN_2441335	Abcg1	22.90676	37.98823	1.66
ILMN_2710354	Acta2	8523.933	5777.597	0.68
ILMN_2617433	Actb	6587.893	5359.3	0.81
ILMN_2747543	Actn3	18.57247	4.667461	0.25
ILMN_1243254	Adam12	48.84444	69.83592	1.43
ILMN_1227386	Aig1	53.85427	79.82047	1.48
ILMN_1232621	Ank	2173.113	3431.854	1.58
ILMN_2950286	Ankrd1 (Carp)	724.4764	426.094	0.59
ILMN_2756486	Aqp1	1100.412	1498.643	1.36
ILMN_3160369	Atg9b	18.34243	34.152	1.86
ILMN_2725188	Atp10a	13.95094	30.9749	2.22
ILMN_2688236	Atp2a3 (Ca-ATPase3)	130.9983	299.2253	2.28
ILMN_2461320	AU020206	124.6244	160.2249	1.29
ILMN_2468473	B230343A10Rik	313.8742	437.045	1.39
ILMN_1234419	Bag2	60.48217	40.28342	0.67
ILMN_2765335	BC028528	60.14335	82.35539	1.37
ILMN_2525829	BC031781	71.63089	105.9473	1.48
ILMN_1215785	Bcl10	17.75044	8.20272	0.46
ILMN_2660263	Bcl2a1b (Bfl1)	507.8094	672.9771	1.33
ILMN_2660555	Bcl2a1d (Bfl1)	687.4781	871.957	1.27
ILMN_2755424	Bcorl1	4.856696	14.91148	3.07
ILMN_1224110	Bst2	99.32574	154.3262	1.55
ILMN_2736212	C030003D03Rik	56.02742	85.00159	1.52
ILMN_2863849	C1qtnf3	76.22305	45.09847	0.59
ILMN_1236202	C430015M08Rik	130.1735	101.9105	0.78
ILMN_1222123	Camk2d	112.5908	158.453	1.41
ILMN_2701991	Dscr1 (Rcan1/calcipressin-1)	662.1853	955.3538	1.44
ILMN_1253919	Ccl3	348.8645	558.4205	1.6
ILMN_2905717	Cd180	86.09579	127.3952	1.48
ILMN_2785648	Cd207	1305.129	718.3756	0.55
ILMN_2591543	Cd207	682.3102	366.1915	0.54
ILMN_1259610	Cd276	238.3597	352.7342	1.48
ILMN_2865016	Cd83	146.6808	213.4785	1.46
ILMN_1216386	Cd86	67.42181	101.8735	1.51
ILMN_1226950	Cdkn2a (p14ARF)	476.9034	779.3957	1.63
ILMN_2864170	Chst3	31.0701	58.51934	1.88
ILMN_2702266	Crygs	20.03412	8.418241	0.42
ILMN_1238215	Ctgf	4771.587	3580.163	0.75
ILMN_1228235	Ctse	201.1292	280.6589	1.4
ILMN_2615879	Ctsf	194.1789	270.6964	1.39
ILMN_2811154	Cxcl2 (Gro2)	49.32127	91.01542	1.85
ILMN_1214498	Cyp2d22	21.51193	34.57693	1.61
ILMN_2758264	Cyp2s1	18.01038	6.700905	0.37
ILMN_1231670	D230037D09Rik	49.83044	69.27827	1.39
ILMN_2646296	D4Bwg0951e	852.1782	605.0104	0.71
ILMN_1237518	Dgkg	87.51746	56.52848	0.65
ILMN_2629748	Dhx9	88.82369	115.5239	1.3
ILMN_1221784	Dio3	44.58326	28.23385	0.63
ILMN_2890019	Ear11	6.350972	36.59269	5.76
ILMN_2737713	Edn1	141.9532	60.34319	0.43
ILMN_2589640	Ednrb	101.8303	346.364	3.4
ILMN_2605819	Egln3	18.57771	38.51905	2.07
ILMN_2763002	Eno2	75.41375	108.7208	1.44
ILMN_1231851	Enpp1	132.0001	191.3645	1.45
ILMN_2772998	Enpp2	15.92857	27.74506	1.74
ILMN_2821263	Eps8l2	22.84527	36.60136	1.6
ILMN_2778111	Etv4 (Pea3)	100.8279	141.4988	1.4
ILMN_2935157	Fkhl18	204.9946	282.8293	1.38
ILMN_2742152	Gadd45a	133.4534	205.1945	1.54
ILMN_2776850	Gas7	104.8285	153.6049	1.47
ILMN_3053593	Glipr2	711.2214	564.8187	0.79
ILMN_1246733	Gm22	383.0627	473.1874	1.24
ILMN_1221121	Gpr35	5.323775	19.48928	3.66
ILMN_2662192	Gramd3	82.28878	62.35257	0.76
ILMN_2984332	Hal	101.4583	151.1438	1.49
ILMN_2736489	Hexb	57.2408	93.37955	1.63
ILMN_2715802	Hmga1	703.8379	959.4955	1.36
ILMN_2598703	Ifnar2	128.712	92.7354	0.72
ILMN_2659739	Il7r	9.367719	21.81942	2.33
ILMN_3144164	Irs2	141.2825	185.1975	1.31
ILMN_1242456	Kank1 (Ankrd15)	256.9766	349.8747	1.36
ILMN_2657243	Kcnf1	121.4794	224.8162	1.85
ILMN_1251426	Klf7	412.8614	321.7576	0.78
ILMN_1257873	Layn	25.69549	39.40571	1.53
ILMN_1242960	Lifr	84.4688	58.34567	0.69
ILMN_2604885	Lmod1	30.25148	10.59379	0.35
ILMN_1222315	LOC100047167	797.1572	1020.588	1.28
ILMN_2531554	LOC381212	36.6334	56.26143	1.54
ILMN_1239601	LOC637711	111.5953	85.22134	0.76
ILMN_2771219	LOC669660	100.4887	70.1274	0.7
ILMN_1223198	LOC676704	153.3639	108.5352	0.71
ILMN_1250774	Mdm2	1995.012	2449.524	1.23
ILMN_1230263	Me2	164.437	213.5253	1.3
ILMN_2689931	Megf10	372.4507	638.3799	1.71
ILMN_3038459	Morf4l1	44.29335	30.86057	0.7
ILMN_1254692	Ms4a6b	25.37651	45.18873	1.78
ILMN_2772710	Ms4a6c	25.18166	40.72481	1.62
ILMN_2645275	Mvd	159.1151	121.5344	0.76
ILMN_2646166	Ndrl	49.82128	75.83798	1.52
ILMN_1245037	Ngef (Ephexin)	148.7556	249.9157	1.68
ILMN_2932164	Notum	77.69954	176.123	2.27
ILMN_2726371	Nqo1	67.34151	48.84563	0.73
ILMN_2660519	Nt5dc2	770.7455	623.2734	0.81
ILMN_2813830	Nt5e	397.8841	680.1749	1.71
ILMN_2684316	P2ry1	26.29321	42.75753	1.63
ILMN_1218247	Palld	4297.641	3335.146	0.78
ILMN_2597660	Pcdh1	13.10363	23.42946	1.79
ILMN_2775937	Plat	367.1128	569.4421	1.55
ILMN_2629582	Plau	415.1347	538.9574	1.3
