Gene ID	Description
NR4A2	nuclear receptor subfamily 4, group A, member 2
FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog
EGR1	early growth response 1
CARD6	caspase recruitment domain family, member 6
PEX11B	peroxisomal biogenesis factor 11 beta
EGR3	early growth response 3
EGR4	early growth response 4
MRPL15	mitochondrial ribosomal protein L15
SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11
REEP1	receptor accessory protein 1
FOSB	FBJ murine osteosarcoma viral oncogene homolog B
GOLGA5	golgi autoantigen, golgin subfamily a, 5
ACTL6A	actin-like 6A
GOLPH3L	golgi phosphoprotein 3-like
CCDC99	coiled-coil domain containing 99
SMAD7	SMAD family member 7
SHMT2	serine hydroxymethyltransferase 2 (mitochondrial)
LRPPRC	leucine-rich PPR-motif containing
CDCA4	cell division cycle associated 4
PDIA4	protein disulfide isomerase family A, member 4
GOT1	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)
RTN3	reticulon 3
KLF2	Kruppel-like factor 2 (lung)
JUN	jun oncogene
STK17B	serine/threonine kinase 17b
PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2
LRBA	LPS-responsive vesicle trafficking, beach and anchor containing
XPOT	exportin, tRNA (nuclear export receptor for tRNAs)
ZYG11B	zyg-11 homolog B (C. elegans)
ZNF137	zinc finger protein 137
GEM	GTP binding protein overexpressed in skeletal muscle
PGRMC2	progesterone receptor membrane component 2
ARL6IP6	ADP-ribosylation-like factor 6 interacting protein 6
SLC2A3P1	Solute carrier family 2 (facilitated glucose transporter), member 3 pseudogene 1
NR4A3	nuclear receptor subfamily 4, group A, member 3
RGS2	regulator of G-protein signaling 2, 24kDa
NRIP3	nuclear receptor interacting protein 3
SLC26A2	solute carrier family 26 (sulfate transporter), member 2
