Fold Change	Transcript Cluster ID	q-value (%)	Gene symbol	Description	Entrez Gene ID	Cytoband	SwissProt ID
3.8	2425756	0	COL11A1	collagen, type XI, alpha 1	1301	1p21	P12107
3	2444283	4.8	TNFSF4	tumor necrosis factor (ligand) superfamily, member 4	7292	1q25	P23510
2.9	3443226	0	MFAP5	microfibrillar associated protein 5	8076	12p13.1-p12.3	Q13361
2.9	2342904	0	ST6GALNAC5	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	81849	1p31.1	Q9BVH7
2.7	2449104	7.7	B3GALT2	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2	8707	1q31	O43825
2.6	2661992	2.8	OXTR	oxytocin receptor	5021	3p25	P30559
2.6	3299970	4.4	ANKRD1	ankyrin repeat domain 1 (cardiac muscle)	27063	10q23.31	Q15327
2.5	3102372	0	SULF1	sulfatase 1	23213	8q13.2-q13.3	Q8IWU6
2.4	2378256	0	SYT14	synaptotagmin XIV	255928	1q32.2	Q8NB59
2.3	3461795	2.8	PTPRB	protein tyrosine phosphatase, receptor type, B	5787	12q15-q21	P23467
2.3	3186966	5.6	TLR4	toll-like receptor 4	7099	9q32-q33	O00206
2.3	3752258	9.5	EVI2B	ecotropic viral integration site 2B	2124	17q11.2	P34910
2.2	3820443	0	ICAM1	intercellular adhesion molecule 1	3383	19p13.3-p13.2	P05362
2.2	3630736	4.8	ITGA11	integrin, alpha 11	22801	15q23	Q9UKX5
2.2	2451593	5.4	CHI3L1	chitinase 3-like 1 (cartilage glycoprotein-39)	1116	1q32.1	P36222
2.2	2648677	5.6	MME	membrane metallo-endopeptidase	4311	3q25.1-q25.2	P08473
2.2	2985781	7.7	THBS2	thrombospondin 2	7058	6q27	P35442
2.1	3374402	4.8	LPXN	leupaxin	9404	11q12.1	O60711
2.1	3385951	4.8	NOX4	NADPH oxidase 4	50507	11q14.2-q21	Q9NPH5
2.1	3609592	7.7	MCTP2	multiple C2 domains, transmembrane 2	55784	15q26.2	Q6DN12
2	3217194	0	TBC1D2	TBC1 domain family, member 2	55357	9q22.33	Q9BYX2
2	3110317	7.7	CTHRC1	collagen triple helix repeat containing 1	115908	8q22.3	Q96CG8
